Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
价己巩,2019,03-24,@吩单,L 2:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,3,-0.32,-0.043,0,0.000,1.80
价己巩,2019,03-26,@滴魂,L 2:7,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,21,-1.56,-0.115,1,,
价己巩,2019,03-27,@滴魂,L 2:3,7,3B,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.444,9,0.10,-0.032,1,0.222,1.26
价己巩,2019,03-28,@滴魂,W 5:4,6,3B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.286,21,-1.80,-0.199,1,,
价己巩,2019,03-29,SK,L 2:5,6,3B,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.118,0.118,0.229,14,-0.80,-0.068,1,0.111,1.27
价己巩,2019,03-30,SK,W 3:1,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.095,0.095,0.186,20,-1.52,-0.137,1,,
价己巩,2019,04-02,@NC,W 8:6,8,3B,5,0,2,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0.154,0.154,0.302,19,0.57,0.172,1,0.148,1.48
价己巩,2019,04-03,@NC,L 1:9,5,3B,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.394,16,0.30,0.064,1,,
价己巩,2019,04-04,@NC,W 6:5,7,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.206,0.206,0.406,17,-0.31,-0.003,1,0.200,0.45
价己巩,2019,04-05,@KIA,L 4:6,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.394,2,-0.82,-0.145,0,,
价己巩,2019,04-06,@KIA,W 14:4,7,3B,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.195,0.195,0.386,20,-1.68,0.013,1,0.190,0.55
价己巩,2019,04-09,KT,W 7:3,9,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.424,2,0.72,0.007,0,,
价己巩,2019,04-10,KT,W 4:2,6,3B,4,1,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0.217,0.261,0.474,13,0.13,-0.018,1,0.213,0.59
价己巩,2019,04-11,KT,L 1:8,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.200,0.240,0.436,10,-1.07,-0.065,1,,
价己巩,2019,04-13,茄拳,W 5:3,6,3B,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.189,0.226,0.426,18,-0.17,0.038,1,0.200,0.58
价己巩,2019,04-14,茄拳,L 2:3,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.193,0.228,0.431,14,-0.53,-0.076,1,,
