Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
½º¸ô¸°½ºÅ°,2019,07-11,@·Ôµ¥,W 4:0,4,RF,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,16,0.51,0.014,1,0.500,0.57
½º¸ô¸°½ºÅ°,2019,07-12,KT,W 9:8,3,RF,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.286,0.286,0.661,14,-0.27,-0.021,1,,
½º¸ô¸°½ºÅ°,2019,07-13,KT,L 3:13,3,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.300,0.300,0.717,15,0.27,0.054,1,0.417,0.58
½º¸ô¸°½ºÅ°,2019,07-14,KT,L 1:4,3,RF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.214,0.214,0.567,14,-1.25,-0.155,1,,
½º¸ô¸°½ºÅ°,2019,07-16,@ÇÑÈ­,W 3:2,3,RF,4,0,3,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0.333,0.389,0.843,27,3.32,0.426,1,0.455,1.34
½º¸ô¸°½ºÅ°,2019,07-17,@ÇÑÈ­,W 14:1,3,RF,6,3,4,1,0,1,8,3,0,0,0,0,0,0,0,0,0,0.417,0.625,1.125,17,2.88,0.132,1,,
½º¸ô¸°½ºÅ°,2019,07-18,@ÇÑÈ­,W 7:4,3,RF,5,1,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0.414,0.655,1.140,15,1.84,0.329,1,0.485,1.13
½º¸ô¸°½ºÅ°,2019,07-26,@Å°¿ò,L 4:5,3,RF,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0.400,0.633,1.120,11,0.57,0.067,1,,
½º¸ô¸°½ºÅ°,2019,07-27,@Å°¿ò,L 1:4,4,RF,4,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.412,0.647,1.135,12,0.20,0.016,1,0.488,0.93
½º¸ô¸°½ºÅ°,2019,07-28,@Å°¿ò,W 11:0,3,RF,5,2,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.385,0.615,1.072,22,0.59,-0.001,1,,
