Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
신본기,2017,03-31,@NC,L 5:6,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,6,-0.30,-0.030,1,0.000,0.60
신본기,2017,04-01,@NC,W 3:0,9,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,19,-0.98,-0.049,1,,
신본기,2017,04-02,@NC,W 12:4,9,SS,4,1,2,0,0,1,5,3,0,0,0,1,0,1,0,0,0,0.200,0.500,0.773,13,1.97,0.183,1,0.273,0.53
신본기,2017,04-04,넥센,W 5:2,9,SS,3,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0.231,0.462,0.747,10,-0.47,0.003,1,,
신본기,2017,04-06,넥센,W 12:3,9,SS,4,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.235,0.412,0.690,12,1.10,-0.022,1,0.278,0.21
신본기,2017,04-07,LG,L 4:6,9,SS,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.350,0.588,8,-1.11,-0.071,1,,
신본기,2017,04-08,LG,W 8:6,9,SS,4,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.208,0.375,0.615,12,0.54,0.183,1,0.240,1.65
신본기,2017,04-09,LG,W 7:1,9,SS,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.214,0.357,0.599,11,-1.22,-0.113,1,,
신본기,2017,04-11,@SK,W 6:4,9,SS,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.188,0.313,0.548,20,-0.38,-0.009,1,0.235,1.07
신본기,2017,04-12,@SK,L 1:2,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,0.294,0.516,5,-0.79,-0.093,1,,
신본기,2017,04-13,@SK,L 10:11,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.286,0.502,4,-0.26,-0.024,1,0.216,0.97
신본기,2017,04-14,삼성,W 9:6,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0.270,0.475,2,-0.58,-0.046,1,,
신본기,2017,04-15,삼성,W 6:4,8,SS,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.184,0.289,0.533,8,0.43,0.040,0,0.244,0.85
신본기,2017,04-16,삼성,L 0:3,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0.289,0.533,0,0.00,0.000,0,,
신본기,2017,04-18,NC,L 3:8,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.175,0.275,0.508,10,-0.72,-0.062,1,0.233,0.95
신본기,2017,04-19,NC,L 2:8,6,SS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.175,0.275,0.525,5,0.40,0.004,0,,
신본기,2017,04-20,NC,L 4:5,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.167,0.262,0.501,9,-1.23,-0.122,1,0.239,1.63
신본기,2017,04-21,@넥센,L 1:4,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.262,0.501,0,0.00,0.000,0,,
신본기,2017,04-22,@넥센,W 3:2,8,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0.256,0.490,6,-0.12,-0.007,0,0.234,0.26
신본기,2017,04-23,@넥센,L 5:6,2,SS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.163,0.256,0.506,5,0.68,0.084,0,,
신본기,2017,04-25,한화,W 4:2,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.239,0.474,15,-1.36,-0.101,1,0.235,1.08
신본기,2017,04-26,한화,W 8:2,9,SS,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.143,0.224,0.443,16,-0.66,-0.008,1,,
신본기,2017,04-27,한화,L 1:6,4,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.224,0.443,0,0.00,0.000,0,0.218,0.00
신본기,2017,04-28,@두산,L 0:2,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.137,0.216,0.426,9,-0.73,-0.079,1,,
신본기,2017,04-29,@두산,L 3:5,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.216,0.426,0,0.00,0.000,0,0.211,0.00
신본기,2017,05-19,@LG,W 9:4,8,SS,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.130,0.204,0.400,20,-0.77,-0.048,1,,
신본기,2017,05-20,@LG,L 2:3,8,SS,3,0,1,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0.140,0.228,0.443,11,0.24,0.018,1,0.215,1.71
신본기,2017,05-21,@LG,L 3:4,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.136,0.220,0.429,8,-0.30,-0.032,1,,
신본기,2017,05-23,SK,W 7:6,8,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0.206,0.404,14,-0.74,-0.105,1,0.197,0.98
신본기,2017,05-24,SK,W 7:5,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.200,0.392,3,-0.56,-0.065,1,,
신본기,2017,05-25,SK,W 17:6,8,SS,4,3,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.145,0.261,0.479,16,2.42,0.134,1,0.218,0.54
신본기,2017,05-26,@KIA,W 8:2,8,SS,4,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.164,0.274,0.506,17,1.45,0.076,1,,
신본기,2017,05-27,@KIA,L 7:15,8,SS,4,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.169,0.273,0.514,19,1.54,-0.023,1,0.241,0.22
신본기,2017,05-28,@KIA,L 4:8,9,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.163,0.263,0.504,17,-2.11,-0.159,1,,
신본기,2017,05-30,@삼성,W 1:0,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0.256,0.493,5,-0.38,-0.040,1,0.237,0.78
신본기,2017,05-31,@삼성,L 4:11,8,SS,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.157,0.253,0.495,10,-0.12,-0.010,1,,
신본기,2017,06-01,@삼성,L 2:13,1,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0.253,0.495,0,0.00,0.000,0,0.242,0.00
신본기,2017,06-02,kt,L 8:11,9,SS,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.153,0.247,0.500,21,0.36,0.027,1,,
신본기,2017,06-03,kt,L 1:10,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.239,0.484,11,-0.84,-0.013,1,0.245,0.17
신본기,2017,06-04,kt,W 14:8,8,SS,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.161,0.247,0.500,23,0.32,0.004,1,,
