Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
신용수,2019,05-15,LG,W 8:4,7,PR,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,4.000,5.000,3,1.87,0.053,0,1.000,0.23
신용수,2019,05-16,LG,L 2:3,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,1.333,1.667,4,-0.65,-0.066,1,,
신용수,2019,05-17,@키움,L 0:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,1.000,1.250,3,-0.26,-0.002,0,0.250,0.06
신용수,2019,05-18,@키움,L 1:13,5,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.667,0.833,5,0.29,0.000,0,,
신용수,2019,05-19,@키움,L 3:9,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.500,0.625,6,-0.30,-0.003,0,0.125,0.06
신용수,2019,05-21,@KIA,L 6:10,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.500,0.625,0,0.00,0.000,0,,
신용수,2019,05-22,@KIA,L 5:6,5,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.444,0.556,3,-0.12,-0.034,0,0.111,1.32
신용수,2019,06-12,@LG,L 3:4,2,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.400,0.500,3,0.24,-0.020,0,,
신용수,2019,06-15,KIA,W 7:0,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.400,0.500,0,0.00,0.000,0,0.100,0.00
신용수,2019,06-16,KIA,W 10:5,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.400,0.500,0,0.00,0.000,0,,
신용수,2019,06-18,@한화,W 11:3,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.364,0.455,4,-0.38,0.000,0,0.091,0.00
신용수,2019,09-23,NC,L 1:6,6,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.364,0.455,0,0.00,0.000,0,,
신용수,2019,09-25,두산,L 0:7,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.077,0.308,0.385,11,-1.07,-0.016,0,0.077,0.30
신용수,2019,09-26,KIA,L 1:3,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.286,0.357,5,-0.12,-0.016,0,,
신용수,2019,09-29,키움,L 1:4,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.286,0.357,0,0.00,0.000,0,0.071,0.00
신용수,2019,09-30,@LG,L 0:2,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.235,0.294,7,-0.55,-0.078,1,,
신용수,2019,10-01,키움,L 1:3,9,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.100,0.250,0.350,11,-0.45,-0.061,1,0.100,1.23
