Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
아수아헤,2019,03-23,키움,L 4:7,7,2B,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.500,16,-0.27,0.029,1,0.250,1.44
아수아헤,2019,03-24,키움,W 6:2,7,2B,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0.429,0.429,0.857,18,0.23,-0.018,1,,
아수아헤,2019,03-26,삼성,W 7:2,7,2B,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.300,0.300,0.664,28,-0.16,0.028,1,0.364,0.36
아수아헤,2019,03-27,삼성,L 4:23,7,2B,3,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.385,0.385,0.851,13,1.59,0.090,1,,
아수아헤,2019,03-28,삼성,L 7:12,7,2B,4,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.353,0.412,0.833,15,0.43,-0.030,1,0.421,0.91
아수아헤,2019,03-29,@LG,L 1:2,7,2B,3,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.350,0.450,0.885,22,0.69,0.121,1,,
아수아헤,2019,03-30,@LG,W 7:1,7,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.304,0.391,0.799,16,-0.35,0.003,1,0.407,0.50
아수아헤,2019,03-31,@LG,L 5:6,7,2B,4,2,2,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0.333,0.519,0.956,14,0.75,-0.031,1,,
아수아헤,2019,04-02,@SK,W 5:0,7,2B,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.310,0.483,0.927,14,0.52,0.033,1,0.444,0.86
아수아헤,2019,04-03,@SK,W 3:1,7,2B,2,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0.290,0.452,0.902,20,-0.16,0.013,1,,
아수아헤,2019,04-04,@SK,L 6:7,6,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.424,0.853,5,-0.88,-0.071,0,0.429,1.18
아수아헤,2019,04-05,한화,W 5:2,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.412,0.830,2,-0.23,-0.002,0,,
아수아헤,2019,04-06,한화,W 9:7,7,2B,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.263,0.395,0.799,15,0.23,0.067,1,0.404,1.30
아수아헤,2019,04-07,한화,L 1:16,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.375,0.763,9,-0.43,-0.015,1,,
아수아헤,2019,04-10,두산,L 1:3,7,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.233,0.349,0.726,20,0.19,-0.049,1,0.377,2.41
아수아헤,2019,04-11,두산,L 1:5,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.217,0.326,0.683,10,-0.56,-0.068,1,,
아수아헤,2019,04-12,@NC,L 1:2,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.326,0.683,0,0.00,0.000,0,0.357,0.00
아수아헤,2019,04-13,@NC,L 5:7,7,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.300,0.633,10,-1.30,-0.131,1,,
아수아헤,2019,04-14,@NC,L 1:8,5,PR,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.208,0.302,0.635,6,0.25,0.043,0,0.333,0.49
아수아헤,2019,04-16,KIA,W 10:9,2,2B,5,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.224,0.310,0.649,13,0.61,0.129,1,,
아수아헤,2019,04-17,KIA,W 8:6,2,2B,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.226,0.306,0.649,16,-0.58,-0.031,1,0.342,1.72
아수아헤,2019,04-18,KIA,W 10:9,2,2B,5,2,2,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0.239,0.388,0.734,12,1.83,0.082,1,,
아수아헤,2019,04-19,KT,L 5:6,2,2B,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.225,0.366,0.704,17,-0.49,-0.068,1,0.337,1.36
