Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
안상현,2019,04-25,@삼성,W 4:3,9,SS,4,1,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0.750,0.750,1.500,16,1.35,0.180,1,0.750,1.39
안상현,2019,04-26,@KT,W 2:0,9,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.500,0.500,1.000,13,-1.77,-0.103,1,,
안상현,2019,04-27,@KT,W 2:1,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.364,0.364,0.727,16,-0.49,-0.041,1,0.364,0.53
안상현,2019,04-28,@KT,W 3:0,9,PR,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.417,0.417,0.833,2,0.68,0.039,0,,
안상현,2019,04-30,키움,L 5:15,9,2B,4,0,2,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0.438,0.500,0.938,17,1.15,0.031,1,0.438,0.62
안상현,2019,05-01,키움,W 2:0,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.368,0.421,0.789,17,-0.76,-0.054,1,,
안상현,2019,05-02,키움,L 8:10,9,2B,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0.381,0.745,13,0.08,0.005,1,0.364,1.28
안상현,2019,05-03,@롯데,W 11:7,9,2B,4,1,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0.360,0.400,0.785,12,0.43,0.078,1,,
안상현,2019,05-04,@롯데,W 10:4,9,2B,3,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.357,0.393,0.760,11,-1.00,-0.039,1,0.367,0.84
안상현,2019,05-05,@롯데,W 4:3,9,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.313,0.344,0.667,19,-1.01,-0.071,1,,
안상현,2019,05-07,한화,W 11:2,9,2B,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.306,0.333,0.649,17,-0.64,0.059,1,0.316,0.49
안상현,2019,05-08,한화,W 17:2,9,2B,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.275,0.300,0.602,24,0.07,0.032,1,,
안상현,2019,05-09,한화,L 1:6,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.300,0.602,0,0.00,0.000,0,0.302,0.00
안상현,2019,05-10,@KIA,W 4:1,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.293,0.588,5,-0.12,-0.002,0,,
안상현,2019,05-11,@KIA,W 10:3,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.279,0.562,3,-0.66,-0.011,0,0.283,0.38
안상현,2019,05-12,@KIA,W 4:3,9,2B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.255,0.277,0.557,21,-0.60,-0.024,1,,
안상현,2019,05-14,@NC,L 2:8,7,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.271,0.545,5,-0.12,0.000,0,0.275,0.00
안상현,2019,05-15,@NC,W 7:3,9,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.231,0.250,0.505,12,-1.03,-0.037,1,,
안상현,2019,05-16,@NC,L 2:5,8,PR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.241,0.486,8,-0.61,-0.066,0,0.246,1.52
안상현,2019,05-17,두산,L 1:3,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.241,0.486,0,0.00,0.000,0,,
안상현,2019,05-18,두산,L 5:10,7,PR,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.218,0.236,0.478,4,0.28,0.119,0,0.241,3.39
안상현,2019,05-21,@LG,W 4:2,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.236,0.478,0,0.00,0.000,0,,
안상현,2019,05-22,@LG,W 2:0,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.228,0.461,8,-0.89,-0.057,0,0.233,1.05
안상현,2019,05-24,@NC,W 4:2,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.228,0.461,0,0.00,0.000,0,,
안상현,2019,05-25,@NC,L 7:10,7,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.220,0.446,4,-0.85,-0.045,0,0.226,0.91
안상현,2019,05-26,@NC,W 2:1,9,PR,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.200,0.217,0.439,4,-0.97,-0.144,0,,
안상현,2019,05-28,KT,W 1:0,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.217,0.439,0,0.00,0.000,0,0.222,0.00
안상현,2019,06-14,NC,W 7:3,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.213,0.432,2,0.35,0.006,0,,
안상현,2019,06-15,NC,W 4:0,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.210,0.425,2,-0.47,-0.020,0,0.215,0.78
안상현,2019,06-16,NC,W 9:2,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.210,0.425,0,0.00,0.000,0,,
안상현,2019,06-18,@KIA,L 2:4,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.210,0.425,0,0.00,0.000,0,0.215,0.00
안상현,2019,06-19,@KIA,W 7:1,9,2B,4,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.212,0.242,0.474,11,0.47,0.024,1,,
안상현,2019,06-20,@KIA,L 5:8,9,2B,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.217,0.246,0.482,16,0.18,0.052,1,0.236,0.87
안상현,2019,06-21,두산,W 14:1,9,2B,5,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.216,0.257,0.491,15,-0.15,-0.015,1,,
안상현,2019,06-22,두산,W 3:0,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.257,0.491,0,0.00,0.000,0,0.234,0.00
안상현,2019,06-23,두산,W 3:2,8,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.227,0.267,0.510,1,0.22,0.005,0,,
안상현,2019,06-25,@LG,W 8:3,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.224,0.263,0.504,6,-0.84,-0.011,0,0.241,0.20
안상현,2019,06-26,@LG,W 7:4,8,2B,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.231,0.269,0.516,6,-0.12,-0.001,0,,
안상현,2019,07-12,키움,L 2:6,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.269,0.516,0,0.00,0.000,0,0.247,0.00
안상현,2019,07-13,키움,W 4:2,9,SS,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.238,0.275,0.537,12,0.10,-0.026,1,,
안상현,2019,07-14,키움,W 4:3,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.275,0.537,0,0.00,0.000,0,0.262,0.00
안상현,2019,07-16,LG,W 10:4,9,PR,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.247,0.284,0.555,4,0.74,0.019,0,,
안상현,2019,07-17,LG,W 8:2,7,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.256,0.293,0.572,3,0.28,0.000,0,0.279,0.01
안상현,2019,07-26,@롯데,W 8:6,8,2B,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.262,0.298,0.582,12,0.74,0.060,0,,
안상현,2019,07-27,@롯데,W 4:0,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.298,0.582,0,0.00,0.000,0,0.284,0.00
안상현,2019,07-28,@롯데,W 3:0,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.294,0.575,6,-0.34,-0.011,0,,
안상현,2019,08-01,KIA,W 10:1,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.287,0.562,3,-0.43,-0.001,0,0.275,0.01
안상현,2019,08-03,@한화,W 3:0,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.284,0.556,3,-0.12,-0.007,0,,
안상현,2019,08-04,@한화,L 2:8,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.284,0.556,0,0.00,0.000,0,0.272,0.00
안상현,2019,08-07,KT,W 5:2,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.247,0.281,0.550,5,-0.18,-0.002,0,,
안상현,2019,08-08,@키움,W 6:1,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.242,0.275,0.538,8,-0.72,-0.018,0,0.263,0.33
안상현,2019,08-09,@키움,L 4:5,8,SS,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.283,0.553,2,0.13,0.013,0,,
안상현,2019,08-10,@LG,W 2:0,8,PR,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.255,0.287,0.563,7,-0.16,-0.006,0,0.276,0.63
안상현,2019,08-11,@LG,L 3:4,8,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.255,0.287,0.563,0,0.09,0.033,0,,
안상현,2019,08-13,삼성,W 4:1,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.281,0.551,9,-0.50,-0.018,0,0.270,0.24
안상현,2019,08-15,@KIA,W 7:6,8,PR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.281,0.558,5,0.40,0.010,0,,
안상현,2019,08-16,@KIA,L 0:1,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.281,0.558,0,0.00,0.000,0,0.277,0.00
