Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¾ÈÀÍÈÆ,2018,03-24,@NC,L 2:4,1,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,13,-0.01,-0.034,1,0.250,1.19
¾ÈÀÍÈÆ,2018,03-25,@NC,L 1:7,1,CF,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.143,0.143,0.393,16,-0.77,-0.048,1,,
¾ÈÀÍÈÆ,2018,03-27,@³Ø¼¾,L 4:5,1,CF,5,0,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0.250,0.333,0.641,15,2.55,0.656,1,0.308,2.64
¾ÈÀÍÈÆ,2018,03-28,@³Ø¼¾,W 9:3,1,CF,5,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.294,0.471,0.804,14,0.07,0.031,1,,
¾ÈÀÍÈÆ,2018,03-29,@³Ø¼¾,L 4:9,1,CF,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.409,0.713,26,-1.47,0.015,1,0.304,0.72
¾ÈÀÍÈÆ,2018,03-30,KIA,L 3:4,1,CF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.333,0.583,24,-1.40,-0.221,1,,
¾ÈÀÍÈÆ,2018,03-31,KIA,W 6:4,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.290,0.509,13,-0.50,-0.050,1,0.219,0.56
¾ÈÀÍÈÆ,2018,04-01,KIA,W 6:5,1,CF,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.229,0.314,0.564,19,-0.60,-0.053,1,,
¾ÈÀÍÈÆ,2018,04-03,@µÎ»ê,L 4:5,1,CF,7,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.238,0.310,0.565,24,-1.15,-0.224,1,0.256,2.16
¾ÈÀÍÈÆ,2018,04-04,@µÎ»ê,L 3:6,1,CF,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.277,0.340,0.632,18,0.79,0.057,1,,
¾ÈÀÍÈÆ,2018,04-06,@·Ôµ¥,W 14:6,1,CF,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.264,0.340,0.617,24,-0.78,-0.040,1,0.278,0.26
¾ÈÀÍÈÆ,2018,04-07,@·Ôµ¥,L 2:7,1,CF,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.250,0.321,0.610,27,0.16,0.031,1,,
¾ÈÀÍÈÆ,2018,04-08,@·Ôµ¥,W 4:2,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.233,0.300,0.570,16,-1.04,-0.121,1,0.270,1.16
¾ÈÀÍÈÆ,2018,04-10,SK,L 1:4,1,CF,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.222,0.286,0.554,19,0.44,0.058,1,,
¾ÈÀÍÈÆ,2018,04-11,SK,W 3:0,1,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.224,0.284,0.551,14,-1.48,-0.086,1,0.268,0.95
¾ÈÀÍÈÆ,2018,04-12,SK,W 5:4,1,CF,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.222,0.278,0.541,20,-0.01,0.315,1,,
¾ÈÀÍÈÆ,2018,04-13,KT,W 3:1,1,CF,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.213,0.267,0.520,11,-0.52,-0.028,1,0.253,0.63
¾ÈÀÍÈÆ,2018,04-14,KT,W 8:0,1,CF,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.250,0.488,14,-1.79,-0.096,1,,
¾ÈÀÍÈÆ,2018,04-15,KT,W 11:8,1,CF,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.200,0.247,0.483,16,-1.61,0.001,1,0.236,0.53
¾ÈÀÍÈÆ,2018,04-17,@KIA,L 4:5,1,CF,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.202,0.247,0.481,18,-0.48,0.019,1,,
¾ÈÀÍÈÆ,2018,04-18,@KIA,L 3:4,1,CF,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.204,0.247,0.490,19,-0.65,-0.085,1,0.242,1.62
¾ÈÀÍÈÆ,2018,04-19,@KIA,L 4:8,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.237,0.470,9,-1.08,-0.071,1,,
¾ÈÀÍÈÆ,2018,07-04,NC,W 13:3,4,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.204,0.245,0.485,3,0.40,0.000,0,0.240,0.00
¾ÈÀÍÈÆ,2018,07-05,NC,L 3:5,1,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.242,0.481,5,-0.23,-0.046,0,,
¾ÈÀÍÈÆ,2018,07-06,@KIA,L 4:13,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.242,0.481,0,0.00,0.000,0,0.238,0.00
¾ÈÀÍÈÆ,2018,07-07,@KIA,W 13:10,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.242,0.481,0,0.00,0.000,0,,
