Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
안중열,2018,07-10,@삼성,L 3:6,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
안중열,2018,07-11,@삼성,L 2:4,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
안중열,2018,07-12,@삼성,L 4:8,9,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,5,0.18,0.027,1,0.000,1.12
안중열,2018,07-17,@두산,W 12:6,9,C,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.667,1.000,2,0.89,0.002,0,,
안중열,2018,07-18,@두산,L 4:5,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,4,-0.12,-0.036,0,0.250,1.41
안중열,2018,07-19,@두산,L 1:7,9,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.333,0.500,3,-0.70,-0.082,1,,
안중열,2018,07-20,SK,L 2:6,9,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.250,0.375,8,-0.46,-0.048,1,0.125,0.87
안중열,2018,07-21,SK,L 3:4,9,C,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.182,0.545,0.727,14,0.08,-0.028,1,,
안중열,2018,07-22,SK,W 12:4,9,C,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.267,0.533,0.800,10,0.78,0.011,1,0.267,0.61
안중열,2018,07-24,NC,L 2:3,9,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.444,0.667,14,-0.56,-0.042,1,,
