Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
안치영,2017,07-28,NC,L 4:5,1,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1,-0.18,-0.045,0,0.000,1.80
안치영,2017,07-29,NC,W 4:3,9,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,4,-0.64,-0.050,1,,
안치영,2017,07-30,NC,L 3:8,9,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,18,-0.49,-0.059,1,0.000,0.77
안치영,2017,08-01,@KIA,W 15:7,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.51,0.000,0,,
안치영,2017,08-03,@KIA,L 3:9,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
안치영,2017,08-04,SK,L 5:6,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
안치영,2017,08-05,SK,W 4:3,7,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.09,0.008,0,0.000,0.52
안치영,2017,08-08,@롯데,L 4:5,7,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,-0.66,-0.114,0,,
안치영,2017,08-11,KIA,W 9:8,6,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
안치영,2017,08-12,@SK,L 3:8,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.12,-0.009,0,,
안치영,2017,08-13,@SK,W 11:3,9,PR,2,2,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0.111,0.222,0.495,13,0.25,-0.002,0,0.273,0.51
안치영,2017,08-17,삼성,L 4:6,8,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.250,0.536,9,-0.28,-0.011,1,,
안치영,2017,08-19,두산,L 4:10,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.250,0.536,0,0.00,0.000,0,0.286,0.00
안치영,2017,08-22,한화,L 2:3,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.250,0.536,0,0.00,0.000,0,,
안치영,2017,08-23,한화,L 9:10,7,PR,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.231,0.308,0.641,6,0.13,0.029,0,0.333,1.38
안치영,2017,08-24,@NC,L 1:7,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.286,0.598,5,-0.38,-0.002,0,,
안치영,2017,08-26,@삼성,L 8:14,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.267,0.561,7,-0.54,-0.001,0,0.294,0.04
안치영,2017,08-27,@삼성,W 3:2,9,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.200,0.267,0.561,0,-0.46,-0.006,0,,
안치영,2017,08-29,NC,L 2:13,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.250,0.528,2,-0.25,0.000,0,0.278,0.00
안치영,2017,08-30,NC,W 9:5,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.250,0.528,0,0.00,0.000,0,,
안치영,2017,09-02,SK,L 7:15,7,PR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.222,0.472,6,-0.38,0.000,0,0.250,0.01
