Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
剧己快,2018,03-24,@池季,L 3:6,2,LF,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,18,-1.49,-0.121,1,0.200,0.95
剧己快,2018,03-25,@池季,W 4:1,2,LF,4,1,3,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0.444,0.667,1.167,16,1.15,0.082,1,,
剧己快,2018,03-27,@NC,L 6:9,2,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.286,0.429,0.762,10,-2.55,-0.223,1,0.333,1.25
剧己快,2018,03-28,@NC,W 6:2,8,PH,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.467,0.842,9,0.90,0.111,0,,
剧己快,2018,03-29,@NC,L 1:4,6,LF,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.316,0.474,0.824,20,-0.33,-0.025,1,0.350,0.58
剧己快,2018,03-30,SK,L 4:8,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.450,0.783,4,-0.26,-0.011,0,,
剧己快,2018,03-31,SK,L 1:12,7,RF,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.304,0.478,0.838,17,0.66,-0.026,1,0.360,0.35
剧己快,2018,04-01,SK,L 1:13,2,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.296,0.444,0.789,14,-0.56,-0.004,1,,
剧己快,2018,04-03,吩单,W 17:11,2,LF,1,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0.286,0.429,0.811,24,0.87,0.074,1,0.382,0.78
剧己快,2018,04-04,吩单,W 7:6,2,RF,3,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.323,0.452,0.857,11,1.09,0.121,1,,
剧己快,2018,04-07,@KT,L 2:10,2,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0.424,0.809,9,-0.30,-0.027,1,0.385,0.54
剧己快,2018,04-08,@KT,W 12:8,8,PH,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.303,0.424,0.824,0,0.18,-0.003,0,,
剧己快,2018,04-10,KIA,W 4:3,2,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.306,0.417,0.812,9,0.24,0.009,1,0.395,0.98
剧己快,2018,04-11,KIA,W 6:4,2,LF,3,0,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0.359,0.462,0.908,18,3.68,0.421,1,,
剧己快,2018,04-12,KIA,W 15:4,2,LF,5,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.386,0.477,0.939,19,0.70,-0.007,1,0.462,0.32
剧己快,2018,04-13,伙己,L 2:4,2,LF,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.383,0.468,0.932,21,0.59,0.071,1,,
剧己快,2018,04-14,伙己,W 14:2,2,LF,4,3,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0.392,0.490,0.966,21,1.48,0.077,1,0.475,0.55
