Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
양의지,2020,05-05,@삼성,W 4:0,4,C,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.250,0.500,0.750,12,-0.33,0.004,1,0.250,0.53
양의지,2020,05-06,@삼성,W 4:3,4,C,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.143,0.286,0.619,18,-1.30,-0.038,1,,
양의지,2020,05-07,@삼성,W 8:2,4,C,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.182,0.273,0.580,14,-0.11,-0.044,1,0.308,0.59
양의지,2020,05-08,LG,W 13:5,4,C,5,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.313,0.438,0.826,15,0.15,0.050,1,,
양의지,2020,05-10,LG,L 8:10,4,C,5,1,2,2,0,0,4,2,0,0,0,0,0,1,0,0,0,0.333,0.524,0.915,16,1.50,0.161,1,0.391,0.62
양의지,2020,05-12,KT,W 7:6,8,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.478,0.838,2,-0.71,-0.098,0,,
양의지,2020,05-13,KT,W 5:4,4,C,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.296,0.444,0.778,14,-0.55,-0.076,1,0.333,1.77
양의지,2020,05-14,KT,W 1:0,4,C,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.290,0.452,0.775,13,-0.07,0.023,1,,
양의지,2020,05-15,@SK,W 6:2,7,PH,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.313,0.469,0.812,3,1.65,0.389,0,0.343,6.87
양의지,2020,05-17,@SK,W 11:5,4,C,2,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0.294,0.441,0.816,24,1.29,0.025,1,,
양의지,2020,05-19,@두산,W 5:4,4,C,3,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0.297,0.432,0.832,23,1.44,0.110,1,0.400,0.75
양의지,2020,05-20,@두산,L 1:2,4,C,4,1,2,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0.317,0.537,0.945,9,1.36,0.221,1,,
양의지,2020,05-21,@두산,W 12:6,4,C,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.311,0.511,0.919,17,-1.16,-0.056,1,0.407,2.05
양의지,2020,05-22,한화,L 3:5,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.500,0.900,5,-0.18,-0.026,0,,
양의지,2020,05-23,한화,W 3:0,4,C,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.313,0.500,0.914,8,0.30,0.027,1,0.414,0.82
양의지,2020,05-27,키움,W 10:3,4,C,3,2,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.314,0.549,0.968,20,1.31,-0.038,1,,
양의지,2020,05-28,키움,W 9:6,4,C,4,1,2,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0.327,0.600,1.024,18,3.22,0.576,1,0.424,1.49
양의지,2020,05-29,@삼성,L 4:5,4,C,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.328,0.586,1.015,13,0.24,0.014,1,,
양의지,2020,05-30,@삼성,L 1:9,4,C,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.328,0.574,1.006,15,0.05,0.036,1,0.432,0.76
양의지,2020,05-31,@삼성,W 18:7,4,DH,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.323,0.554,0.977,13,0.28,-0.001,1,,
양의지,2020,06-02,SK,L 2:8,4,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0.529,0.937,18,-0.97,-0.047,1,0.407,0.59
양의지,2020,06-03,SK,W 8:6,4,C,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.301,0.521,0.916,18,-1.82,-0.097,1,,
양의지,2020,06-04,SK,W 10:0,4,C,2,1,1,0,0,1,4,5,0,0,1,0,0,0,0,0,1,0.307,0.560,0.960,12,2.64,0.044,1,0.400,0.78
양의지,2020,06-05,@한화,W 13:2,4,C,5,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.300,0.538,0.927,26,-0.83,-0.088,1,,
양의지,2020,06-06,@한화,W 14:2,4,C,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.298,0.536,0.920,10,0.41,-0.016,1,0.384,0.61
양의지,2020,06-09,두산,W 12:8,5,C,3,2,2,0,0,1,5,5,0,0,1,0,0,0,1,0,0,0.310,0.575,0.973,16,4.16,0.377,1,,
양의지,2020,06-10,두산,L 1:9,5,C,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.311,0.600,0.996,5,0.56,-0.037,1,0.396,0.66
양의지,2020,06-11,두산,W 7:5,4,DH,4,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.319,0.606,1.006,13,0.68,0.116,1,,
양의지,2020,06-12,키움,L 2:3,4,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.303,0.576,0.958,17,-1.66,-0.300,1,0.383,1.89
양의지,2020,06-14,키움,W 9:5,4,C,5,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0.298,0.567,0.942,18,-1.60,-0.054,1,,
양의지,2020,06-16,@KIA,L 4:7,4,C,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.296,0.565,0.936,14,-0.09,0.039,1,0.371,1.00
양의지,2020,06-17,@KIA,L 6:7,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.560,0.928,3,-0.18,-0.039,0,,
양의지,2020,06-23,@KT,W 4:3,4,C,3,2,2,1,0,1,6,2,0,0,0,0,0,0,0,0,1,0.304,0.598,0.970,9,1.18,0.192,1,0.372,1.18
