Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
오선우,2020,06-10,@KT,W 10:0,3,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,2,0.22,0.001,0,1.000,0.01
오선우,2020,06-11,@KT,L 8:13,6,RF,5,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.333,0.833,1.167,25,1.10,-0.021,1,,
오선우,2020,06-12,@SK,W 6:3,3,PH,3,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.444,1.111,1.556,12,1.66,0.323,0,0.444,1.03
오선우,2020,06-13,@SK,W 2:1,6,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.308,0.769,1.077,17,-1.00,-0.077,1,,
오선우,2020,06-14,@SK,L 3:4,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.714,1.000,3,-0.32,-0.043,0,0.286,1.80
오선우,2020,06-16,NC,W 7:4,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.733,1.067,4,0.52,0.071,0,,
오선우,2020,06-17,NC,W 7:6,8,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.375,0.750,1.125,1,0.40,0.077,0,0.375,1.91
오선우,2020,06-21,삼성,L 5:12,2,RF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.412,0.765,1.176,6,0.40,0.000,0,,
오선우,2020,06-23,@롯데,L 3:4,5,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.333,0.619,0.952,12,-1.77,-0.094,1,0.333,0.94
오선우,2020,06-28,@키움,L 0:1,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.318,0.591,0.909,4,-0.25,-0.058,0,,
오선우,2020,07-01,한화,W 4:3,8,PH,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.348,0.609,0.957,2,0.67,0.156,0,0.348,5.62
오선우,2020,07-04,@NC,L 2:9,2,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.609,0.957,0,0.00,0.000,0,,
오선우,2020,07-05,@NC,L 6:7,6,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.348,0.609,0.984,7,0.51,0.015,0,0.375,0.80
오선우,2020,07-08,KT,L 4:7,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.583,0.943,5,-0.25,-0.043,0,,
오선우,2020,07-10,키움,W 9:8,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320,0.560,0.906,4,-0.12,-0.005,0,0.346,0.22
오선우,2020,07-13,키움,W 13:3,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320,0.560,0.906,0,0.00,0.000,0,,
오선우,2020,07-14,@삼성,L 0:5,7,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.286,0.500,0.810,16,-1.20,-0.111,1,0.310,0.91
오선우,2020,07-15,@삼성,W 5:2,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.276,0.483,0.783,4,-0.26,-0.059,0,,
오선우,2020,07-16,@삼성,L 7:8,8,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.300,0.500,0.823,1,1.00,0.257,0,0.323,2.88
오선우,2020,07-18,두산,L 0:6,6,RF,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.303,0.485,0.828,15,-0.06,0.046,1,,
오선우,2020,07-19,두산,L 4:8,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.294,0.471,0.804,5,-0.51,-0.060,0,0.333,2.64
오선우,2020,07-21,@한화,W 10:2,2,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.457,0.781,6,-0.38,0.000,0,,
오선우,2020,07-22,@한화,W 2:1,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.278,0.444,0.760,4,-0.82,-0.077,0,0.316,3.05
오선우,2020,07-25,삼성,W 8:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270,0.432,0.740,3,-0.39,-0.073,0,,
오선우,2020,08-01,@롯데,L 3:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.421,0.721,4,-0.25,-0.004,0,0.300,0.13
오선우,2020,08-02,@롯데,L 0:8,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.256,0.410,0.703,5,-0.26,0.000,0,,
오선우,2020,08-04,LG,L 5:15,5,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.410,0.703,0,0.00,0.000,0,0.293,0.00
오선우,2020,08-05,LG,L 4:6,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.400,0.686,9,-0.47,-0.122,0,,
오선우,2020,08-06,LG,W 13:1,3,PH,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.250,0.400,0.702,4,0.13,0.000,0,0.302,0.00
오선우,2020,08-09,NC,L 1:8,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.390,0.686,5,-0.51,-0.027,0,,
오선우,2020,08-12,@LG,L 0:8,2,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.390,0.686,0,0.00,0.000,0,0.295,0.00
오선우,2020,08-13,@LG,L 2:4,7,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.233,0.372,0.655,10,-0.30,-0.026,1,,
오선우,2020,08-14,SK,W 7:6,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.364,0.640,6,-0.38,-0.043,0,0.277,1.86
