Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
오선진,2018,03-24,@넥센,L 3:6,9,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.250,20,0.09,-0.093,1,0.250,1.29
오선진,2018,03-25,@넥센,W 4:1,9,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.125,19,-0.97,-0.065,1,,
오선진,2018,03-29,@NC,L 1:4,8,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.167,18,-0.65,-0.046,1,0.167,0.70
오선진,2018,03-31,SK,L 1:12,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.154,2,-0.18,0.000,0,,
오선진,2018,04-01,SK,L 1:13,4,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.143,2,-0.12,0.000,0,0.143,0.00
오선진,2018,04-03,롯데,W 17:11,8,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.063,0.063,0.229,20,0.00,0.003,1,,
오선진,2018,04-04,롯데,W 7:6,8,3B,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.105,0.105,0.333,17,0.27,0.075,1,0.227,0.86
오선진,2018,04-07,@KT,L 2:10,7,3B,4,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.174,0.217,0.487,14,0.89,-0.015,1,,
오선진,2018,04-08,@KT,W 12:8,8,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.160,0.200,0.450,8,-0.36,-0.032,1,0.250,0.64
오선진,2018,04-10,KIA,W 4:3,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.138,0.172,0.391,12,-1.47,-0.124,1,,
오선진,2018,04-11,KIA,W 6:4,8,3B,3,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.156,0.188,0.438,14,0.43,0.090,1,0.250,1.09
오선진,2018,04-12,KIA,W 15:4,8,3B,5,2,3,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0.216,0.297,0.590,16,1.43,0.032,1,,
오선진,2018,04-13,삼성,L 2:4,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.195,0.268,0.535,14,-0.95,-0.138,1,0.267,1.31
오선진,2018,04-14,삼성,W 14:2,8,3B,5,2,4,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0.261,0.391,0.711,15,2.03,0.103,1,,
오선진,2018,04-15,삼성,W 7:4,8,SS,4,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0.280,0.400,0.733,15,0.05,0.093,1,0.333,1.15
오선진,2018,04-17,@두산,W 5:2,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.275,0.392,0.719,5,-0.26,-0.007,0,,
오선진,2018,04-19,@두산,L 2:5,7,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.382,0.704,21,-0.51,-0.001,1,0.322,1.14
오선진,2018,04-25,@KIA,W 3:2,3,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.382,0.704,0,0.00,0.000,0,,
오선진,2018,04-26,@KIA,W 3:1,8,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.382,0.704,0,0.00,0.000,0,0.322,0.00
오선진,2018,04-28,@롯데,W 4:2,7,3B,2,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0.263,0.368,0.702,10,-0.06,0.009,1,,
오선진,2018,04-29,@롯데,L 3:4,8,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.259,0.362,0.690,5,-0.34,-0.034,1,0.328,1.20
오선진,2018,05-01,LG,W 6:5,8,SS,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.274,0.371,0.709,16,0.13,-0.011,1,,
오선진,2018,05-02,LG,W 4:3,8,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.258,0.348,0.668,15,-1.32,-0.153,1,0.319,1.12
오선진,2018,05-03,LG,W 7:3,8,2B,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.261,0.348,0.677,12,-0.03,0.074,1,,
오선진,2018,05-04,@삼성,W 9:6,7,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.271,0.357,0.695,1,0.13,0.002,0,0.338,0.07
오선진,2018,05-05,@삼성,L 3:8,8,2B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.270,0.351,0.685,9,0.24,-0.021,1,,
오선진,2018,05-08,@넥센,W 10:9,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.342,0.667,10,-0.89,-0.086,1,0.325,1.53
오선진,2018,05-09,@넥센,W 4:1,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.260,0.338,0.659,4,-0.18,-0.003,0,,
오선진,2018,05-11,NC,L 2:4,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.329,0.643,8,-0.44,-0.053,1,0.314,1.06
오선진,2018,05-15,KT,L 0:3,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0.321,0.628,6,-0.43,-0.053,1,,
오선진,2018,06-01,@롯데,W 13:6,9,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.238,0.310,0.606,12,-1.05,-0.112,1,0.297,1.47
오선진,2018,06-02,@롯데,W 3:2,9,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.302,0.593,7,-0.56,-0.062,1,,
오선진,2018,06-03,@롯데,L 0:6,9,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.292,0.573,6,-0.56,-0.043,1,0.281,0.55
오선진,2018,06-17,두산,W 11:6,7,3B,4,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.237,0.312,0.602,18,-0.68,-0.047,1,,
오선진,2018,06-19,LG,L 0:4,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.227,0.299,0.578,10,-1.28,-0.093,1,0.279,0.88
