Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ø¿¿±ºÆ,2019,03-23,≈∞øÚ,L 4:7,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
ø¿¿±ºÆ,2019,03-24,≈∞øÚ,W 6:2,5,PR,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3,0.28,0.001,0,,
ø¿¿±ºÆ,2019,03-26,ªÔº∫,W 7:2,5,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,4,-0.47,-0.001,0,0.500,0.02
ø¿¿±ºÆ,2019,03-27,ªÔº∫,L 4:23,5,1B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.500,0.500,1.167,6,0.40,0.000,0,,
ø¿¿±ºÆ,2019,03-28,ªÔº∫,L 7:12,5,1B,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.762,16,-1.02,-0.155,1,0.429,1.68
ø¿¿±ºÆ,2019,03-29,@LG,L 1:2,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.762,0,0.00,0.000,0,,
ø¿¿±ºÆ,2019,03-30,@LG,W 7:1,5,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.661,2,-0.12,0.000,0,0.375,0.00
ø¿¿±ºÆ,2019,03-31,@LG,L 5:6,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.286,0.286,0.661,1,-0.23,-0.023,0,,
ø¿¿±ºÆ,2019,04-02,@SK,W 5:0,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.661,0,0.00,0.000,0,0.375,0.00
ø¿¿±ºÆ,2019,04-03,@SK,W 3:1,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.661,0,0.00,0.000,0,,
ø¿¿±ºÆ,2019,04-04,@SK,L 6:7,2,2B,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.300,0.300,0.664,17,0.80,0.103,1,0.364,1.12
ø¿¿±ºÆ,2019,04-05,«—»≠,W 5:2,2,2B,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.214,0.214,0.527,16,0.26,0.054,1,,
ø¿¿±ºÆ,2019,04-06,«—»≠,W 9:7,5,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.176,0.440,15,-0.85,-0.098,1,0.263,1.30
ø¿¿±ºÆ,2019,04-11,µŒªÍ,L 1:5,7,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.522,3,0.28,0.012,0,,
ø¿¿±ºÆ,2019,04-12,@NC,L 1:2,7,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.227,0.227,0.519,13,-1.22,-0.153,1,0.292,1.55
ø¿¿±ºÆ,2019,04-14,@NC,L 1:8,7,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.516,11,0.98,0.016,1,,
ø¿¿±ºÆ,2019,04-16,KIA,W 10:9,5,1B,5,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.258,0.258,0.561,14,-0.07,-0.012,1,0.303,1.06
ø¿¿±ºÆ,2019,04-17,KIA,W 8:6,5,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.257,0.257,0.554,19,-1.30,-0.180,1,,
ø¿¿±ºÆ,2019,04-18,KIA,W 10:9,5,1B,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.257,0.257,0.573,4,1.00,0.138,0,0.316,3.71
ø¿¿±ºÆ,2019,04-20,KT,W 5:4,5,1B,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.278,0.361,0.694,2,1.60,0.455,0,,
