Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
오지환,2017,03-31,@넥센,W 2:1,2,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0.000,0.000,0.250,21,-1.14,-0.098,1,0.250,0.79
오지환,2017,04-01,@넥센,W 8:3,2,SS,4,2,1,0,0,1,4,2,0,0,1,0,0,2,0,0,0,0.143,0.571,0.905,22,0.96,0.157,1,,
오지환,2017,04-02,@넥센,W 9:2,2,SS,3,0,2,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0.300,0.600,1.062,16,1.28,0.036,1,0.462,0.53
오지환,2017,04-04,삼성,W 11:0,2,SS,4,2,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0.357,0.643,1.143,15,1.24,0.037,1,,
오지환,2017,04-06,삼성,W 4:0,2,SS,4,2,3,0,1,1,8,2,0,0,0,0,0,1,0,0,0,0.444,0.944,1.490,20,2.81,0.215,1,0.545,0.61
오지환,2017,04-07,@롯데,W 6:4,2,SS,3,2,2,2,0,0,4,2,0,0,1,0,0,0,0,0,0,0.476,1.000,1.577,17,2.05,0.295,1,,
오지환,2017,04-08,@롯데,L 6:8,2,SS,5,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.462,0.885,1.433,25,-0.21,0.023,1,0.548,1.10
오지환,2017,04-09,@롯데,L 1:7,2,SS,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.429,0.821,1.351,17,-0.22,-0.047,1,,
오지환,2017,04-11,@NC,L 3:4,2,SS,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.394,0.727,1.214,18,-0.88,-0.122,1,0.487,1.74
오지환,2017,04-12,@NC,L 0:5,2,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.378,0.676,1.141,11,-0.47,-0.035,1,,
오지환,2017,04-13,@NC,L 1:3,2,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.350,0.625,1.072,16,-0.30,-0.021,1,0.447,1.05
오지환,2017,04-14,kt,W 5:2,2,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.318,0.568,0.980,16,-1.61,-0.152,1,,
오지환,2017,04-15,kt,L 0:1,2,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.311,0.556,0.959,3,-0.97,-0.170,0,0.404,3.60
오지환,2017,04-16,kt,W 12:5,2,SS,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.306,0.531,0.934,16,0.01,-0.039,1,,
오지환,2017,04-18,@한화,L 2:3,2,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.288,0.500,0.883,14,-1.57,-0.195,1,0.383,1.70
오지환,2017,04-19,@한화,L 0:3,2,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.268,0.464,0.824,8,-1.22,-0.100,1,,
오지환,2017,04-20,@한화,W 4:3,6,SS,3,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,1,0.271,0.475,0.828,17,-0.08,0.016,1,0.353,1.10
오지환,2017,04-21,KIA,W 6:2,9,SS,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.274,0.484,0.836,15,-0.29,-0.012,1,,
오지환,2017,04-22,KIA,L 4:5,9,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.273,0.470,0.816,13,-0.55,-0.055,1,0.347,1.33
오지환,2017,04-23,KIA,W 7:1,5,SS,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.271,0.457,0.807,17,-0.87,-0.001,1,,
오지환,2017,04-25,SK,L 3:8,5,SS,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.284,0.459,0.817,18,0.68,-0.002,1,0.357,0.38
오지환,2017,04-26,SK,W 9:0,5,SS,4,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0.321,0.487,0.874,13,2.28,0.064,1,,
오지환,2017,04-27,SK,W 4:2,5,SS,4,1,3,0,0,1,6,2,2,0,0,0,0,0,0,0,0,0.341,0.537,0.939,18,1.82,0.116,1,0.402,0.48
오지환,2017,04-28,@kt,W 2:1,5,SS,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.329,0.518,0.903,22,-1.09,-0.057,1,,
오지환,2017,04-29,@kt,L 0:6,5,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.500,0.874,11,-0.83,-0.059,1,0.374,0.78
오지환,2017,04-30,@kt,W 7:5,5,SS,5,3,3,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0.333,0.548,0.933,19,1.59,0.164,1,,
오지환,2017,05-02,NC,L 1:2,5,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.323,0.531,0.911,22,-0.48,-0.104,1,0.380,1.46
