Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Àª½¼,2019,06-19,@ÇÑÈ­,W 7:5,2,PH,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1.000,1.000,2.000,16,1.21,0.168,0,1.000,1.48
Àª½¼,2019,06-20,@ÇÑÈ­,L 7:10,5,1B,4,0,2,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0.600,0.600,1.350,14,1.90,0.169,1,,
Àª½¼,2019,06-21,Å°¿ò,L 4:7,5,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.375,0.375,0.958,23,-0.94,-0.059,1,0.583,0.95
Àª½¼,2019,06-22,Å°¿ò,W 4:1,5,2B,4,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.417,0.500,1.063,14,0.44,0.050,1,,
Àª½¼,2019,06-23,Å°¿ò,W 2:1,5,2B,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.400,0.467,0.993,15,-0.12,0.083,1,0.526,1.55
Àª½¼,2019,06-25,KT,D 8:8,5,3B,5,1,1,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0.350,0.550,1.030,21,0.03,0.070,1,,
Àª½¼,2019,06-27,KT,L 2:10,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.458,0.872,20,-1.47,-0.070,1,0.414,0.70
Àª½¼,2019,06-28,@µÎ»ê,L 2:3,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.250,0.393,0.756,12,-1.58,-0.243,1,,
Àª½¼,2019,06-29,@µÎ»ê,W 4:0,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.219,0.344,0.668,14,-1.37,-0.092,1,0.324,0.85
Àª½¼,2019,06-30,@µÎ»ê,W 4:0,5,3B,5,0,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0.243,0.405,0.739,14,0.95,0.086,1,,
Àª½¼,2019,07-02,@SK,L 1:10,5,3B,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.231,0.385,0.718,19,-0.16,0.018,1,0.333,0.25
Àª½¼,2019,07-03,@SK,L 5:8,5,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.233,0.372,0.699,13,-0.29,-0.021,1,,
Àª½¼,2019,07-04,@SK,L 7:9,5,3B,3,1,2,0,0,1,5,5,0,0,2,0,0,0,0,0,0,0.261,0.457,0.827,28,4.42,0.360,1,0.370,1.10
Àª½¼,2019,07-05,@Å°¿ò,L 1:14,5,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.260,0.440,0.802,11,-0.81,0.017,1,,
Àª½¼,2019,07-06,@Å°¿ò,L 4:6,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.241,0.407,0.746,12,-0.95,-0.111,1,0.339,1.10
Àª½¼,2019,07-07,@Å°¿ò,L 2:5,5,3B,2,0,1,1,0,0,2,1,0,0,2,0,0,1,0,0,0,0.250,0.429,0.792,16,1.32,0.222,1,,
Àª½¼,2019,07-09,NC,W 4:1,3,3B,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.259,0.431,0.817,21,0.35,0.065,1,0.386,1.05
Àª½¼,2019,07-11,NC,L 0:4,3,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.242,0.403,0.768,19,-1.02,-0.079,1,,
Àª½¼,2019,07-12,µÎ»ê,W 2:1,3,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.242,0.394,0.753,15,-0.32,-0.024,1,0.359,0.93
Àª½¼,2019,07-13,µÎ»ê,L 3:4,4,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.232,0.377,0.730,20,-0.02,-0.020,1,,
Àª½¼,2019,07-14,µÎ»ê,L 2:8,4,3B,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.236,0.375,0.735,18,-0.33,-0.061,1,0.360,1.26
Àª½¼,2019,07-17,@KIA,L 1:3,5,3B,4,1,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,0.237,0.408,0.763,18,0.31,-0.001,1,,
Àª½¼,2019,07-18,@KIA,W 6:3,3,3B,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0.238,0.400,0.747,14,-0.63,0.002,1,0.347,0.92
Àª½¼,2019,07-26,SK,L 6:8,5,3B,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.244,0.402,0.766,19,1.17,0.099,1,,
Àª½¼,2019,07-27,SK,L 0:4,5,3B,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0.241,0.398,0.776,20,1.03,0.116,1,0.379,1.20
Àª½¼,2019,07-28,SK,L 0:3,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.230,0.379,0.744,16,-1.02,-0.097,1,,
Àª½¼,2019,07-30,@»ï¼º,L 2:5,6,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.222,0.367,0.727,14,-0.39,-0.019,1,0.360,1.00
Àª½¼,2019,07-31,@»ï¼º,W 8:4,6,3B,4,2,3,0,0,2,9,2,0,0,1,0,0,1,0,0,0,0.245,0.447,0.826,15,2.32,0.221,1,,
Àª½¼,2019,08-01,@»ï¼º,W 9:4,6,3B,3,2,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0.247,0.454,0.837,16,1.20,0.062,1,0.383,0.40
Àª½¼,2019,08-03,µÎ»ê,W 2:1,6,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.240,0.440,0.814,9,-1.15,-0.099,1,,
Àª½¼,2019,08-04,µÎ»ê,W 9:4,6,3B,5,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0.248,0.438,0.813,14,-0.88,-0.031,1,0.375,0.42
Àª½¼,2019,08-07,Å°¿ò,L 4:16,6,3B,4,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.257,0.459,0.838,13,0.48,0.017,1,,
Àª½¼,2019,08-08,@»ï¼º,W 8:0,5,3B,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.257,0.451,0.831,25,-0.02,0.011,1,0.380,0.35
Àª½¼,2019,08-09,@»ï¼º,W 6:3,5,3B,4,0,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0.265,0.453,0.840,22,1.66,0.175,1,,
Àª½¼,2019,08-10,@NC,L 4:7,5,3B,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.273,0.479,0.870,16,1.49,0.015,1,0.390,0.35
Àª½¼,2019,08-11,@NC,L 1:9,5,3B,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.268,0.472,0.865,23,-0.35,0.000,1,,
Àª½¼,2019,08-13,KT,W 6:5,5,3B,4,1,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0.276,0.488,0.884,19,0.52,0.171,1,0.396,1.75
Àª½¼,2019,08-14,KT,L 0:6,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.473,0.859,11,-1.54,-0.078,1,,
Àª½¼,2019,08-15,ÇÑÈ­,W 11:5,5,3B,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.272,0.471,0.857,14,-0.16,-0.041,1,0.387,0.64
Àª½¼,2019,08-16,ÇÑÈ­,L 1:2,5,3B,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.271,0.464,0.848,13,0.00,-0.096,1,,
Àª½¼,2019,08-17,@µÎ»ê,L 2:9,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.264,0.451,0.826,17,-0.87,-0.025,1,0.374,0.25
Àª½¼,2019,08-18,@µÎ»ê,L 3:11,5,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.257,0.439,0.805,20,-1.58,-0.074,1,,
Àª½¼,2019,08-20,@SK,L 0:5,5,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.252,0.430,0.794,20,-0.70,-0.016,1,0.363,0.81
Àª½¼,2019,08-21,@SK,L 4:5,5,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.252,0.426,0.786,15,-0.72,-0.204,1,,
Àª½¼,2019,08-22,@KT,L 2:4,7,3B,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.253,0.424,0.788,10,-0.28,0.034,1,0.364,1.45
Àª½¼,2019,08-23,@KT,D 3:3,6,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.255,0.422,0.786,10,-1.02,-0.098,1,,
Àª½¼,2019,08-24,NC,L 3:8,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.420,0.781,2,-0.26,-0.004,0,0.361,0.16
Àª½¼,2019,08-25,NC,W 5:4,3,1B,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.253,0.416,0.775,13,0.90,0.069,1,,
Àª½¼,2019,08-27,LG,L 1:2,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.247,0.406,0.758,18,-0.95,-0.165,1,0.352,1.62
Àª½¼,2019,08-28,LG,W 4:3,9,PH,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.251,0.415,0.770,1,1.15,0.365,0,,
Àª½¼,2019,08-29,@Å°¿ò,L 0:4,3,1B,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.257,0.423,0.781,14,0.33,0.005,1,0.358,0.39
Àª½¼,2019,08-30,@Å°¿ò,L 2:5,3,1B,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.258,0.427,0.788,15,0.49,0.058,1,,
Àª½¼,2019,08-31,@KIA,L 2:4,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.253,0.418,0.771,15,-1.32,-0.167,1,0.354,1.52
Àª½¼,2019,09-01,@KIA,L 2:4,4,1B,4,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.258,0.425,0.781,14,-0.08,0.046,1,,
Àª½¼,2019,09-03,»ï¼º,L 4:5,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.253,0.416,0.766,16,-1.33,-0.143,1,0.350,1.01
