Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
유강남,2019,03-23,@KIA,W 2:0,8,C,3,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.333,11,1.00,0.145,1,0.667,1.25
유강남,2019,03-24,@KIA,W 9:3,8,C,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.286,0.286,0.661,28,-0.18,-0.006,1,,
유강남,2019,03-26,@SK,W 6:3,8,C,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.697,10,-0.60,-0.034,1,0.333,0.87
유강남,2019,03-27,@SK,L 1:2,8,C,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333,0.467,0.842,14,-0.17,0.079,1,,
유강남,2019,03-28,@SK,L 1:3,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.313,0.438,0.790,7,-0.12,-0.025,0,0.353,0.98
유강남,2019,03-29,롯데,W 2:1,6,C,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.316,0.421,0.802,18,0.32,0.034,1,,
유강남,2019,03-30,롯데,L 1:7,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.381,0.729,8,-0.30,-0.018,1,0.348,0.35
유강남,2019,03-31,롯데,W 6:5,8,C,5,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.269,0.385,0.706,19,0.47,0.187,1,,
유강남,2019,04-02,@한화,L 2:6,6,C,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.233,0.333,0.615,14,-2.32,-0.143,1,0.281,0.77
유강남,2019,04-03,@한화,W 7:0,6,C,4,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.235,0.324,0.621,27,-0.43,-0.064,1,,
유강남,2019,04-04,@한화,L 1:2,8,C,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.243,0.351,0.651,13,-0.01,-0.005,1,0.300,2.05
유강남,2019,04-05,@KT,W 13:0,8,C,2,2,1,0,0,1,4,2,0,0,1,0,0,0,0,0,1,0.256,0.436,0.754,12,0.43,0.040,1,,
유강남,2019,04-06,@KT,L 1:2,8,C,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.256,0.419,0.731,22,-0.75,-0.103,1,0.313,1.97
유강남,2019,04-07,@KT,L 3:4,9,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.244,0.400,0.700,7,-1.77,-0.277,0,,
유강남,2019,04-10,삼성,L 5:6,8,C,4,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.245,0.449,0.745,16,0.60,0.017,1,0.296,1.25
유강남,2019,04-11,삼성,W 5:2,8,C,4,2,3,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0.283,0.547,0.875,9,1.95,0.315,1,,
유강남,2019,04-12,두산,W 3:0,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.518,0.829,8,-0.68,-0.030,1,0.311,0.41
유강남,2019,04-13,두산,W 5:2,8,C,4,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0.267,0.517,0.824,10,-1.17,-0.116,1,,
유강남,2019,04-14,두산,L 0:8,6,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.262,0.508,0.822,8,0.02,0.019,1,0.313,0.54
유강남,2019,04-16,@NC,W 7:2,5,C,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.250,0.484,0.790,12,-0.80,-0.008,1,,
유강남,2019,04-17,@NC,W 4:2,5,C,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.250,0.471,0.791,21,0.53,0.119,1,0.321,1.65
유강남,2019,04-18,@NC,W 6:1,5,C,4,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.236,0.444,0.749,23,-0.05,-0.023,1,,
유강남,2019,04-19,키움,L 3:13,3,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.247,0.452,0.765,5,0.28,0.000,0,0.313,0.01
유강남,2019,04-20,키움,L 3:7,6,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.429,0.727,20,-1.07,-0.135,1,,
유강남,2019,04-21,키움,W 5:3,6,C,2,1,2,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0.253,0.456,0.785,21,1.41,0.123,1,0.330,0.95
유강남,2019,04-23,KIA,W 9:2,5,C,4,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.265,0.458,0.795,18,1.19,0.137,1,,
유강남,2019,04-24,KIA,W 10:3,5,C,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.264,0.448,0.782,18,0.18,0.018,1,0.333,0.38
유강남,2019,04-27,@삼성,W 8:0,5,C,3,1,1,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0.267,0.478,0.818,13,0.62,0.110,1,,
유강남,2019,04-28,@삼성,W 2:1,5,C,4,1,2,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0.277,0.521,0.867,13,1.20,0.403,1,0.346,1.09
유강남,2019,04-30,KT,W 10:9,5,C,6,1,1,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0.270,0.530,0.866,38,-1.71,-0.090,1,,
유강남,2019,05-01,KT,W 3:2,5,C,4,1,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0.269,0.529,0.862,19,-0.61,-0.043,1,0.333,0.85
유강남,2019,05-02,KT,W 5:4,8,PH,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.262,0.514,0.845,15,-0.29,-0.044,0,,
유강남,2019,05-03,@두산,L 2:7,5,C,3,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0.273,0.518,0.862,16,0.13,-0.021,1,0.344,0.77
유강남,2019,05-04,@두산,L 2:3,5,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.500,0.833,11,-0.94,-0.120,1,,
유강남,2019,05-05,@두산,L 2:11,5,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.487,0.813,17,-1.18,-0.042,1,0.326,0.54
유강남,2019,05-07,@키움,W 12:10,5,C,5,1,3,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0.270,0.492,0.828,12,1.75,0.151,1,,
유강남,2019,05-08,@키움,L 0:6,5,C,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.278,0.492,0.832,11,0.45,0.007,1,0.340,0.68
유강남,2019,05-09,@키움,L 1:2,5,C,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.269,0.477,0.808,14,-1.03,-0.115,1,,
유강남,2019,05-10,한화,L 2:5,5,C,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.261,0.463,0.785,12,0.49,0.051,1,0.322,0.59
유강남,2019,05-11,한화,W 6:4,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.463,0.785,0,0.00,0.000,0,,
유강남,2019,05-12,한화,W 2:0,8,C,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.261,0.457,0.777,15,-0.58,-0.025,1,0.320,0.63
유강남,2019,05-14,@롯데,L 0:4,6,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.255,0.447,0.761,10,-0.49,-0.032,1,,
유강남,2019,05-15,@롯데,L 4:8,8,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.247,0.432,0.736,25,-3.10,-0.223,1,0.304,1.69
유강남,2019,05-16,@롯데,W 3:2,8,C,3,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0.248,0.430,0.733,18,-0.34,0.002,1,,
