Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
유한준,2020,05-05,롯데,L 2:7,4,DH,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,18,-0.21,0.002,1,0.500,0.58
유한준,2020,05-06,롯데,L 4:9,4,DH,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,13,-1.28,-0.082,1,,
유한준,2020,05-07,롯데,L 3:7,4,DH,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.182,0.182,0.432,23,-0.38,-0.032,1,0.250,1.17
유한준,2020,05-08,@두산,W 12:3,4,RF,5,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.313,0.313,0.665,18,0.34,0.053,1,,
유한준,2020,05-10,@두산,L 12:13,4,DH,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.273,0.577,25,-0.96,-0.111,1,0.304,1.13
유한준,2020,05-12,@NC,L 6:7,4,RF,4,2,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.308,0.346,0.703,19,0.62,0.068,1,,
유한준,2020,05-13,@NC,L 4:5,4,DH,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.300,0.433,0.777,19,0.03,0.223,1,0.344,1.82
유한준,2020,05-14,@NC,L 0:1,4,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.294,0.412,0.745,9,-0.59,-0.010,1,,
유한준,2020,05-15,삼성,W 14:6,4,DH,5,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.282,0.462,0.779,13,0.77,-0.104,1,0.317,0.78
유한준,2020,05-16,삼성,W 10:4,4,DH,1,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.300,0.475,0.824,10,1.86,0.101,1,,
유한준,2020,06-02,두산,L 8:11,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0.463,0.804,4,0.93,0.021,0,0.341,0.44
유한준,2020,06-03,두산,W 7:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.452,0.786,1,-0.26,0.000,0,,
유한준,2020,06-04,두산,L 8:14,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.279,0.442,0.768,2,-0.57,-0.003,0,0.326,0.08
유한준,2020,06-05,@롯데,L 4:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.432,0.751,2,-0.18,-0.024,0,,
