Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
À±¼®¹Î,2017,03-31,LG,L 1:2,4,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,17,-0.58,-0.185,1,0.250,2.13
À±¼®¹Î,2017,04-01,LG,L 3:8,4,DH,4,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0.375,0.375,0.819,19,0.29,0.030,1,,
À±¼®¹Î,2017,04-02,LG,L 2:9,4,DH,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.718,17,-0.95,0.021,1,0.385,0.62
À±¼®¹Î,2017,04-04,@·Ôµ¥,L 2:5,4,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.745,14,0.10,0.014,1,,
À±¼®¹Î,2017,04-06,@·Ôµ¥,L 3:12,4,1B,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.316,0.474,0.855,10,0.95,-0.048,1,0.381,0.44
À±¼®¹Î,2017,04-07,@µÎ»ê,W 7:3,4,DH,5,2,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.333,0.500,0.885,24,-0.52,0.014,1,,
À±¼®¹Î,2017,04-08,@µÎ»ê,W 13:10,4,DH,6,1,5,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0.433,0.567,1.035,20,1.92,0.207,1,0.469,0.80
À±¼®¹Î,2017,04-09,@µÎ»ê,W 13:2,4,DH,5,3,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.457,0.657,1.144,13,1.76,0.080,1,,
À±¼®¹Î,2017,04-11,kt,W 12:2,4,DH,4,2,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.462,0.667,1.167,22,1.35,0.005,1,0.500,0.41
À±¼®¹Î,2017,04-12,kt,W 5:3,4,DH,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.439,0.634,1.112,11,-0.64,-0.018,1,,
À±¼®¹Î,2017,04-13,kt,L 6:7,4,DH,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.391,0.565,0.997,17,-1.02,-0.058,1,0.431,1.42
À±¼®¹Î,2017,04-14,@KIA,L 2:3,4,DH,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.388,0.551,0.987,16,0.50,0.051,1,,
À±¼®¹Î,2017,04-15,@KIA,L 2:5,4,1B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.377,0.528,0.952,8,-0.96,-0.089,1,0.424,0.94
À±¼®¹Î,2017,04-16,@KIA,L 6:7,4,1B,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.379,0.517,0.939,17,0.05,0.040,1,,
À±¼®¹Î,2017,04-18,@SK,L 4:7,4,DH,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.387,0.516,0.943,12,0.83,-0.004,1,0.426,0.40
À±¼®¹Î,2017,04-19,@SK,L 3:5,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.364,0.485,0.888,23,-1.54,-0.223,1,,
À±¼®¹Î,2017,04-20,@SK,W 5:3,4,DH,3,0,2,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0.377,0.493,0.921,28,1.27,0.148,1,0.429,0.89
À±¼®¹Î,2017,04-21,·Ôµ¥,W 4:1,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.356,0.466,0.873,17,-1.42,-0.112,1,,
À±¼®¹Î,2017,04-22,·Ôµ¥,L 2:3,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.338,0.442,0.830,9,-1.08,-0.159,1,0.388,1.68
À±¼®¹Î,2017,04-23,·Ôµ¥,W 6:5,4,1B,3,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.350,0.450,0.854,15,0.35,0.053,1,,
À±¼®¹Î,2017,04-25,µÎ»ê,W 13:9,4,DH,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.357,0.452,0.861,10,0.55,0.053,1,0.409,1.16
À±¼®¹Î,2017,04-26,µÎ»ê,L 3:4,4,DH,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.364,0.466,0.878,23,0.48,0.231,1,,
À±¼®¹Î,2017,04-27,µÎ»ê,W 7:3,3,DH,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.359,0.457,0.868,21,-0.52,-0.015,1,0.412,0.48
À±¼®¹Î,2017,04-28,@ÇÑÈ­,W 13:2,4,1B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.340,0.433,0.826,23,-1.75,-0.066,1,,
À±¼®¹Î,2017,04-29,@ÇÑÈ­,W 7:3,4,1B,4,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0.347,0.436,0.829,19,0.91,0.068,1,0.393,0.96
