Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÀÌµ¿ÈÆ,2020,05-14,KIA,W 4:1,3,CF,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,8,0.10,0.002,0,0.500,0.16
ÀÌµ¿ÈÆ,2020,05-15,·Ôµ¥,W 2:1,9,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,21,-1.08,-0.116,1,,
ÀÌµ¿ÈÆ,2020,05-16,·Ôµ¥,L 1:5,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.286,7,-0.76,-0.085,1,0.143,1.79
ÀÌµ¿ÈÆ,2020,05-17,·Ôµ¥,W 5:4,6,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.250,5,-0.12,-0.035,0,,
ÀÌµ¿ÈÆ,2020,06-03,Å°¿ò,L 2:6,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.111,0.222,4,-0.32,-0.013,0,0.111,0.50
ÀÌµ¿ÈÆ,2020,06-05,NC,L 2:13,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.200,5,-0.12,0.000,0,,
ÀÌµ¿ÈÆ,2020,06-06,NC,L 2:14,1,CF,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,12,0.02,0.001,0,0.167,0.02
ÀÌµ¿ÈÆ,2020,06-07,NC,L 2:8,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.308,2,-0.26,-0.002,0,,
ÀÌµ¿ÈÆ,2020,06-09,@·Ôµ¥,L 3:9,7,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.133,0.267,3,-0.57,-0.045,1,0.133,0.86
ÀÌµ¿ÈÆ,2020,06-10,@·Ôµ¥,L 2:12,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.250,3,-0.26,0.000,0,,
ÀÌµ¿ÈÆ,2020,06-11,@·Ôµ¥,L 0:5,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.118,0.118,0.235,5,-0.18,-0.007,0,0.118,0.28
ÀÌµ¿ÈÆ,2020,06-12,µÎ»ê,L 2:5,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.235,0,0.15,0.001,0,,
ÀÌµ¿ÈÆ,2020,06-13,µÎ»ê,W 7:6,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.235,0,0.10,-0.002,0,0.118,4.96
ÀÌµ¿ÈÆ,2020,06-14,µÎ»ê,W 3:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.235,0,0.00,0.000,0,,
ÀÌµ¿ÈÆ,2020,06-16,LG,L 5:9,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.111,0.222,5,-0.46,-0.005,0,0.111,0.18
ÀÌµ¿ÈÆ,2020,06-17,LG,L 1:7,3,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.105,0.105,0.211,4,-0.63,-0.001,0,,
ÀÌµ¿ÈÆ,2020,07-24,SK,L 4:7,9,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.095,0.095,0.190,10,-0.64,-0.049,1,0.095,1.01
ÀÌµ¿ÈÆ,2020,07-26,SK,L 4:7,9,LF,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.083,0.167,14,-0.92,-0.074,1,,
ÀÌµ¿ÈÆ,2020,07-27,SK,D 5:5,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.083,0.167,0,0.00,0.000,0,0.083,0.00
ÀÌµ¿ÈÆ,2020,07-29,@»ï¼º,W 12:7,9,PH,3,2,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.111,0.111,0.254,16,-0.18,-0.057,0,,
ÀÌµ¿ÈÆ,2020,07-30,@»ï¼º,L 1:2,5,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.229,5,0.33,0.016,0,0.129,2.74
ÀÌµ¿ÈÆ,2020,09-25,·Ôµ¥,W 6:5,6,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.097,0.222,5,-0.47,-0.112,0,,
ÀÌµ¿ÈÆ,2020,09-26,NC,L 1:13,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.094,0.094,0.215,5,-0.60,0.000,0,0.121,0.00
ÀÌµ¿ÈÆ,2020,09-27,NC,L 4:5,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.094,0.215,0,0.00,0.000,0,,
ÀÌµ¿ÈÆ,2020,09-30,µÎ»ê,W 10:0,6,CF,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.118,0.118,0.261,5,1.16,0.003,0,0.143,0.03
ÀÌµ¿ÈÆ,2020,10-01,µÎ»ê,W 12:4,8,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.114,0.114,0.253,7,-0.18,0.000,0,,
ÀÌµ¿ÈÆ,2020,10-03,@·Ôµ¥,L 0:10,1,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0.114,0.253,0,0.00,0.000,0,0.139,0.00
ÀÌµ¿ÈÆ,2020,10-04,@·Ôµ¥,L 5:14,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.246,1,-0.82,0.000,0,,
ÀÌµ¿ÈÆ,2020,10-06,@KIA,W 3:2,4,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.246,0,0.00,0.000,0,0.135,0.00
ÀÌµ¿ÈÆ,2020,10-07,@KIA,L 4:6,1,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.246,0,0.00,0.000,0,,
ÀÌµ¿ÈÆ,2020,10-07,@KIA,W 5:0,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.246,0,0.00,0.000,0,0.135,0.00
ÀÌµ¿ÈÆ,2020,10-08,@KIA,W 13:6,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.108,0.108,0.240,6,-0.38,-0.001,0,,
ÀÌµ¿ÈÆ,2020,10-10,Å°¿ò,L 0:3,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.108,0.240,0,0.00,0.000,0,0.132,0.00
ÀÌµ¿ÈÆ,2020,10-11,Å°¿ò,W 9:3,4,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.108,0.240,0,0.00,0.000,0,,
ÀÌµ¿ÈÆ,2020,10-14,@µÎ»ê,L 1:2,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.108,0.240,0,0.00,0.000,0,0.132,0.00
ÀÌµ¿ÈÆ,2020,10-15,@µÎ»ê,L 3:16,5,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.105,0.105,0.233,7,-0.26,0.000,0,,
ÀÌµ¿ÈÆ,2020,10-17,»ï¼º,D 4:4,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.105,0.233,0,0.00,0.000,0,0.128,0.00
