Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이병규,2017,04-14,kt,W 5:2,6,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.250,15,-0.90,-0.052,1,0.250,0.65
이병규,2017,04-15,kt,L 0:1,6,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.250,14,-0.31,0.048,1,,
이병규,2017,04-16,kt,W 12:5,6,LF,3,2,2,0,1,0,4,3,0,0,1,0,0,0,0,0,0,0.222,0.444,0.861,14,2.77,0.189,1,0.417,0.97
이병규,2017,04-18,@한화,L 2:3,6,LF,4,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.308,0.462,0.899,20,0.57,0.041,1,,
이병규,2017,04-19,@한화,L 0:3,6,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.235,0.353,0.703,22,-1.29,-0.115,1,0.350,1.16
이병규,2017,04-20,@한화,W 4:3,5,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.190,0.286,0.577,22,-1.69,-0.143,1,,
이병규,2017,04-21,KIA,W 6:2,6,LF,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.160,0.240,0.490,18,-0.01,0.015,1,0.250,0.61
이병규,2017,04-22,KIA,L 4:5,6,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.148,0.222,0.456,5,-0.52,-0.044,1,,
이병규,2017,04-23,KIA,W 7:1,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.214,0.440,5,-0.26,0.000,0,0.226,0.02
이병규,2017,04-25,SK,L 3:8,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.138,0.207,0.426,4,-0.26,-0.018,0,,
이병규,2017,05-10,@삼성,W 6:1,7,RF,5,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.206,0.265,0.535,19,-0.14,-0.030,1,0.270,1.21
이병규,2017,05-11,@삼성,W 8:5,7,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.189,0.243,0.493,18,-0.72,-0.095,1,,
이병규,2017,05-12,한화,L 3:5,3,PH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.205,0.256,0.518,6,0.15,0.033,0,0.262,1.64
이병규,2017,05-13,한화,L 0:10,2,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.250,0.506,2,-0.18,0.000,0,,
이병규,2017,05-16,@KIA,L 2:3,2,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.190,0.238,0.483,12,-0.69,-0.068,1,0.244,1.48
이병규,2017,05-18,@KIA,L 4:9,7,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.186,0.233,0.472,5,-0.18,-0.016,1,,
이병규,2017,05-19,롯데,L 4:9,9,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.186,0.233,0.488,6,0.13,0.028,0,0.255,0.94
이병규,2017,05-20,롯데,W 3:2,2,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.233,0.488,0,0.00,0.000,0,,
이병규,2017,05-21,롯데,W 4:3,2,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.205,0.250,0.521,3,0.28,0.070,0,0.271,1.85
