Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이상호,2018,03-24,LG,W 4:2,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
이상호,2018,03-25,LG,W 7:1,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
이상호,2018,03-28,한화,L 2:6,9,PH,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,2.000,3.000,3,0.43,0.022,0,1.000,0.35
이상호,2018,03-29,한화,W 4:1,1,2B,3,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1.000,1.250,2.250,9,0.10,0.052,0,,
이상호,2018,03-30,@롯데,W 7:5,1,2B,5,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.778,1.444,16,0.88,0.108,1,0.667,0.78
이상호,2018,03-31,@롯데,W 10:5,1,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.583,1.083,4,-1.35,-0.124,1,,
이상호,2018,04-01,@롯데,L 2:3,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.583,1.083,0,0.00,0.000,0,0.500,0.00
이상호,2018,04-03,삼성,W 4:3,4,PR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.500,0.929,2,-0.58,-0.119,0,,
이상호,2018,04-04,삼성,W 4:1,8,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.429,0.500,0.929,0,0.09,0.011,0,0.429,0.73
이상호,2018,04-05,삼성,L 1:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.467,0.867,3,-0.34,-0.016,0,,
이상호,2018,04-07,@두산,L 3:6,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.467,0.867,0,0.00,0.000,0,0.400,0.00
이상호,2018,04-08,@두산,L 10:11,2,LF,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.353,0.412,0.765,6,-0.54,-0.049,1,,
이상호,2018,04-10,KT,L 4:5,1,2B,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.316,0.368,0.718,12,-0.03,-0.011,1,0.350,0.57
이상호,2018,04-11,KT,L 4:12,9,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.350,0.400,0.781,2,0.28,0.020,0,,
이상호,2018,04-12,KT,L 2:7,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.381,0.745,6,-0.26,-0.011,0,0.364,0.41
이상호,2018,04-13,@SK,L 2:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.364,0.711,1,-0.26,-0.013,0,,
이상호,2018,04-14,@SK,L 0:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.348,0.681,6,-0.26,-0.023,0,0.333,0.92
이상호,2018,04-15,@SK,L 2:3,5,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.348,0.681,0,0.09,0.008,0,,
이상호,2018,04-17,@넥센,W 3:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.348,0.681,0,0.00,0.000,0,0.333,0.00
이상호,2018,04-19,@넥센,L 3:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.333,0.653,4,-0.18,-0.006,0,,
이상호,2018,04-20,LG,L 4:9,6,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.320,0.628,2,-0.25,-0.011,0,0.308,0.36
이상호,2018,04-21,LG,L 3:6,9,PH,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.269,0.308,0.629,9,0.02,0.009,0,,
이상호,2018,04-22,LG,L 4:5,1,2B,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.250,0.286,0.608,19,-0.32,-0.058,0,0.323,2.32
이상호,2018,04-24,@삼성,L 2:7,1,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.258,0.552,7,-0.77,-0.054,1,,
이상호,2018,04-25,@삼성,W 9:2,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.258,0.552,0,0.00,0.000,0,0.294,0.00
이상호,2018,04-26,@삼성,W 5:2,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.250,0.536,2,-0.26,-0.011,0,,
이상호,2018,04-28,두산,W 5:1,4,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.242,0.520,2,-0.38,-0.004,0,0.278,0.15
이상호,2018,04-29,두산,L 1:7,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.235,0.265,0.562,2,0.28,0.002,0,,
이상호,2018,05-01,넥센,L 4:13,1,2B,4,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0.263,0.289,0.623,17,0.05,0.035,1,0.333,0.68
이상호,2018,05-02,넥센,W 13:8,1,2B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.262,0.286,0.612,25,-0.86,-0.051,1,,
이상호,2018,05-03,넥센,L 9:13,1,2B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.255,0.549,13,-1.19,-0.089,1,0.294,0.69
이상호,2018,05-04,@KIA,W 6:5,1,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.240,0.518,10,-0.77,-0.071,1,,
이상호,2018,05-05,@KIA,L 4:12,3,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.235,0.508,1,-0.18,0.000,0,0.273,0.00
이상호,2018,05-06,@KIA,L 3:11,8,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.218,0.472,6,-0.82,-0.036,1,,
이상호,2018,05-09,SK,L 5:6,9,PH,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.211,0.228,0.502,12,-0.11,0.022,0,0.274,1.06
이상호,2018,05-11,@한화,W 4:2,4,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.211,0.228,0.502,3,-0.38,-0.081,0,,
이상호,2018,05-13,@한화,L 0:4,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.228,0.502,0,0.00,0.000,0,0.274,0.00
이상호,2018,05-15,롯데,L 3:5,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.224,0.241,0.527,1,0.40,0.074,0,,
이상호,2018,05-17,롯데,L 0:7,1,2B,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.233,0.267,0.559,9,0.17,-0.017,0,0.292,0.36
이상호,2018,05-19,@KT,L 2:3,2,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.230,0.262,0.550,5,-0.47,-0.114,0,,
이상호,2018,05-20,@KT,L 3:18,5,PR,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.234,0.266,0.555,6,-0.68,-0.024,0,0.290,0.43
