Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÀÌ¼º°ï,2020,05-19,LG,L 6:10,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,7,-0.97,-0.031,0,0.000,0.85
ÀÌ¼º°ï,2020,05-21,LG,L 0:2,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,5,0.28,0.046,0,,
ÀÌ¼º°ï,2020,05-22,µÎ»ê,L 7:12,6,RF,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.200,0.200,0.533,21,-1.03,-0.092,1,0.333,1.05
ÀÌ¼º°ï,2020,05-24,µÎ»ê,W 13:0,8,PH,2,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.286,0.429,0.804,9,0.73,0.001,0,,
ÀÌ¼º°ï,2020,05-27,@·Ôµ¥,W 11:1,5,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.375,0.708,4,-0.18,0.000,0,0.333,0.00
ÀÌ¼º°ï,2020,05-29,NC,W 5:4,7,DH,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.273,0.364,0.697,13,0.36,0.079,1,,
ÀÌ¼º°ï,2020,05-30,NC,W 9:1,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.697,0,0.00,0.000,0,0.333,0.00
ÀÌ¼º°ï,2020,05-31,NC,L 7:18,6,PH,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.333,0.417,0.774,5,0.07,-0.014,0,,
ÀÌ¼º°ï,2020,06-03,@LG,W 12:6,6,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.357,0.670,2,-0.76,-0.004,0,0.313,0.07
ÀÌ¼º°ï,2020,06-04,@LG,L 0:11,6,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.278,0.333,0.633,10,-0.69,-0.018,1,,
ÀÌ¼º°ï,2020,06-24,ÇÑÈ­,W 3:2,7,RF,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.350,0.400,0.764,8,1.29,0.141,1,0.364,1.48
ÀÌ¼º°ï,2020,06-25,ÇÑÈ­,L 2:9,9,RF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.381,0.429,0.820,1,0.13,0.000,0,,
ÀÌ¼º°ï,2020,06-26,@·Ôµ¥,W 6:4,7,1B,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.417,0.583,1.006,7,0.88,0.151,0,0.423,0.94
ÀÌ¼º°ï,2020,06-27,@·Ôµ¥,W 6:1,5,1B,4,2,3,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0.464,0.750,1.217,8,2.38,0.250,1,,
ÀÌ¼º°ï,2020,06-28,@·Ôµ¥,L 3:7,4,1B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.438,0.688,1.129,14,0.39,0.046,1,0.441,0.74
ÀÌ¼º°ï,2020,06-30,SK,W 4:1,4,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.424,0.667,1.095,3,-0.71,-0.065,1,,
ÀÌ¼º°ï,2020,07-01,SK,W 7:1,3,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.378,0.595,0.979,23,-1.73,-0.058,1,0.385,0.73
ÀÌ¼º°ï,2020,07-02,SK,W 6:2,5,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.375,0.575,0.956,11,-0.33,-0.021,1,,
