Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이성열,2018,04-08,@KT,W 12:8,5,DH,4,2,3,0,0,1,6,5,1,0,1,0,0,1,0,0,0,0.750,1.500,2.300,23,4.93,0.501,1,0.800,1.81
이성열,2018,04-10,KIA,W 4:3,5,1B,2,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.667,1.167,1.944,15,1.04,0.101,1,,
이성열,2018,04-11,KIA,W 6:4,5,DH,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.500,0.800,1.415,19,-0.15,-0.005,1,0.615,0.87
이성열,2018,04-12,KIA,W 15:4,5,DH,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.417,0.667,1.229,16,-0.05,-0.023,1,,
이성열,2018,04-13,삼성,L 2:4,5,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.375,0.563,1.063,15,-1.07,-0.183,1,0.500,1.82
이성열,2018,04-14,삼성,W 14:2,5,DH,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.429,0.829,11,-0.76,-0.019,1,,
이성열,2018,04-15,삼성,W 7:4,5,DH,2,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.304,0.435,0.883,26,1.88,0.155,1,0.448,1.07
이성열,2018,04-17,@두산,W 5:2,5,DH,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.333,0.444,0.899,12,-0.14,-0.013,1,,
이성열,2018,04-18,@두산,L 4:5,5,DH,3,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.333,0.433,0.907,24,0.80,0.251,1,0.474,2.49
이성열,2018,04-19,@두산,L 2:5,5,1B,4,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0.324,0.412,0.864,18,0.73,0.064,1,,
이성열,2018,04-20,넥센,L 1:6,5,1B,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.316,0.421,0.856,15,-0.23,-0.011,1,0.435,0.88
이성열,2018,04-21,넥센,L 3:4,5,1B,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.310,0.429,0.849,21,0.32,-0.040,1,,
이성열,2018,04-22,넥센,L 1:10,5,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.289,0.400,0.796,10,-1.23,-0.104,1,0.396,0.89
이성열,2018,04-25,@KIA,W 3:2,8,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.304,0.413,0.820,1,1.07,0.361,0,,
이성열,2018,04-26,@KIA,W 3:1,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.298,0.404,0.804,3,-0.84,-0.225,0,0.400,7.61
이성열,2018,04-27,@롯데,L 3:5,6,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.294,0.392,0.782,14,-0.65,-0.142,1,,
이성열,2018,04-29,@롯데,L 3:4,5,1B,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.286,0.375,0.750,30,-2.86,-0.349,1,0.375,1.83
이성열,2018,05-01,LG,W 6:5,7,1B,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0.271,0.356,0.714,8,-1.07,-0.062,1,,
