Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
捞快己,2020,05-05,虐框,L 2:11,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
捞快己,2020,05-06,虐框,L 2:3,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,15,-1.14,-0.126,1,,
捞快己,2020,05-07,虐框,W 8:5,7,PH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.200,3,0.28,0.046,0,0.200,3.94
捞快己,2020,05-10,@伙己,W 12:3,3,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.167,3,-0.18,0.000,0,,
捞快己,2020,05-12,@茄拳,W 2:1,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.143,3,-0.12,-0.009,0,0.143,0.35
捞快己,2020,05-15,滴魂,L 4:13,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.125,4,-0.18,0.000,0,,
捞快己,2020,05-16,滴魂,W 13:4,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.111,2,-0.51,0.000,0,0.111,0.00
捞快己,2020,05-17,滴魂,L 4:6,8,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.200,5,0.15,0.008,0,,
捞快己,2020,05-23,@SK,W 8:3,7,CF,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.000,0.000,0.143,13,-0.90,-0.042,1,0.143,1.11
捞快己,2020,05-24,@SK,L 3:4,4,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.133,2,-0.26,-0.059,0,,
捞快己,2020,05-28,@KT,L 5:6,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.125,6,-0.18,-0.026,0,0.125,1.04
捞快己,2020,05-29,LG,L 2:6,6,CF,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.059,0.118,0.318,17,0.14,-0.021,1,,
捞快己,2020,05-30,LG,W 10:6,7,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.059,0.118,0.356,4,0.18,0.003,0,0.238,0.96
捞快己,2020,05-31,LG,L 5:13,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.111,0.338,6,-0.26,-0.001,0,,
捞快己,2020,06-02,吩单,W 7:2,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.111,0.338,0,0.00,0.000,0,0.227,0.00
捞快己,2020,06-03,吩单,W 11:2,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.105,0.323,4,-0.34,0.000,0,,
捞快己,2020,06-04,吩单,W 7:3,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.105,0.323,0,0.00,0.000,0,0.217,0.00
捞快己,2020,06-07,@滴魂,L 2:3,1,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.053,0.105,0.355,5,0.12,0.013,0,,
捞快己,2020,06-09,@KT,W 3:2,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.105,0.355,0,0.00,0.000,0,0.250,0.00
捞快己,2020,06-10,@KT,W 10:0,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.105,0.355,0,0.00,0.000,0,,
捞快己,2020,06-11,@KT,L 8:13,3,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.095,0.326,4,-0.89,-0.018,0,0.231,0.32
捞快己,2020,06-16,NC,W 7:4,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.095,0.326,0,0.00,0.000,0,,
捞快己,2020,08-09,NC,L 1:8,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.045,0.091,0.313,3,-0.18,0.000,0,0.222,0.02
捞快己,2020,08-12,@LG,L 0:8,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.091,0.313,0,0.00,0.000,0,,
捞快己,2020,08-14,SK,W 7:6,1,PH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.045,0.091,0.341,3,0.28,0.032,0,0.250,0.70
捞快己,2020,08-19,@LG,L 1:10,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.091,0.341,0,0.00,0.000,0,,
捞快己,2020,08-20,NC,L 2:14,4,LF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.087,0.130,0.406,3,0.28,0.000,0,0.276,0.00
捞快己,2020,08-27,@SK,L 4:10,4,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0.167,0.467,1,1.11,0.001,0,,
