Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이유찬,2018,05-09,@KIA,W 13:7,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
이유찬,2018,05-13,넥센,L 1:2,8,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,-0.46,-0.116,0,,
이유찬,2018,06-22,@삼성,L 14:16,6,2B,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,10,0.56,0.011,0,0.500,0.22
이유찬,2018,06-27,@NC,W 6:3,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,0,0.00,0.000,0,,
이유찬,2018,06-28,@NC,W 9:0,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,0,0.00,0.000,0,0.500,0.00
이유찬,2018,06-29,KIA,L 4:7,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,0,0.00,0.000,0,,
이유찬,2018,06-30,KIA,W 12:2,6,2B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.500,0.500,1.167,4,0.22,0.000,0,0.667,0.00
이유찬,2018,07-04,@롯데,W 7:4,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.167,0,0.00,0.000,0,,
이유찬,2018,07-05,@롯데,W 9:2,1,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.167,0,0.00,0.000,0,0.667,0.00
이유찬,2018,07-06,삼성,W 13:6,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.167,0,0.00,0.000,0,,
이유찬,2018,07-08,삼성,L 1:11,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.833,5,-0.26,0.000,0,0.500,0.00
이유찬,2018,07-10,@KT,L 1:9,1,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.833,0,0.00,0.000,0,,
이유찬,2018,07-12,@KT,L 4:11,2,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.533,7,-0.72,-0.001,0,0.333,0.02
이유찬,2018,09-04,KIA,L 5:10,4,PR,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.500,0.929,2,0.23,0.001,0,,
이유찬,2018,09-05,KIA,W 14:1,9,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.444,0.844,5,-0.55,0.008,1,0.400,0.35
이유찬,2018,09-06,@삼성,W 6:2,3,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.400,0.764,2,-0.77,-0.008,0,,
이유찬,2018,09-09,@SK,L 2:14,5,2B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.300,0.400,0.817,7,0.28,0.000,0,0.417,0.00
이유찬,2018,09-11,@롯데,W 17:4,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.364,0.748,5,-0.63,0.000,0,,
이유찬,2018,09-14,KT,W 7:2,6,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.748,0,0.00,0.000,0,0.385,0.00
이유찬,2018,09-15,NC,L 7:13,3,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.748,0,0.00,0.000,0,,
이유찬,2018,09-18,@넥센,L 7:10,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.748,0,0.00,0.000,0,0.385,0.00
이유찬,2018,09-30,LG,W 7:1,4,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.690,1,-0.51,0.000,0,,
이유찬,2018,10-06,LG,L 1:3,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.690,0,0.00,0.000,0,0.357,0.00
이유찬,2018,10-10,SK,L 5:12,6,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.214,0.286,0.598,7,-2.06,-0.137,0,,
이유찬,2018,10-11,SK,W 8:3,3,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.188,0.250,0.528,6,-0.56,-0.015,0,0.278,0.30
이유찬,2018,10-12,NC,W 13:2,6,2B,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.235,0.294,0.610,6,1.00,0.000,0,,
이유찬,2018,10-13,KT,L 3:4,7,SS,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.278,0.333,0.683,5,0.67,0.154,0,0.350,4.47
이유찬,2018,10-14,@롯데,W 5:1,9,SS,4,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.273,0.318,0.652,12,-0.77,-0.024,1,,
이유찬,2018,11-05,SK,W 7:3,6,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.22,0.002,0,0.000,0.24
