Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이창진,2020,07-07,KT,L 2:8,1,CF,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,12,-0.48,-0.009,1,0.200,0.51
이창진,2020,07-08,KT,L 4:7,1,CF,5,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.300,0.300,0.600,19,-0.40,-0.038,1,,
이창진,2020,07-10,키움,W 9:8,1,CF,6,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.375,0.375,0.750,19,0.98,0.068,1,0.375,1.24
이창진,2020,07-11,키움,W 8:3,1,CF,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.350,0.350,0.731,26,-0.49,0.020,1,,
이창진,2020,07-13,키움,W 13:3,1,CF,4,2,3,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0.417,0.500,0.962,15,1.22,0.066,1,0.462,0.29
이창진,2020,07-14,@삼성,L 0:5,1,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.393,0.464,0.898,14,-0.47,-0.048,1,,
이창진,2020,07-15,@삼성,W 5:2,1,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.400,0.467,0.904,5,0.01,0.008,0,0.438,2.84
이창진,2020,07-16,@삼성,L 7:8,1,CF,3,2,1,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0.394,0.485,0.944,17,0.79,0.005,1,,
이창진,2020,07-17,두산,W 4:2,1,CF,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.361,0.444,0.883,20,-0.98,-0.044,1,0.439,0.86
이창진,2020,07-18,두산,L 0:6,1,CF,4,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0.350,0.425,0.847,14,-0.75,-0.044,1,,
이창진,2020,07-19,두산,L 4:8,1,CF,4,0,2,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0.364,0.477,0.917,21,1.90,0.235,1,0.440,1.09
이창진,2020,07-21,@한화,W 10:2,1,CF,6,2,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0.360,0.460,0.889,23,0.81,0.120,1,,
이창진,2020,07-22,@한화,W 2:1,1,CF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.327,0.418,0.812,13,-1.50,-0.129,1,0.393,0.97
이창진,2020,07-25,삼성,W 8:2,1,CF,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.317,0.400,0.779,24,-0.68,-0.017,1,,
이창진,2020,07-26,삼성,W 8:5,1,CF,5,4,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0.354,0.446,0.855,18,1.26,0.084,1,0.408,0.54
이창진,2020,07-30,KT,L 1:4,1,CF,4,0,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0.362,0.478,0.892,13,-0.19,-0.024,1,,
이창진,2020,07-31,@롯데,W 3:2,1,CF,2,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0.352,0.465,0.890,25,0.45,0.013,1,0.425,0.60
이창진,2020,08-01,@롯데,L 3:7,1,CF,3,1,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0.351,0.473,0.902,18,-0.60,-0.063,1,,
이창진,2020,08-02,@롯데,L 0:8,1,CF,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.346,0.474,0.895,18,-0.48,-0.060,1,0.420,0.57
이창진,2020,08-04,LG,L 5:15,1,CF,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.341,0.463,0.883,24,-0.08,0.019,1,,
이창진,2020,08-05,LG,L 4:6,1,CF,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.448,0.856,17,0.19,0.022,1,0.408,1.22
이창진,2020,08-06,LG,W 13:1,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330,0.443,0.847,6,-0.26,-0.022,1,,
