Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¿Ã√µøı,2017,04-01,@≥ÿºæ,W 8:3,6,RF,4,1,3,2,0,0,5,2,0,0,0,0,0,1,0,0,0,0.750,1.250,2.000,12,2.47,0.179,1,0.750,0.52
¿Ã√µøı,2017,04-02,@≥ÿºæ,W 9:2,7,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.833,1.333,8,-0.44,-0.030,1,,
¿Ã√µøı,2017,04-04,ªÔº∫,W 11:0,6,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.375,0.625,1.000,11,-0.56,0.000,0,0.375,0.00
¿Ã√µøı,2017,05-25,µŒªÍ,L 7:9,2,LF,3,3,1,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0.364,0.636,1.098,15,1.36,0.097,1,,
¿Ã√µøı,2017,05-26,@SK,L 1:6,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.583,1.012,4,-0.18,-0.002,0,0.429,0.07
¿Ã√µøı,2017,05-27,@SK,L 3:4,2,LF,3,1,2,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0.400,0.667,1.167,16,1.10,0.101,1,,
¿Ã√µøı,2017,05-28,@SK,L 2:5,2,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.368,0.579,1.033,12,-0.08,-0.017,1,0.455,0.58
¿Ã√µøı,2017,05-30,≥ÿºæ,L 1:3,2,LF,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.391,0.565,1.027,13,1.15,0.187,1,,
¿Ã√µøı,2017,05-31,≥ÿºæ,W 5:2,2,LF,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.400,0.560,1.024,10,0.66,0.069,1,0.464,1.00
¿Ã√µøı,2017,06-02,NC,L 1:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.538,0.987,5,-0.34,-0.031,0,,
¿Ã√µøı,2017,06-03,NC,L 3:4,2,LF,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0.345,0.483,0.907,19,0.38,0.027,1,0.424,1.61
¿Ã√µøı,2017,06-04,NC,L 5:6,1,LF,4,2,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0.394,0.515,0.989,20,1.17,0.169,1,,
¿Ã√µøı,2017,06-07,@kt,W 11:7,1,LF,4,3,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0.405,0.514,1.002,20,3.22,0.477,1,0.488,2.02
¿Ã√µøı,2017,06-08,@kt,W 5:4,1,LF,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.410,0.513,1.013,12,0.28,0.046,1,,
¿Ã√µøı,2017,06-09,SK,W 3:1,1,LF,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.381,0.476,0.956,20,-0.38,-0.057,1,0.480,0.88
¿Ã√µøı,2017,06-10,SK,L 3:4,2,LF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.348,0.435,0.889,17,-0.26,-0.087,1,,
¿Ã√µøı,2017,06-11,SK,W 19:1,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.435,0.889,0,0.00,0.000,0,0.455,0.00
¿Ã√µøı,2017,06-13,@µŒªÍ,L 4:7,2,LF,4,2,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.360,0.500,0.958,12,2.19,0.331,1,,
¿Ã√µøı,2017,06-14,@µŒªÍ,W 5:1,1,LF,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0.463,0.900,22,-0.75,-0.056,1,0.438,0.60
¿Ã√µøı,2017,06-15,@µŒªÍ,W 12:6,2,PH,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.321,0.446,0.879,14,-0.81,-0.024,0,,
¿Ã√µøı,2017,06-16,@KIA,W 9:8,2,PH,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.328,0.466,0.900,8,0.38,-0.002,0,0.435,0.08
¿Ã√µøı,2017,06-17,@KIA,L 3:4,2,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.311,0.443,0.859,15,-1.31,-0.099,1,,
¿Ã√µøı,2017,06-18,@KIA,W 16:8,2,LF,6,1,3,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0.328,0.463,0.886,18,1.62,0.180,1,0.423,0.76
¿Ã√µøı,2017,06-20,ªÔº∫,W 5:3,2,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.324,0.451,0.865,16,-2.09,-0.102,1,,
¿Ã√µøı,2017,06-21,ªÔº∫,L 3:10,5,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.311,0.432,0.832,9,-0.76,-0.048,1,0.400,0.65
¿Ã√µøı,2017,06-22,ªÔº∫,L 1:5,2,LF,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.308,0.423,0.816,13,-0.31,-0.013,1,,
¿Ã√µøı,2017,06-23,@≥ÿºæ,L 3:8,2,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.309,0.420,0.811,11,0.18,0.036,1,0.391,0.98
¿Ã√µøı,2017,06-24,@≥ÿºæ,W 8:2,2,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.309,0.420,0.818,4,0.22,0.007,0,,
¿Ã√µøı,2017,06-25,@≥ÿºæ,L 2:4,2,LF,4,0,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0.318,0.424,0.826,24,0.61,0.056,1,0.402,0.68
¿Ã√µøı,2017,06-27,@∑‘µ•,L 10:11,2,LF,6,2,3,1,0,1,7,4,0,0,1,0,1,0,0,0,0,0.330,0.473,0.886,29,2.06,0.168,1,,
¿Ã√µøı,2017,06-28,@∑‘µ•,D 9:9,2,LF,5,2,2,1,0,0,3,1,0,0,1,0,0,1,0,1,0,0.333,0.479,0.897,21,0.63,0.238,1,0.418,1.58
¿Ã√µøı,2017,06-30,KIA,L 6:10,5,PH,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.330,0.474,0.894,6,0.00,0.017,0,,
¿Ã√µøı,2017,07-01,KIA,L 4:10,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.469,0.885,4,-0.23,-0.001,0,0.416,0.03
¿Ã√µøı,2017,07-02,KIA,L 4:13,6,RF,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.330,0.470,0.887,11,0.24,0.025,1,,
¿Ã√µøı,2017,07-05,@NC,W 12:5,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.327,0.465,0.879,6,-0.71,-0.016,0,0.414,0.44
¿Ã√µøı,2017,07-08,«—»≠,L 3:6,2,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.317,0.452,0.855,10,-1.30,-0.120,1,,
¿Ã√µøı,2017,07-12,@SK,W 12:6,2,RF,5,1,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0.330,0.459,0.875,27,1.40,0.243,1,0.416,1.30
¿Ã√µøı,2017,07-13,@SK,W 9:1,2,RF,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.336,0.460,0.879,12,0.44,0.033,1,,
¿Ã√µøı,2017,07-19,kt,W 4:2,1,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,0.448,0.857,13,-0.87,-0.070,1,0.409,0.96
¿Ã√µøı,2017,07-20,kt,W 10:9,7,PH,2,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.339,0.466,0.884,11,2.04,0.451,0,,
