Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이택근,2018,04-14,두산,W 7:6,2,LF,4,0,1,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0.250,0.500,0.750,17,1.57,0.093,1,0.250,1.12
이택근,2018,04-15,두산,L 2:3,2,DH,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.167,0.333,0.708,19,0.06,0.011,1,,
이택근,2018,04-17,NC,L 2:3,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.286,0.619,1,-0.26,-0.088,0,0.333,3.47
이택근,2018,04-18,NC,L 0:1,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.250,0.550,3,-0.18,-0.065,0,,
이택근,2018,04-19,NC,W 6:3,5,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.083,0.167,0.381,14,-1.41,-0.068,1,0.214,0.76
이택근,2018,04-20,@한화,W 6:1,7,DH,4,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0.188,0.250,0.528,17,-0.09,0.052,1,,
이택근,2018,04-21,@한화,W 4:3,7,DH,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.200,0.250,0.523,16,-0.32,0.085,1,0.273,2.48
이택근,2018,04-24,@LG,L 2:8,7,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.217,0.261,0.569,17,0.16,0.037,1,,
이택근,2018,04-25,@LG,L 1:2,7,DH,3,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.308,0.385,0.764,13,0.72,0.097,1,0.379,0.87
이택근,2018,04-26,@LG,L 1:11,2,DH,1,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0.333,0.444,0.899,20,1.80,0.056,1,,
이택근,2018,04-27,SK,L 3:8,2,DH,4,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0.355,0.484,0.931,24,0.83,-0.023,1,0.447,0.87
이택근,2018,04-28,SK,L 4:6,3,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.343,0.457,0.886,14,-0.15,-0.008,1,,
이택근,2018,04-29,SK,W 8:5,3,DH,5,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.350,0.475,0.901,17,-0.01,0.017,1,0.426,0.99
이택근,2018,05-01,@NC,W 13:4,3,DH,4,2,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.364,0.500,0.942,20,1.46,0.101,1,,
이택근,2018,05-02,@NC,L 8:13,3,DH,3,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.362,0.489,0.946,21,0.54,0.050,1,0.456,1.05
이택근,2018,05-03,@NC,W 13:9,3,DH,5,1,3,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0.385,0.500,0.968,15,1.46,0.232,1,,
이택근,2018,05-04,@KT,W 11:1,3,DH,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.364,0.473,0.927,16,-0.31,0.006,1,0.455,0.71
이택근,2018,05-05,@KT,W 10:1,3,DH,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0.375,0.500,0.971,13,0.32,0.045,1,,
