Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이해창,2018,03-25,@KIA,L 1:14,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.32,0.000,0,0.000,0.01
이해창,2018,03-27,@SK,L 5:8,9,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,6,-0.30,-0.013,0,,
이해창,2018,03-28,@SK,W 8:5,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
이해창,2018,03-31,두산,W 20:8,8,C,2,2,2,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0.400,1.000,1.400,10,3.92,0.006,0,,
이해창,2018,04-01,두산,W 9:4,8,C,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.444,1.111,1.556,15,1.63,0.217,1,0.444,0.97
이해창,2018,04-03,@넥센,W 7:1,8,C,4,1,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.462,1.000,1.462,14,1.91,0.200,1,,
이해창,2018,04-04,@넥센,L 2:10,8,C,2,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.467,1.133,1.600,8,0.88,0.063,1,0.467,0.42
이해창,2018,04-05,@넥센,L 3:4,7,C,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.368,0.895,1.263,11,-1.54,-0.357,1,,
이해창,2018,04-08,한화,L 8:12,7,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.318,0.773,1.091,20,-1.23,-0.044,1,0.318,0.47
이해창,2018,04-10,@NC,W 5:4,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.739,1.043,4,-0.12,-0.009,0,,
이해창,2018,04-11,@NC,W 12:4,8,C,5,2,4,1,0,1,8,4,0,0,0,0,0,0,0,0,0,0.393,0.893,1.286,13,3.90,0.440,1,0.393,1.54
이해창,2018,04-12,@NC,W 7:2,8,C,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.355,0.806,1.181,15,-0.13,-0.007,1,,
이해창,2018,04-13,@LG,L 1:3,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.781,1.145,2,-0.43,-0.084,0,0.364,3.92
