Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
이현동,2017,06-17,SK,L 10:14,7,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,5,-0.58,-0.039,1,0.000,0.79
이현동,2017,06-18,SK,W 7:5,6,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
이현동,2017,06-20,@LG,L 3:5,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
이현동,2017,06-24,한화,W 8:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
이현동,2017,06-25,한화,D 7:7,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
이현동,2017,09-01,@SK,L 7:8,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
이현동,2017,09-02,@두산,W 3:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
이현동,2017,09-03,@두산,L 1:7,7,LF,4,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.667,20,0.25,0.032,1,,
이현동,2017,09-07,@롯데,W 6:5,7,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.222,0.222,0.444,10,-0.95,-0.081,1,0.222,0.77
이현동,2017,09-08,@롯데,L 5:6,8,LF,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.250,0.333,0.583,11,-0.41,-0.046,1,,
이현동,2017,09-09,@KIA,L 5:6,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.308,0.538,3,-0.25,-0.065,0,0.231,2.32
이현동,2017,09-13,한화,W 13:5,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.286,0.500,4,-0.38,-0.001,0,,
이현동,2017,09-15,@NC,W 11:3,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.286,0.500,0,0.00,0.000,0,0.214,0.00
이현동,2017,09-17,두산,L 8:21,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.267,0.467,4,-0.18,0.000,0,,
이현동,2017,09-22,LG,L 4:8,7,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.250,0.438,6,-0.63,-0.020,0,0.188,0.61
이현동,2017,09-23,@한화,L 7:8,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.250,0.438,0,0.00,0.000,0,,
