Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
임병욱,2017,06-15,NC,L 8:9,9,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,17,-1.94,-0.213,1,0.000,1.38
임병욱,2017,06-16,롯데,W 2:1,7,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.26,0.065,0,,
임병욱,2017,06-17,롯데,W 8:2,9,CF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.200,6,0.22,0.000,0,0.200,0.00
임병욱,2017,06-18,롯데,W 14:3,2,PR,2,2,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0.167,0.167,0.452,5,1.00,0.016,0,,
임병욱,2017,06-21,@한화,W 6:5,7,CF,3,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.111,0.111,0.384,23,-0.33,0.019,1,0.273,1.62
임병욱,2017,06-22,@한화,L 12:13,7,CF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.071,0.071,0.259,19,-1.79,-0.076,1,,
임병욱,2017,06-23,LG,W 8:3,7,CF,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.133,0.200,0.435,7,0.63,0.002,0,0.235,0.02
임병욱,2017,06-24,LG,L 2:8,9,CF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.222,0.472,12,0.21,0.048,1,,
임병욱,2017,06-25,LG,W 4:2,7,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.222,0.472,0,0.00,0.000,0,0.250,0.00
임병욱,2017,06-27,@NC,L 2:7,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.222,0.472,0,0.00,0.000,0,,
임병욱,2017,06-28,@NC,L 3:9,8,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.150,0.200,0.427,9,-0.84,-0.075,1,0.227,1.18
임병욱,2017,06-30,@kt,W 9:5,7,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.190,0.408,6,-0.18,0.000,0,,
임병욱,2017,07-02,@kt,W 5:1,8,CF,3,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.208,0.292,0.561,13,0.33,0.030,1,0.269,0.36
임병욱,2017,07-04,한화,W 7:5,8,CF,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0.185,0.259,0.517,19,-0.83,-0.019,1,,
임병욱,2017,07-05,한화,W 12:7,7,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.179,0.250,0.500,5,-0.18,0.000,0,0.250,0.02
임병욱,2017,09-16,@NC,L 14:15,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.172,0.241,0.484,4,-0.84,-0.133,0,,
임병욱,2017,09-17,@NC,W 14:6,8,CF,5,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.206,0.294,0.557,22,0.31,0.012,1,0.263,0.17
임병욱,2017,09-21,@kt,W 5:3,8,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.286,0.542,1,-0.34,-0.030,0,,
임병욱,2017,09-29,@NC,L 4:8,7,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.205,0.282,0.538,18,-0.36,-0.039,1,0.256,0.56
임병욱,2017,09-30,@NC,L 4:11,6,PH,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.225,0.375,0.648,1,1.72,0.000,0,,
임병욱,2017,10-03,@삼성,L 9:10,7,CF,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.238,0.381,0.664,8,0.65,0.029,0,0.283,0.90
