Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
장영석,2018,03-25,한화,L 1:4,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,3,-0.18,-0.017,0,0.000,0.70
장영석,2018,03-27,LG,W 5:4,9,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1,0.40,0.134,0,,
장영석,2018,03-28,LG,L 3:9,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1,-0.18,-0.001,0,0.333,0.03
장영석,2018,03-29,LG,W 9:4,4,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,0,0.00,0.000,0,,
장영석,2018,03-30,@삼성,W 10:8,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,3,-0.34,-0.072,0,0.250,4.62
장영석,2018,03-31,@삼성,W 4:2,6,3B,3,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.286,0.714,1.089,16,0.63,0.093,1,,
장영석,2018,04-01,@삼성,L 5:6,6,3B,4,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.273,0.818,1.203,18,-0.09,-0.017,1,0.385,1.54
장영석,2018,04-03,KT,L 1:7,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.200,0.600,0.894,19,-1.35,-0.036,1,,
장영석,2018,04-04,KT,W 10:2,4,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.600,0.894,0,0.00,0.000,0,0.294,0.00
장영석,2018,04-05,KT,W 4:3,6,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.158,0.474,0.712,21,-0.95,-0.153,1,,
장영석,2018,04-07,@KIA,L 1:5,6,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.150,0.450,0.677,2,-0.84,-0.043,0,0.227,0.97
장영석,2018,04-10,@롯데,L 3:4,7,3B,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.174,0.478,0.718,12,-0.08,0.061,1,,
장영석,2018,04-11,@롯데,L 0:12,7,3B,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.192,0.500,0.750,11,-0.09,-0.036,1,0.250,0.47
장영석,2018,04-12,@롯데,W 5:3,6,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.172,0.448,0.674,15,-0.83,-0.067,1,,
장영석,2018,04-13,두산,L 0:12,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.188,0.438,0.673,8,0.04,0.022,1,0.235,0.65
장영석,2018,04-14,두산,W 7:6,7,1B,4,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.194,0.444,0.681,22,-0.29,-0.002,1,,
장영석,2018,04-15,두산,L 2:3,5,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.179,0.410,0.648,19,-0.64,-0.095,1,0.238,1.64
장영석,2018,04-17,NC,L 2:3,6,1B,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.159,0.364,0.576,21,-1.31,-0.182,1,,
장영석,2018,04-19,NC,W 6:3,7,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.156,0.356,0.564,5,-0.12,0.000,0,0.208,0.02
장영석,2018,04-20,@한화,W 6:1,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.348,0.552,3,-0.18,-0.001,0,,
장영석,2018,04-21,@한화,W 4:3,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.348,0.552,0,0.00,0.000,0,0.204,0.00
장영석,2018,04-22,@한화,W 10:1,6,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0.340,0.540,3,-0.26,0.000,0,,
장영석,2018,04-24,@LG,L 2:8,5,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0.333,0.529,1,-0.18,-0.001,0,0.196,0.03
장영석,2018,04-25,@LG,L 1:2,5,1B,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.154,0.346,0.546,13,-0.12,0.118,1,,
장영석,2018,04-26,@LG,L 1:11,7,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.143,0.321,0.508,10,-1.45,-0.079,1,0.186,0.40
장영석,2018,04-27,SK,L 3:8,6,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.133,0.300,0.475,26,-1.12,-0.059,1,,
장영석,2018,04-28,SK,L 4:6,6,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.300,0.475,0,0.00,0.000,0,0.175,0.00
장영석,2018,04-29,SK,W 8:5,6,3B,4,1,2,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0.156,0.344,0.550,21,1.57,0.156,1,,
장영석,2018,05-01,@NC,W 13:4,6,3B,5,2,2,0,0,1,5,1,0,0,0,0,0,2,0,0,0,0.174,0.391,0.610,22,0.43,0.050,1,0.219,0.91
장영석,2018,05-02,@NC,L 8:13,6,3B,4,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.178,0.397,0.628,29,0.00,-0.002,1,,
장영석,2018,05-03,@NC,W 13:9,6,3B,5,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.179,0.397,0.626,20,-0.19,0.117,1,0.229,1.21
장영석,2018,05-04,@KT,W 11:1,6,1B,5,2,4,0,0,1,7,2,1,0,0,0,0,0,0,0,0,0.217,0.458,0.719,25,2.94,0.051,1,,
장영석,2018,05-05,@KT,W 10:1,6,1B,5,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.239,0.466,0.745,20,0.24,-0.010,1,0.280,0.49
장영석,2018,05-08,한화,L 9:10,6,1B,5,2,2,1,0,1,6,4,0,0,0,0,0,2,0,0,0,0.247,0.505,0.791,21,3.17,0.413,1,,
장영석,2018,05-09,한화,L 1:4,6,1B,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.240,0.490,0.774,19,-0.55,-0.039,1,0.284,1.49
장영석,2018,05-10,한화,L 1:3,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.237,0.485,0.766,6,-0.25,-0.045,0,,
장영석,2018,05-11,@두산,W 10:5,5,3B,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.248,0.485,0.775,12,0.91,0.081,1,0.290,0.91
장영석,2018,05-13,@두산,W 2:1,5,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.238,0.467,0.746,19,-0.95,-0.100,1,,
장영석,2018,05-15,KIA,L 1:2,5,3B,3,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.241,0.491,0.778,17,0.57,0.079,1,0.287,2.78
장영석,2018,05-16,KIA,W 8:7,5,1B,3,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0.234,0.477,0.763,16,0.11,0.041,1,,
장영석,2018,05-17,KIA,W 8:2,5,1B,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.235,0.470,0.754,22,-0.39,-0.020,1,0.285,0.70
장영석,2018,05-18,삼성,L 0:5,5,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.229,0.458,0.741,23,-0.22,0.016,1,,
장영석,2018,05-19,삼성,W 6:3,5,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.221,0.443,0.717,13,-1.25,-0.109,1,0.275,0.92
장영석,2018,05-20,삼성,L 3:4,4,1B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.228,0.447,0.727,7,0.40,0.134,0,,
장영석,2018,05-22,@SK,W 10:4,5,1B,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.220,0.433,0.710,20,-1.50,-0.070,1,0.277,0.87
장영석,2018,05-23,@SK,L 2:13,5,1B,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.217,0.426,0.705,11,0.27,0.007,1,,
장영석,2018,05-24,@SK,L 1:3,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0.423,0.700,3,-0.25,-0.035,0,0.277,1.23
장영석,2018,05-25,롯데,W 13:2,5,1B,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0.220,0.432,0.717,17,0.52,-0.016,1,,
장영석,2018,05-27,롯데,L 4:6,7,1B,3,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.230,0.444,0.737,11,0.91,0.081,1,0.293,1.11
장영석,2018,05-29,@KIA,W 12:8,2,PH,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.226,0.438,0.731,16,-0.40,0.006,0,,
장영석,2018,05-30,@KIA,W 6:1,2,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.435,0.726,4,-0.34,-0.003,0,0.291,0.10
장영석,2018,06-01,@LG,L 1:3,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.223,0.432,0.721,3,-0.47,-0.064,0,,
장영석,2018,06-02,@LG,L 6:10,4,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.429,0.716,3,-0.54,-0.077,0,0.288,2.78
장영석,2018,06-05,두산,W 13:6,9,PH,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.225,0.430,0.720,6,0.59,0.000,0,,
장영석,2018,06-07,두산,L 0:3,7,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.228,0.428,0.719,13,-0.22,-0.026,1,0.291,0.97
장영석,2018,06-08,@KT,W 11:5,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.428,0.719,0,0.00,0.000,0,,
장영석,2018,06-10,@KT,W 6:1,4,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.428,0.719,0,0.00,0.000,0,0.291,0.00
장영석,2018,06-14,한화,L 8:9,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.226,0.425,0.714,5,-0.26,-0.015,0,,
장영석,2018,06-15,삼성,W 9:2,4,1B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.226,0.425,0.718,7,0.25,0.000,0,0.294,0.01
장영석,2018,06-16,삼성,W 9:1,4,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.422,0.714,1,-0.26,0.000,0,,
장영석,2018,06-17,삼성,W 12:8,4,1B,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0.230,0.432,0.729,2,2.33,0.006,0,0.296,0.07
장영석,2018,06-19,@두산,W 6:5,6,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.225,0.424,0.715,16,-0.85,-0.103,1,,
장영석,2018,06-20,@두산,W 8:5,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.424,0.715,0,0.00,0.000,0,0.291,0.00
장영석,2018,06-22,KIA,L 5:8,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.421,0.710,2,-0.26,-0.011,0,,
장영석,2018,06-23,KIA,W 9:4,7,3B,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.222,0.418,0.710,10,0.04,0.001,0,0.292,0.08
장영석,2018,06-24,KIA,L 10:14,6,3B,3,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.224,0.417,0.717,20,0.33,-0.008,1,,
장영석,2018,06-28,@롯데,L 6:8,7,DH,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.229,0.420,0.737,19,1.19,0.039,1,0.316,0.41
장영석,2018,07-03,SK,L 3:9,9,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.229,0.420,0.741,7,0.28,0.002,0,,
장영석,2018,07-04,SK,W 7:6,6,PH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.224,0.410,0.723,16,-1.61,-0.168,0,0.313,1.60
장영석,2018,07-10,@한화,L 1:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.407,0.719,5,-0.26,-0.047,0,,
장영석,2018,07-11,@한화,W 22:8,4,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.221,0.405,0.715,4,-0.26,0.000,0,0.310,0.00
장영석,2018,07-17,LG,L 3:9,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.402,0.711,5,-0.98,-0.093,0,,
장영석,2018,07-18,LG,L 7:8,4,1B,3,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.228,0.425,0.739,15,2.16,0.165,0,0.314,0.95
