Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Àü¹Î¼ö,2018,05-05,³Ø¼¾,L 1:10,1,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,2,0.22,0.001,0,1.000,0.02
Àü¹Î¼ö,2018,05-08,»ï¼º,L 4:9,7,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,6,0.25,0.007,0,,
Àü¹Î¼ö,2018,05-09,»ï¼º,L 4:5,8,LF,4,0,2,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0.600,0.800,1.514,24,1.83,0.119,1,0.714,3.67
Àü¹Î¼ö,2018,05-10,»ï¼º,W 5:4,9,LF,3,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.500,0.750,1.350,15,0.30,0.091,1,,
Àü¹Î¼ö,2018,05-11,@·Ôµ¥,L 2:6,9,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.400,0.600,1.100,10,-0.64,-0.044,1,0.500,0.95
Àü¹Î¼ö,2018,05-13,@·Ôµ¥,L 1:3,2,LF,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0.500,0.967,16,-0.24,-0.026,1,,
Àü¹Î¼ö,2018,05-16,@ÇÑÈ­,L 4:5,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.500,0.967,0,0.00,0.000,0,0.467,0.00
Àü¹Î¼ö,2018,05-18,NC,L 1:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.462,0.899,5,-0.26,-0.005,0,,
Àü¹Î¼ö,2018,05-19,NC,W 3:2,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.429,0.840,4,-0.18,-0.010,0,0.412,0.40
Àü¹Î¼ö,2018,05-20,NC,W 18:3,7,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,0.353,0.703,10,-1.00,-0.044,1,,
Àü¹Î¼ö,2018,05-22,@KIA,L 5:8,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.333,0.667,7,-0.47,-0.020,0,0.333,0.77
Àü¹Î¼ö,2018,05-23,@KIA,W 9:8,9,PH,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.211,0.316,0.634,3,0.05,-0.033,0,,
Àü¹Î¼ö,2018,05-24,@KIA,W 13:1,1,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.211,0.316,0.664,4,0.40,0.000,0,0.348,0.00
Àü¹Î¼ö,2018,05-25,LG,W 13:7,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.316,0.664,0,0.00,0.000,0,,
Àü¹Î¼ö,2018,08-05,³Ø¼¾,L 2:20,1,LF,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.227,0.364,0.734,17,0.59,0.020,1,0.370,0.12
Àü¹Î¼ö,2018,08-08,@NC,L 3:7,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.348,0.705,1,-0.26,-0.009,0,,
Àü¹Î¼ö,2018,08-09,µÎ»ê,L 2:4,2,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.192,0.308,0.630,18,-1.01,-0.108,1,0.323,1.24
Àü¹Î¼ö,2018,08-12,@ÇÑÈ­,L 4:5,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.185,0.296,0.609,5,-0.71,-0.185,0,,
Àü¹Î¼ö,2018,08-14,NC,W 10:0,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0.296,0.609,0,0.00,0.000,0,0.313,0.00
Àü¹Î¼ö,2018,08-15,NC,L 9:13,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.286,0.589,1,-0.26,-0.035,0,,
Àü¹Î¼ö,2018,09-05,LG,L 3:4,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.172,0.276,0.570,3,-0.84,-0.041,0,0.294,1.37
