Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
전병우,2018,09-04,@한화,L 4:6,3,PH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,1.000,4,0.40,0.078,0,1.000,2.09
전병우,2018,09-05,@한화,L 5:11,8,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.500,5,-0.26,-0.002,0,,
전병우,2018,09-06,SK,W 10:0,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.500,0,0.00,0.000,0,0.500,0.00
전병우,2018,09-08,@NC,L 1:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.333,4,-0.18,-0.001,0,,
전병우,2018,09-11,두산,L 4:17,8,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.167,12,-0.84,-0.006,0,0.167,0.09
전병우,2018,09-12,두산,L 9:13,6,2B,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.143,0.286,0.536,4,0.74,-0.001,0,,
전병우,2018,09-14,KIA,L 5:9,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.250,0.472,5,-0.39,-0.112,0,0.222,4.08
전병우,2018,09-16,넥센,L 0:2,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.222,0.422,3,-0.26,-0.035,0,,
전병우,2018,09-23,@삼성,L 2:5,7,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.200,0.382,3,-0.12,-0.025,0,0.182,0.98
전병우,2018,09-25,NC,W 8:7,8,2B,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.250,0.481,9,0.38,0.006,0,,
전병우,2018,09-26,NC,W 10:7,8,2B,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.143,0.214,0.464,16,0.15,0.023,1,0.250,1.29
전병우,2018,09-27,@넥센,W 8:6,2,2B,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.200,0.267,0.600,6,0.67,0.073,0,,
전병우,2018,09-28,@넥센,L 8:9,7,PR,1,2,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.250,0.500,0.868,4,2.05,0.062,0,0.368,0.69
전병우,2018,09-29,@KT,W 8:3,7,3B,4,1,3,2,0,0,5,1,0,0,0,0,0,1,0,0,0,0.350,0.650,1.085,19,1.32,0.084,1,,
전병우,2018,09-30,@KT,W 8:7,7,3B,4,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.333,0.583,1.012,23,-0.04,0.057,1,0.429,1.11
전병우,2018,10-02,@SK,W 8:6,8,2B,5,3,3,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.379,0.690,1.144,19,1.67,0.118,1,,
전병우,2018,10-03,@한화,L 6:7,7,3B,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.355,0.645,1.105,17,0.39,0.027,1,0.459,0.67
전병우,2018,10-04,@한화,W 7:2,7,3B,4,0,2,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0.371,0.629,1.105,24,0.91,0.016,1,,
전병우,2018,10-06,한화,W 8:5,7,3B,4,1,3,2,0,1,8,4,0,0,0,0,0,0,0,0,0,0.410,0.769,1.269,12,3.70,0.323,1,0.500,1.13
전병우,2018,10-07,@NC,W 8:2,7,3B,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.405,0.738,1.238,20,-0.57,-0.030,1,,
전병우,2018,10-09,KIA,W 11:10,7,3B,4,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.413,0.717,1.226,18,0.43,0.095,1,0.509,1.66
전병우,2018,10-10,KT,L 1:10,7,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.388,0.673,1.156,15,-0.55,-0.022,1,,
전병우,2018,10-10,KT,L 0:7,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.365,0.635,1.094,17,-0.70,-0.043,1,0.459,0.57
전병우,2018,10-11,@KIA,W 4:0,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.339,0.589,1.020,16,0.05,0.012,1,,
전병우,2018,10-12,@KIA,L 4:6,7,3B,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.367,0.617,1.066,18,1.30,0.154,1,0.449,1.05
전병우,2018,10-13,@KIA,W 5:1,3,SS,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.365,0.603,1.042,17,-0.44,-0.020,1,,
전병우,2018,10-14,두산,L 1:5,6,SS,3,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0.364,0.606,1.048,11,-0.42,-0.077,1,0.442,1.17
