Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
전준우,2018,03-24,@SK,L 5:6,3,LF,5,1,2,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0.400,0.600,1.000,17,0.69,0.153,1,0.400,1.60
전준우,2018,03-25,@SK,L 0:5,3,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.333,0.556,9,-1.18,-0.090,1,,
전준우,2018,03-27,@두산,L 0:5,5,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.167,0.250,0.417,13,-0.76,-0.056,1,0.167,0.73
전준우,2018,03-28,@두산,L 5:6,1,LF,4,2,2,1,1,0,5,1,0,0,1,0,0,1,0,0,0,0.250,0.500,0.794,21,2.35,0.207,1,,
전준우,2018,03-29,@두산,L 1:4,1,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.400,0.638,15,-1.45,-0.153,1,0.238,1.49
전준우,2018,03-30,NC,L 5:7,5,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.333,0.533,11,-0.80,-0.055,1,,
전준우,2018,03-31,NC,L 5:10,5,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.333,0.533,0,0.00,0.000,0,0.200,0.00
전준우,2018,04-01,NC,W 3:2,3,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.143,0.286,0.458,17,-1.42,-0.157,1,,
전준우,2018,04-03,@한화,L 11:17,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.276,0.443,7,-0.63,-0.040,0,0.167,1.32
전준우,2018,04-04,@한화,L 6:7,9,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.300,0.494,1,0.40,0.038,0,,
전준우,2018,04-06,LG,L 6:14,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.290,0.478,1,-0.12,0.000,0,0.188,0.00
전준우,2018,04-07,LG,W 7:2,1,CF,5,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0.250,0.361,0.631,17,1.35,0.042,1,,
전준우,2018,04-08,LG,L 2:4,1,LF,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.244,0.366,0.628,13,-0.18,-0.004,1,0.262,0.93
전준우,2018,04-10,넥센,W 4:3,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.366,0.628,0,0.00,0.000,0,,
전준우,2018,04-11,넥센,W 12:0,5,CF,3,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0.250,0.364,0.640,20,-0.10,-0.040,1,0.277,0.61
전준우,2018,04-12,넥센,L 3:5,1,CF,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.271,0.375,0.683,22,0.42,0.079,1,,
전준우,2018,04-13,@KIA,W 8:4,1,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.346,0.632,12,-0.81,-0.067,1,0.286,0.66
전준우,2018,04-17,삼성,L 6:11,8,PH,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.264,0.377,0.676,1,0.43,0.041,0,,
전준우,2018,04-18,삼성,W 9:7,1,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.246,0.351,0.630,25,-0.81,-0.064,1,0.279,0.63
전준우,2018,04-19,삼성,L 0:6,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.241,0.345,0.619,3,-0.60,-0.010,0,,
전준우,2018,04-20,SK,W 10:5,9,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.241,0.345,0.631,4,0.51,0.002,0,0.286,0.13
전준우,2018,04-21,SK,W 4:3,3,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.230,0.328,0.611,18,-0.27,-0.054,1,,
전준우,2018,04-22,SK,L 4:10,1,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.323,0.602,2,-0.34,-0.001,0,0.279,0.02
전준우,2018,04-24,@KT,W 14:8,1,LF,5,2,2,1,0,0,3,1,0,1,1,0,0,0,1,0,0,0.239,0.343,0.641,25,-0.08,0.045,1,,
전준우,2018,04-25,@KT,W 5:4,1,LF,4,1,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0.268,0.380,0.709,24,1.36,0.135,1,0.329,1.03
전준우,2018,04-26,@KT,L 2:5,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.375,0.700,3,-0.18,-0.004,0,,
전준우,2018,04-27,한화,W 5:3,9,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.274,0.384,0.717,5,0.93,0.069,0,0.333,1.12
전준우,2018,04-28,한화,L 2:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270,0.378,0.708,2,-0.18,-0.017,0,,
전준우,2018,04-29,한화,W 4:3,1,LF,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.266,0.367,0.689,17,-1.33,-0.114,1,0.322,0.92
전준우,2018,05-01,KIA,W 4:0,1,LF,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.265,0.361,0.688,19,0.10,-0.003,1,,
전준우,2018,05-02,KIA,L 6:12,3,LF,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.273,0.364,0.694,14,-0.12,0.080,1,0.330,0.98
