Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정근우,2020,05-05,두산,W 8:2,2,2B,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,9,-0.57,-0.014,1,0.250,0.39
정근우,2020,05-06,두산,L 2:5,2,2B,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.143,0.286,0.536,14,-0.40,-0.059,1,,
정근우,2020,05-07,두산,L 3:9,2,2B,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.222,0.333,0.633,7,-0.13,-0.013,1,0.300,0.92
정근우,2020,05-08,@NC,L 5:13,2,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.167,0.250,0.536,18,-0.69,-0.093,1,,
정근우,2020,05-10,@NC,W 10:8,9,PH,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.167,0.250,0.625,16,0.52,0.085,0,0.375,1.96
정근우,2020,05-12,SK,W 9:5,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.200,0.516,9,-0.98,-0.050,1,,
정근우,2020,05-13,SK,W 14:2,7,2B,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.222,0.540,6,-0.08,0.040,1,0.318,0.38
정근우,2020,05-14,SK,W 3:2,9,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.211,0.263,0.611,1,0.59,0.173,0,,
정근우,2020,05-16,키움,W 5:3,7,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.200,0.250,0.610,11,0.08,-0.018,0,0.360,2.68
정근우,2020,05-17,키움,L 4:9,5,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.208,0.519,9,-1.16,-0.040,1,,
정근우,2020,05-20,@삼성,L 1:3,6,DH,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.185,0.466,13,-0.48,-0.054,1,0.281,0.71
