Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¡§±‚»∆,2020,07-22,KIA,L 1:2,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.26,-0.088,0,0.000,3.47
¡§±‚»∆,2020,07-24,SK,L 4:7,7,DH,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.333,0.333,0.667,10,-0.61,-0.039,1,,
¡§±‚»∆,2020,07-26,SK,L 4:7,7,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.333,11,-0.67,-0.055,1,0.167,0.99
¡§±‚»∆,2020,07-27,SK,D 5:5,5,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.571,2,0.40,0.074,0,,
¡§±‚»∆,2020,07-30,@ªÔº∫,L 1:2,8,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.222,0.222,0.444,15,-1.09,-0.183,0,0.222,3.22
¡§±‚»∆,2020,08-01,@LG,L 6:9,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,5,-0.12,-0.014,0,,
¡§±‚»∆,2020,08-11,@≈∞øÚ,W 7:5,7,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,0,0.00,0.000,0,0.200,0.00
¡§±‚»∆,2020,08-12,@≈∞øÚ,L 2:3,9,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.333,8,-0.76,-0.074,1,,
¡§±‚»∆,2020,08-14,ªÔº∫,L 1:10,3,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.286,9,-0.23,-0.001,0,0.143,0.02
¡§±‚»∆,2020,08-15,ªÔº∫,L 0:2,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.286,0,0.00,0.000,0,,
¡§±‚»∆,2020,08-18,@SK,L 3:9,8,3B,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.133,0.133,0.369,11,0.56,0.065,1,0.235,0.57
¡§±‚»∆,2020,08-25,@NC,L 3:11,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,1,-0.26,0.000,0,,
¡§±‚»∆,2020,09-03,≈∞øÚ,L 5:6,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,0,0.24,0.110,0,0.222,5.40
¡§±‚»∆,2020,09-05,KIA,L 4:5,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.118,0.118,0.328,5,-0.32,-0.111,0,,
¡§±‚»∆,2020,09-08,@ªÔº∫,W 4:2,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.328,0,0.00,0.000,0,0.211,0.00
¡§±‚»∆,2020,09-09,@ªÔº∫,D 4:4,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.328,0,0.00,0.000,0,,
¡§±‚»∆,2020,09-09,@ªÔº∫,W 7:0,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.311,6,-0.18,0.000,0,0.200,0.00
¡§±‚»∆,2020,09-13,@KT,L 4:5,5,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.311,0,0.00,0.000,0,,
¡§±‚»∆,2020,09-16,LG,L 5:11,9,2B,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.150,0.150,0.377,4,0.02,-0.002,0,0.227,0.06
¡§±‚»∆,2020,09-22,µŒªÍ,W 5:1,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150,0.150,0.377,0,0.00,0.000,0,,
¡§±‚»∆,2020,09-26,NC,L 1:13,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.130,0.130,0.330,12,-0.76,-0.038,1,0.200,0.51
¡§±‚»∆,2020,09-27,NC,L 4:5,7,2B,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.130,0.130,0.361,6,1.00,0.095,0,,
¡§±‚»∆,2020,09-29,µŒªÍ,L 3:7,9,SS,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.154,0.192,0.434,11,0.13,0.009,1,0.241,0.78
¡§±‚»∆,2020,09-30,µŒªÍ,W 10:0,3,PR,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.185,0.259,0.526,3,1.48,0.000,0,,
¡§±‚»∆,2020,10-03,@∑‘µ•,L 0:10,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0.259,0.526,0,0.00,0.000,0,0.267,0.00
¡§±‚»∆,2020,10-08,@KIA,W 13:6,8,SS,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.179,0.250,0.531,11,-0.04,-0.001,0,,
¡§±‚»∆,2020,10-09,≈∞øÚ,W 7:6,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.233,0.498,6,-1.23,-0.082,1,0.265,1.13
¡§±‚»∆,2020,10-11,≈∞øÚ,W 9:3,3,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.233,0.498,0,0.00,0.000,0,,
¡§±‚»∆,2020,10-15,@µŒªÍ,L 3:16,7,PH,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.161,0.226,0.504,7,0.31,0.000,0,0.278,0.00
