Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정범모,2017,08-18,@NC,W 14:9,8,C,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,10,-0.56,-0.048,1,0.500,1.73
정범모,2017,08-22,@kt,W 3:2,8,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.500,0.500,1.167,5,0.28,0.017,0,,
정범모,2017,08-23,@kt,W 10:9,8,C,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.333,0.833,28,0.52,0.040,1,0.500,1.20
정범모,2017,08-27,@SK,L 2:4,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.586,10,-0.70,-0.059,1,,
정범모,2017,08-31,kt,W 10:1,7,C,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0.231,0.462,0.795,23,-0.01,0.062,1,0.333,0.96
정범모,2017,09-01,kt,L 1:6,7,C,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.200,0.400,0.694,13,-0.44,-0.034,1,,
정범모,2017,09-02,@롯데,L 0:9,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.188,0.375,0.653,3,-0.12,0.000,0,0.278,0.02
정범모,2017,09-05,두산,W 6:4,7,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.158,0.316,0.554,10,-0.94,-0.045,0,,
정범모,2017,09-06,두산,L 9:13,8,C,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0.182,0.364,0.614,10,0.05,0.051,1,0.250,0.85
정범모,2017,09-08,@KIA,L 5:9,7,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.348,0.588,3,-0.26,-0.009,0,,
정범모,2017,09-09,NC,W 6:3,8,C,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.231,0.385,0.670,9,0.42,0.043,1,0.286,0.81
정범모,2017,09-10,NC,L 5:11,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.370,0.646,4,-0.26,-0.002,0,,
정범모,2017,09-13,@삼성,L 5:13,8,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.222,0.370,0.670,4,0.40,0.001,0,0.300,0.01
정범모,2017,09-14,넥센,W 10:2,8,C,4,1,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.258,0.419,0.743,14,0.66,-0.042,1,,
정범모,2017,09-15,넥센,W 6:4,8,C,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.265,0.412,0.754,13,0.74,0.071,1,0.342,1.45
정범모,2017,09-16,@LG,W 3:1,6,C,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.429,0.788,4,0.62,0.035,0,,
정범모,2017,09-20,@LG,W 2:1,8,C,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.270,0.405,0.763,10,0.16,0.017,1,0.357,1.28
정범모,2017,09-23,삼성,W 8:7,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.395,0.744,6,-0.47,-0.041,1,,
정범모,2017,09-26,@롯데,L 8:11,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.256,0.385,0.726,3,-0.18,-0.010,0,0.341,0.40
정범모,2017,09-28,KIA,L 4:7,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.385,0.726,0,0.00,0.000,0,,
정범모,2017,09-29,KIA,L 2:7,8,C,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.256,0.372,0.705,18,-0.54,-0.048,1,0.333,0.50
정범모,2017,09-30,SK,L 1:4,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.372,0.705,0,0.22,0.021,0,,
