Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정상호,2019,03-27,@SK,L 1:2,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.26,-0.059,0,0.000,2.32
정상호,2019,03-28,@SK,L 1:3,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,10,-0.23,-0.025,1,,
정상호,2019,03-30,롯데,L 1:7,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,7,-0.72,-0.004,0,0.000,0.07
정상호,2019,04-02,@한화,L 2:6,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,3,-0.25,-0.004,0,,
정상호,2019,04-03,@한화,W 7:0,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
정상호,2019,04-05,@KT,W 13:0,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.77,0.000,0,,
정상호,2019,04-07,@KT,L 3:4,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,8,-0.30,-0.023,1,0.000,0.46
정상호,2019,04-14,두산,L 0:8,6,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,2,-0.57,-0.003,0,,
정상호,2019,04-16,@NC,W 7:2,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
정상호,2019,04-19,키움,L 3:13,8,C,4,1,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.143,0.214,0.357,7,1.51,0.040,1,,
정상호,2019,04-21,키움,W 5:3,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.214,0.357,0,0.00,0.000,0,0.143,0.00
정상호,2019,04-23,KIA,W 9:2,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.214,0.357,0,0.00,0.000,0,,
정상호,2019,04-24,KIA,W 10:3,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.214,0.357,0,0.00,0.000,0,0.143,0.00
정상호,2019,04-27,@삼성,W 8:0,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.133,0.200,0.333,3,-0.18,0.000,0,,
정상호,2019,05-02,KT,W 5:4,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.200,0.333,0,0.00,0.000,1,0.133,0.00
정상호,2019,05-03,@두산,L 2:7,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.200,0.333,0,0.00,0.000,0,,
정상호,2019,05-05,@두산,L 2:11,7,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0.188,0.313,2,-0.84,0.000,0,0.125,0.01
정상호,2019,05-11,한화,W 6:4,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.105,0.158,0.263,18,-0.82,-0.073,1,,
정상호,2019,05-14,@롯데,L 0:4,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.158,0.263,0,0.00,0.000,0,0.105,0.00
정상호,2019,05-17,NC,L 2:13,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.091,0.136,0.227,8,-0.93,-0.053,1,,
정상호,2019,05-18,NC,L 3:9,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.087,0.130,0.217,5,-0.26,-0.002,0,0.087,0.09
정상호,2019,05-26,@롯데,W 11:2,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.125,0.208,5,-0.18,0.000,0,,
