Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정은원,2018,04-01,SK,L 1:13,6,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
정은원,2018,04-07,@KT,L 2:10,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1,0.62,0.002,0,,
정은원,2018,04-08,@KT,W 12:8,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
정은원,2018,04-12,KIA,W 15:4,6,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,4,-0.26,0.000,0,,
정은원,2018,04-14,삼성,W 14:2,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.26,0.000,0,0.000,0.00
정은원,2018,05-04,@삼성,W 9:6,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,4,-0.18,-0.015,0,,
정은원,2018,05-05,@삼성,L 3:8,4,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,3,-0.18,-0.004,0,0.000,0.14
정은원,2018,05-08,@넥센,W 10:9,9,2B,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.167,0.667,0.833,5,1.60,0.091,0,,
정은원,2018,05-09,@넥센,W 4:1,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.500,0.625,12,-0.46,-0.032,1,0.125,0.65
정은원,2018,05-10,@넥센,W 3:1,9,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.091,0.364,0.530,24,-0.68,-0.046,1,,
정은원,2018,05-11,NC,L 2:4,9,PR,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.417,0.647,5,0.40,0.074,0,0.231,2.26
