Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¡§¿«¿±,2017,03-31,kt,L 2:3,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.000,0.000,0.000,20,-2.72,-0.341,1,0.000,2.26
¡§¿«¿±,2017,04-01,kt,L 0:2,4,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,8,-1.02,-0.143,1,,
¡§¿«¿±,2017,04-02,kt,L 1:8,4,RF,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.091,0.364,0.455,8,0.77,0.092,1,0.091,0.49
¡§¿«¿±,2017,04-04,@KIA,L 1:6,4,RF,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.133,0.333,0.467,16,-0.81,-0.057,1,,
¡§¿«¿±,2017,04-06,@KIA,L 4:6,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.263,0.368,12,-0.75,-0.076,1,0.105,0.74
¡§¿«¿±,2017,04-07,NC,L 3:5,6,DH,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.095,0.238,0.374,12,-0.10,-0.006,1,,
¡§¿«¿±,2017,04-08,NC,W 9:2,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.227,0.358,2,-0.12,0.000,0,0.130,0.00
¡§¿«¿±,2017,04-09,NC,W 8:5,6,DH,3,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.120,0.240,0.454,21,0.36,0.086,1,,
¡§¿«¿±,2017,04-11,∑‘µ•,L 4:6,6,DH,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.172,0.276,0.526,17,-0.67,-0.071,1,0.250,1.41
¡§¿«¿±,2017,04-12,∑‘µ•,W 2:1,5,DH,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.182,0.273,0.543,14,0.34,0.058,1,,
¡§¿«¿±,2017,04-13,∑‘µ•,W 11:10,6,DH,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.171,0.257,0.525,16,-0.54,-0.040,1,0.268,1.26
¡§¿«¿±,2017,04-14,@«—»≠,W 6:2,6,DH,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.179,0.256,0.539,11,-0.82,-0.015,1,,
¡§¿«¿±,2017,04-15,@«—»≠,W 12:4,4,PH,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.200,0.350,0.648,1,1.00,0.001,0,0.298,0.01
¡§¿«¿±,2017,04-16,@«—»≠,W 10:1,6,DH,4,1,3,2,0,0,5,2,0,0,0,0,0,0,1,0,1,0.250,0.432,0.759,12,1.13,0.060,1,,
¡§¿«¿±,2017,04-18,≥ÿºæ,W 7:4,5,DH,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.271,0.438,0.777,13,-0.03,0.020,1,0.339,0.24
¡§¿«¿±,2017,04-19,≥ÿºæ,W 5:3,5,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.404,0.721,19,-1.21,-0.072,1,,
