Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정주현,2019,03-23,@KIA,W 2:0,9,2B,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.000,0.000,0.667,15,-0.35,-0.038,1,0.667,1.06
정주현,2019,03-24,@KIA,W 9:3,9,2B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.250,17,-1.30,-0.017,1,,
정주현,2019,03-26,@SK,W 6:3,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.200,7,-0.50,-0.047,1,0.200,0.87
정주현,2019,03-27,@SK,L 1:2,9,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.083,0.083,0.298,15,-0.04,-0.028,1,,
정주현,2019,03-28,@SK,L 1:3,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.067,0.067,0.243,10,-0.77,-0.118,1,0.176,1.55
정주현,2019,03-29,롯데,W 2:1,2,2B,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.059,0.059,0.297,18,0.04,0.044,1,,
정주현,2019,03-30,롯데,L 1:7,9,2B,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.105,0.105,0.366,5,0.42,0.046,1,0.261,0.73
정주현,2019,03-31,롯데,W 6:5,9,2B,4,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.174,0.217,0.514,18,2.12,0.117,1,,
정주현,2019,04-02,@한화,L 2:6,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.154,0.192,0.459,11,-0.81,-0.052,1,0.267,0.82
정주현,2019,04-03,@한화,W 7:0,2,2B,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.172,0.207,0.501,17,1.06,0.000,1,,
정주현,2019,04-04,@한화,L 1:2,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.194,0.471,11,-0.64,-0.081,1,0.278,1.25
정주현,2019,04-05,@KT,W 13:0,9,2B,3,0,2,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0.206,0.294,0.619,13,1.60,0.111,1,,
정주현,2019,04-06,@KT,L 1:2,2,2B,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.216,0.324,0.665,18,0.02,0.013,1,0.341,0.88
