Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정진호,2020,05-05,@SK,W 3:0,7,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,7,-0.97,-0.043,1,0.000,1.06
정진호,2020,05-06,@SK,L 2:5,7,LF,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,6,0.41,-0.024,1,,
정진호,2020,05-07,@SK,W 8:4,2,LF,3,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.333,0.333,0.733,17,0.63,0.056,1,0.400,1.24
정진호,2020,05-08,@키움,L 3:5,2,LF,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.385,0.385,0.813,16,-0.42,-0.032,1,,
정진호,2020,05-09,@키움,L 3:5,1,LF,4,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0.412,0.412,0.856,17,-0.15,-0.051,1,0.444,1.28
정진호,2020,05-10,@키움,L 3:6,1,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.350,0.350,0.731,13,-0.90,-0.063,1,,
정진호,2020,05-12,KIA,L 1:2,1,LF,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.348,0.348,0.748,17,0.16,0.021,1,0.400,1.16
정진호,2020,05-13,KIA,L 3:4,1,LF,5,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.357,0.393,0.793,25,-0.98,-0.263,1,,
정진호,2020,05-14,KIA,W 4:1,1,LF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.344,0.375,0.757,15,-0.88,0.004,1,0.382,0.52
정진호,2020,05-15,롯데,W 2:1,1,LF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.361,0.730,16,-0.78,-0.059,1,,
정진호,2020,05-16,롯데,L 1:5,1,LF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.300,0.325,0.674,20,-0.62,-0.021,1,0.349,1.27
정진호,2020,05-17,롯데,W 5:4,1,CF,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.289,0.311,0.644,22,-1.27,-0.045,1,,
정진호,2020,05-19,@KT,L 11:13,3,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.298,0.618,6,-0.92,-0.083,1,0.320,1.61
정진호,2020,05-20,@KT,L 1:8,6,RF,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.280,0.300,0.621,6,0.16,0.004,1,,
정진호,2020,05-21,@KT,W 9:4,1,LF,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.259,0.278,0.588,19,-1.80,-0.104,1,0.310,0.62
정진호,2020,05-22,@NC,W 5:3,7,LF,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.250,0.268,0.579,12,-0.43,-0.014,1,,
정진호,2020,05-23,@NC,L 0:3,6,LF,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.259,0.276,0.604,12,-0.29,-0.026,1,0.328,1.27
정진호,2020,05-24,@NC,L 5:10,5,LF,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.258,0.274,0.598,15,-0.69,-0.018,1,,
정진호,2020,05-26,LG,L 0:3,3,LF,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.273,0.288,0.621,19,0.30,0.067,1,0.333,0.66
정진호,2020,05-27,LG,L 4:15,2,LF,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.275,0.290,0.619,15,0.77,0.004,1,,
정진호,2020,05-28,LG,L 0:3,2,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.260,0.274,0.586,23,-0.54,-0.069,1,0.313,1.45
정진호,2020,05-29,@SK,L 6:8,2,LF,5,1,4,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0.295,0.308,0.649,19,2.83,0.164,1,,
정진호,2020,05-30,@SK,L 3:9,3,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.280,0.293,0.619,14,-2.28,-0.239,1,0.326,1.84
정진호,2020,05-31,@SK,L 4:6,6,LF,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.282,0.294,0.620,11,0.50,0.070,1,,
정진호,2020,06-02,키움,L 3:15,6,LF,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.287,0.299,0.629,8,-0.03,0.004,1,0.330,0.68
정진호,2020,06-03,키움,L 2:6,6,LF,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.286,0.297,0.623,16,-0.76,-0.051,1,,
정진호,2020,06-04,키움,L 3:7,6,LF,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.290,0.301,0.631,4,0.14,0.000,0,0.330,0.34
정진호,2020,06-05,NC,L 2:13,5,LF,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.292,0.302,0.639,18,0.38,0.021,1,,
정진호,2020,06-06,NC,L 2:14,9,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.290,0.300,0.633,11,-0.34,0.025,1,0.333,0.25
정진호,2020,06-07,NC,L 2:8,6,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.282,0.291,0.616,12,-0.49,-0.023,1,,
정진호,2020,06-09,@롯데,L 3:9,7,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.279,0.288,0.616,6,-0.07,0.004,0,0.327,0.24
