Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
정현,2020,05-05,한화,L 0:3,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,9,-0.23,-0.032,1,0.000,0.62
정현,2020,05-06,한화,W 5:2,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,10,-0.93,-0.031,1,,
정현,2020,05-07,한화,L 4:8,9,SS,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.286,9,-0.30,-0.010,1,0.143,0.45
정현,2020,05-08,@롯데,L 8:9,9,SS,4,1,1,1,0,0,2,1,0,0,0,0,0,2,0,1,0,0.182,0.273,0.455,19,0.10,0.027,1,,
정현,2020,05-10,@롯데,L 0:4,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.273,0.455,0,0.00,0.000,0,0.182,0.00
정현,2020,05-13,@LG,L 2:14,9,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.267,0.467,18,-1.96,-0.006,1,,
정현,2020,05-14,@LG,L 2:3,9,SS,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.235,0.294,0.529,7,0.10,0.002,1,0.235,0.75
정현,2020,05-15,NC,L 2:6,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.200,0.250,0.450,13,-0.92,-0.107,1,,
정현,2020,05-16,NC,L 1:2,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.182,0.227,0.409,12,-0.44,-0.036,1,0.182,0.71
정현,2020,05-17,NC,L 5:11,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.227,0.409,0,0.00,0.000,0,,
