Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Á¤ÈÆ,2019,03-23,Å°¿ò,L 4:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,3,-0.18,-0.013,0,0.000,0.50
Á¤ÈÆ,2019,03-26,»ï¼º,W 7:2,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
Á¤ÈÆ,2019,03-27,»ï¼º,L 4:23,2,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.46,0.000,0,0.000,0.00
Á¤ÈÆ,2019,03-28,»ï¼º,L 7:12,8,PH,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,4,0.85,0.051,0,,
Á¤ÈÆ,2019,03-29,@LG,L 1:2,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.51,-0.140,0,0.000,6.11
Á¤ÈÆ,2019,03-30,@LG,W 7:1,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
Á¤ÈÆ,2019,03-31,@LG,L 5:6,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
Á¤ÈÆ,2019,04-02,@SK,W 5:0,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
Á¤ÈÆ,2019,04-04,@SK,L 6:7,5,CF,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.125,0.125,0.347,24,0.13,-0.050,1,0.222,1.11
Á¤ÈÆ,2019,04-05,ÇÑÈ­,W 5:2,1,CF,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.250,0.250,0.607,27,0.34,0.060,1,,
Á¤ÈÆ,2019,04-06,ÇÑÈ­,W 9:7,1,CF,3,1,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0.267,0.267,0.656,14,1.88,0.359,1,0.389,2.23
Á¤ÈÆ,2019,04-07,ÇÑÈ­,L 1:16,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.222,0.556,9,-0.56,-0.023,1,,
Á¤ÈÆ,2019,04-10,µÎ»ê,L 1:3,5,PH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.222,0.222,0.586,7,0.41,0.089,0,0.364,3.93
Á¤ÈÆ,2019,04-11,µÎ»ê,L 1:5,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.211,0.558,2,-0.32,-0.013,0,,
Á¤ÈÆ,2019,04-12,@NC,L 1:2,5,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.217,0.217,0.551,18,-0.54,-0.077,1,0.333,1.40
Á¤ÈÆ,2019,04-13,@NC,L 5:7,2,CF,5,1,3,0,0,1,6,3,0,0,0,0,0,2,0,0,0,0.286,0.393,0.768,21,2.50,0.286,1,,
Á¤ÈÆ,2019,04-14,@NC,L 1:8,1,CF,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.364,0.715,23,-0.56,0.001,1,0.351,0.45
Á¤ÈÆ,2019,04-16,KIA,W 10:9,7,CF,4,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.297,0.405,0.771,15,0.61,0.083,1,,
Á¤ÈÆ,2019,04-17,KIA,W 8:6,7,CF,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.268,0.366,0.714,22,-1.31,-0.142,1,0.348,1.66
Á¤ÈÆ,2019,04-18,KIA,W 10:9,4,PR,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.268,0.366,0.728,5,0.51,0.083,0,,
Á¤ÈÆ,2019,04-19,KT,L 5:6,7,CF,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.273,0.364,0.736,16,0.60,0.088,1,0.373,1.02
Á¤ÈÆ,2019,04-20,KT,W 5:4,7,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.250,0.333,0.679,17,-0.66,-0.074,1,,
Á¤ÈÆ,2019,04-21,KT,L 3:6,6,1B,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0.245,0.327,0.689,14,0.45,0.039,1,0.362,1.46
Á¤ÈÆ,2019,04-24,@ÇÑÈ­,L 4:5,7,CF,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.226,0.302,0.651,24,-0.39,-0.113,1,,
Á¤ÈÆ,2019,04-26,@µÎ»ê,L 8:11,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.296,0.640,4,-0.25,-0.012,0,0.344,0.39
Á¤ÈÆ,2019,04-28,@µÎ»ê,L 2:9,5,CF,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.241,0.310,0.663,19,0.03,0.024,1,,
Á¤ÈÆ,2019,05-01,NC,L 5:9,2,PH,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.233,0.300,0.643,13,-0.27,-0.017,0,0.343,2.43
Á¤ÈÆ,2019,05-02,NC,L 6:7,1,PH,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.238,0.302,0.644,15,-0.13,0.020,0,,
Á¤ÈÆ,2019,05-03,SK,L 7:11,2,CF,4,3,2,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0.254,0.328,0.687,20,1.11,0.007,1,0.359,0.77
Á¤ÈÆ,2019,05-04,SK,L 4:10,6,CF,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.246,0.319,0.677,17,-0.24,-0.039,1,,
Á¤ÈÆ,2019,05-05,SK,L 3:4,6,CF,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.236,0.306,0.658,21,-0.51,-0.102,1,0.353,1.19
Á¤ÈÆ,2019,05-08,@KT,L 4:5,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.233,0.301,0.650,6,-0.97,-0.094,0,,
Á¤ÈÆ,2019,05-09,@KT,W 13:6,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.230,0.297,0.642,5,-0.38,0.000,0,0.345,0.01
Á¤ÈÆ,2019,05-10,@»ï¼º,W 12:5,1,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.221,0.286,0.619,13,-0.90,-0.028,0,,
Á¤ÈÆ,2019,05-11,@»ï¼º,L 2:9,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.286,0.619,0,0.00,0.000,0,0.333,0.00
Á¤ÈÆ,2019,05-12,@»ï¼º,W 10:9,1,1B,2,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0.228,0.291,0.642,17,0.30,0.054,1,,
Á¤ÈÆ,2019,06-11,@LG,D 1:1,2,1B,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.225,0.288,0.642,10,-0.06,-0.034,0,0.354,2.73
Á¤ÈÆ,2019,06-12,@LG,L 3:4,6,1B,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.220,0.280,0.627,3,0.35,0.119,0,,
Á¤ÈÆ,2019,06-15,KIA,W 7:0,5,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.280,0.627,0,0.00,0.000,0,0.347,0.00
Á¤ÈÆ,2019,06-16,KIA,W 10:5,2,1B,4,2,2,1,0,0,3,1,1,0,0,0,0,1,1,1,0,0.233,0.302,0.655,14,1.70,0.114,1,,
Á¤ÈÆ,2019,06-18,@ÇÑÈ­,W 11:3,2,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.225,0.292,0.635,17,0.32,-0.019,1,0.343,0.39
Á¤ÈÆ,2019,06-19,@ÇÑÈ­,W 7:5,2,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.286,0.622,6,-0.44,-0.038,1,,
Á¤ÈÆ,2019,06-20,@ÇÑÈ­,L 7:10,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.286,0.622,0,0.00,0.000,0,0.336,0.00
Á¤ÈÆ,2019,06-21,Å°¿ò,L 4:7,7,1B,4,0,2,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0.232,0.305,0.648,13,1.42,-0.044,1,,
Á¤ÈÆ,2019,06-22,Å°¿ò,W 4:1,6,1B,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.237,0.309,0.660,14,0.47,0.014,1,0.351,0.75
Á¤ÈÆ,2019,06-23,Å°¿ò,W 2:1,6,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230,0.300,0.642,12,-0.56,-0.056,1,,
Á¤ÈÆ,2019,06-25,KT,D 8:8,6,1B,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.228,0.297,0.642,10,-1.15,-0.212,0,0.345,1.60
Á¤ÈÆ,2019,06-27,KT,L 2:10,6,1B,4,1,2,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0.238,0.324,0.673,13,0.10,0.058,1,,
Á¤ÈÆ,2019,06-29,@µÎ»ê,W 4:0,4,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.324,0.673,0,0.00,0.000,0,0.350,0.00
