Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Á¶¼Á,2019,03-23,@KIA,W 2:0,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,20,-0.75,-0.057,1,0.000,0.55
Á¶¼Á,2019,03-24,@KIA,W 9:3,4,1B,5,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.222,0.556,0.778,17,1.44,0.038,1,,
Á¶¼Á,2019,03-26,@SK,W 6:3,4,1B,3,2,1,0,0,1,4,3,0,0,1,0,0,1,0,0,0,0.250,0.750,1.058,16,2.44,0.268,1,0.308,1.37
Á¶¼Á,2019,03-27,@SK,L 1:2,4,1B,2,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0.286,0.714,1.159,24,0.89,0.146,1,,
Á¶¼Á,2019,03-28,@SK,L 1:3,4,1B,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.250,0.625,1.054,18,-0.23,-0.037,1,0.429,0.77
Á¶¼Á,2019,03-29,·Ôµ¥,W 2:1,4,1B,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.250,0.700,1.100,23,-0.24,0.082,1,,
Á¶¼Á,2019,03-30,·Ôµ¥,L 1:7,4,1B,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.227,0.636,1.050,15,0.23,0.007,1,0.414,0.40
Á¶¼Á,2019,03-31,·Ôµ¥,W 6:5,4,1B,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.250,0.625,1.044,9,0.65,0.066,1,,
Á¶¼Á,2019,04-04,@ÇÑÈ­,L 1:2,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.214,0.536,0.907,14,-1.12,-0.202,1,0.371,1.37
Á¶¼Á,2019,04-05,@KT,W 13:0,4,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.219,0.500,0.859,15,-0.05,-0.001,1,,
Á¶¼Á,2019,04-06,@KT,L 1:2,4,DH,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.222,0.556,0.904,18,0.03,0.022,1,0.349,1.26
Á¶¼Á,2019,04-07,@KT,L 3:4,4,DH,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.250,0.625,0.987,13,1.28,0.092,1,,
Á¶¼Á,2019,04-10,»ï¼º,L 5:6,4,1B,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.256,0.605,0.958,11,0.55,-0.017,1,0.353,1.05
Á¶¼Á,2019,04-11,»ï¼º,W 5:2,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.234,0.553,0.880,14,-1.32,-0.084,1,,
Á¶¼Á,2019,04-12,µÎ»ê,W 3:0,4,1B,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.255,0.549,0.888,17,0.75,0.083,1,0.339,0.77
Á¶¼Á,2019,04-13,µÎ»ê,W 5:2,4,1B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.232,0.500,0.813,20,-2.06,-0.161,1,,
