Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
조용호,2019,05-11,키움,L 2:6,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.26,-0.027,0,0.000,1.05
조용호,2019,05-14,@KIA,W 6:1,9,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.15,0.005,0,,
조용호,2019,05-15,@KIA,W 7:4,1,LF,4,1,2,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0.400,0.600,1.000,20,-0.90,-0.072,1,0.400,1.36
조용호,2019,05-16,@KIA,W 6:3,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.600,1.000,0,0.00,0.000,0,,
조용호,2019,05-17,삼성,L 3:14,2,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.333,0.556,22,-1.23,-0.058,1,0.222,0.61
조용호,2019,05-22,두산,W 3:1,9,DH,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.250,0.333,0.583,18,0.03,0.018,1,,
조용호,2019,05-23,두산,W 3:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.308,0.538,2,-0.26,-0.063,0,0.231,2.48
조용호,2019,05-24,@KIA,L 5:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.286,0.500,4,-0.23,-0.039,0,,
조용호,2019,05-25,@KIA,L 3:10,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.267,0.333,0.600,4,0.13,0.000,0,0.267,0.00
조용호,2019,05-26,@KIA,L 5:17,5,PH,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.294,0.353,0.647,11,0.07,0.003,0,,
조용호,2019,05-29,@SK,W 8:6,9,PH,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0.333,0.500,0.833,4,2.57,0.554,0,0.333,6.96
조용호,2019,05-31,두산,W 3:2,1,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.409,0.682,15,-0.61,-0.083,1,,
조용호,2019,06-01,두산,W 13:3,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.261,0.391,0.652,5,-0.12,0.000,0,0.261,0.00
조용호,2019,06-02,두산,L 4:7,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.375,0.625,1,-0.18,-0.017,0,,
조용호,2019,06-04,@LG,L 4:8,9,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.375,0.655,5,0.28,0.017,0,0.280,0.35
조용호,2019,06-05,@LG,L 2:9,2,CF,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.345,0.611,17,-1.07,-0.032,1,,
조용호,2019,06-06,@LG,L 7:8,3,CF,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.267,0.367,0.657,4,0.47,0.078,0,0.290,2.37
조용호,2019,06-07,롯데,W 2:1,2,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.242,0.333,0.598,9,-2.11,-0.190,1,,
조용호,2019,06-08,롯데,W 6:2,2,CF,4,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.297,0.378,0.712,21,1.46,0.092,1,0.333,0.78
조용호,2019,06-09,롯데,W 2:0,2,CF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.300,0.375,0.708,10,-0.64,-0.064,1,,
조용호,2019,06-11,SK,L 1:13,2,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.293,0.366,0.691,5,-0.26,0.000,0,0.326,0.00
조용호,2019,06-12,SK,L 3:6,2,CF,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.302,0.372,0.705,9,-0.01,-0.014,1,,
조용호,2019,06-13,SK,W 5:1,6,PH,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0.318,0.386,0.734,5,0.64,0.010,0,0.348,0.12
조용호,2019,06-14,@삼성,L 4:7,5,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.400,0.762,7,0.29,0.064,0,,
조용호,2019,06-15,@삼성,W 10:7,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0.391,0.745,7,-0.38,-0.027,0,0.354,1.18
조용호,2019,06-16,@삼성,W 3:1,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0.383,0.730,5,-0.26,-0.025,0,,
조용호,2019,06-19,@키움,L 2:8,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.396,0.756,2,0.62,0.049,0,0.360,1.11
조용호,2019,06-20,@키움,L 1:3,2,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0.373,0.712,22,-0.73,-0.081,1,,
조용호,2019,06-22,NC,L 6:7,2,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.327,0.385,0.736,6,0.40,0.078,0,0.352,1.71
조용호,2019,06-25,@롯데,D 8:8,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.377,0.723,6,-0.63,-0.093,0,,
조용호,2019,06-27,@롯데,W 10:2,3,RF,4,2,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0.333,0.386,0.753,19,1.64,0.048,1,0.367,0.66
조용호,2019,06-28,KIA,W 9:1,3,RF,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.344,0.393,0.778,20,0.20,0.030,1,,
조용호,2019,06-29,KIA,W 5:3,3,LF,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.339,0.387,0.784,18,0.63,0.081,1,0.397,1.06
조용호,2019,06-30,KIA,W 4:3,3,RF,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.379,0.776,22,-0.29,-0.028,1,,
조용호,2019,07-02,삼성,W 5:3,3,RF,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.329,0.371,0.761,19,-1.00,-0.032,1,0.390,0.96
조용호,2019,07-03,삼성,W 3:0,3,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.329,0.370,0.765,18,-0.38,-0.004,1,,
조용호,2019,07-04,삼성,W 5:3,3,RF,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.325,0.377,0.765,20,0.14,0.050,1,0.388,0.75
