Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Á¶È«¼®,2018,05-24,@»ï¼º,L 2:9,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,1,0.28,0.017,0,1.000,0.35
Á¶È«¼®,2018,05-25,@³Ø¼¾,L 2:13,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,5,-0.38,0.000,0,,
Á¶È«¼®,2018,05-26,@³Ø¼¾,L 2:3,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,2,-0.12,-0.027,0,0.333,1.03
Á¶È«¼®,2018,05-27,@³Ø¼¾,W 6:4,2,CF,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.571,13,-0.34,0.003,1,,
Á¶È«¼®,2018,05-29,LG,L 3:5,2,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.273,0.273,0.545,14,-0.45,-0.052,1,0.273,0.77
Á¶È«¼®,2018,05-30,LG,L 5:15,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.545,0,0.00,0.000,0,,
Á¶È«¼®,2018,05-31,LG,L 10:11,8,PH,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.273,0.273,0.606,6,-0.06,-0.010,0,0.333,1.54
Á¶È«¼®,2018,06-01,ÇÑÈ­,L 6:13,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.558,4,-0.33,-0.062,0,,
Á¶È«¼®,2018,06-02,ÇÑÈ­,L 2:3,1,LF,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.235,0.235,0.513,16,-0.48,-0.101,1,0.278,1.41
Á¶È«¼®,2018,06-03,ÇÑÈ­,W 6:0,2,CF,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.536,17,-0.01,0.000,1,,
Á¶È«¼®,2018,06-05,@NC,W 12:6,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0.511,4,-0.18,0.000,0,0.273,0.01
Á¶È«¼®,2018,06-06,@NC,W 10:5,3,PR,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.227,0.227,0.519,10,-0.62,0.000,0,,
Á¶È«¼®,2018,06-07,@NC,L 4:5,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.519,0,0.00,0.000,0,0.292,0.00
Á¶È«¼®,2018,06-08,KIA,W 9:6,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.519,0,0.00,0.000,0,,
