Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
주효상,2019,03-23,@롯데,W 7:4,9,C,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.667,1.000,8,0.11,0.021,1,0.333,0.89
주효상,2019,03-26,@두산,L 2:7,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.333,0.500,10,-0.70,-0.086,1,,
주효상,2019,03-28,@두산,W 5:4,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.333,0.500,0,0.00,0.000,0,0.167,0.00
주효상,2019,03-29,SK,L 2:5,9,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.250,0.375,12,-0.64,-0.048,1,,
주효상,2019,03-31,SK,L 7:8,9,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.200,0.300,10,-0.46,-0.034,1,0.100,0.70
주효상,2019,04-06,@KIA,W 14:4,9,C,5,1,1,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0.133,0.200,0.388,30,0.98,0.057,1,,
주효상,2019,07-05,롯데,W 14:1,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.188,0.364,3,-0.34,0.000,0,0.176,0.00
주효상,2019,07-07,롯데,W 5:2,6,C,1,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0.176,0.353,0.575,4,1.92,0.109,0,,
주효상,2019,07-09,@KT,W 12:3,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.333,0.544,5,-0.39,0.000,0,0.211,0.00
주효상,2019,07-13,@SK,L 2:4,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.333,0.544,0,0.00,0.000,0,,
주효상,2019,07-16,삼성,W 6:0,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.158,0.316,0.516,4,-0.12,0.000,0,0.200,0.02
주효상,2019,07-17,삼성,W 10:6,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.316,0.516,0,0.00,0.000,0,,
주효상,2019,07-28,NC,L 0:11,7,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.286,0.468,10,-0.81,0.000,0,0.182,0.01
주효상,2019,08-10,두산,W 10:2,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.273,0.447,5,-0.34,0.000,0,,
주효상,2019,08-14,@LG,W 14:0,7,C,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.174,0.348,0.556,4,1.24,0.000,0,0.208,0.00
주효상,2019,09-07,@KIA,W 7:3,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.348,0.556,0,0.00,0.000,0,,
주효상,2019,09-08,@KIA,W 13:3,8,PH,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.360,0.591,7,-0.07,0.000,0,0.231,0.00
주효상,2019,10-01,@롯데,W 3:1,7,C,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.207,0.345,0.578,12,0.05,-0.018,1,,
주효상,2019,10-07,LG,W 5:4,7,C,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,7,0.59,0.173,0,0.000,4.72
주효상,2019,10-10,@LG,W 10:5,7,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.18,-0.015,1,,
주효상,2019,10-26,두산,L 9:11,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
