Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Áö¼®ÈÆ,2019,03-23,»ï¼º,W 7:0,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,17,-0.74,-0.011,1,0.000,0.11
Áö¼®ÈÆ,2019,03-24,»ï¼º,L 3:4,8,3B,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.143,0.143,0.393,14,0.20,-0.029,1,,
Áö¼®ÈÆ,2019,03-26,KT,W 9:8,8,3B,4,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0.091,0.091,0.322,19,-0.59,-0.017,1,0.231,1.37
Áö¼®ÈÆ,2019,03-27,KT,W 4:1,8,3B,3,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.143,0.214,0.464,10,1.23,0.149,1,,
Áö¼®ÈÆ,2019,03-28,KT,W 6:2,7,3B,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.176,0.235,0.535,18,1.56,0.121,1,0.300,0.93
Áö¼®ÈÆ,2019,03-29,@ÇÑÈ­,L 0:9,6,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150,0.200,0.461,12,-1.25,-0.099,1,,
Áö¼®ÈÆ,2019,03-30,@ÇÑÈ­,L 5:13,6,3B,3,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.174,0.217,0.514,11,-0.96,-0.062,1,0.296,0.75
Áö¼®ÈÆ,2019,03-31,@ÇÑÈ­,W 6:3,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.148,0.185,0.443,11,-2.35,-0.145,1,,
Áö¼®ÈÆ,2019,04-03,Å°¿ò,W 9:1,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.172,0.415,2,-1.04,-0.001,0,0.242,0.03
Áö¼®ÈÆ,2019,04-04,Å°¿ò,L 5:6,3,PR,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.161,0.290,0.547,3,1.25,0.108,0,,
Áö¼®ÈÆ,2019,04-05,@µÎ»ê,W 7:3,7,3B,3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.176,0.294,0.576,7,0.04,0.012,1,0.282,0.40
Áö¼®ÈÆ,2019,04-06,@µÎ»ê,W 6:5,2,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.278,0.546,5,-0.50,-0.068,0,,
Áö¼®ÈÆ,2019,04-07,@µÎ»ê,W 5:3,2,3B,5,2,3,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0.220,0.341,0.646,23,0.41,0.037,1,0.304,0.60
Áö¼®ÈÆ,2019,04-10,@KIA,L 1:2,9,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.311,0.591,14,-0.95,-0.145,1,,
Áö¼®ÈÆ,2019,04-11,@KIA,W 4:2,2,2B,5,1,3,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0.240,0.360,0.669,21,1.01,0.132,1,0.309,0.86
Áö¼®ÈÆ,2019,04-12,·Ôµ¥,W 2:1,7,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.226,0.340,0.633,19,-0.70,-0.086,1,,
Áö¼®ÈÆ,2019,04-13,·Ôµ¥,W 7:5,6,3B,5,2,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.241,0.362,0.664,15,-0.31,0.110,1,0.302,0.87
Áö¼®ÈÆ,2019,04-14,·Ôµ¥,W 8:1,2,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.242,0.355,0.653,17,-0.99,-0.015,1,,
Áö¼®ÈÆ,2019,04-16,LG,L 2:7,9,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.355,0.653,0,0.00,0.000,0,0.299,0.00
Áö¼®ÈÆ,2019,04-17,LG,L 2:4,9,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.234,0.344,0.634,11,-0.72,-0.077,1,,
Áö¼®ÈÆ,2019,04-18,LG,L 1:6,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.224,0.328,0.606,12,-1.63,-0.186,1,0.278,1.55
Áö¼®ÈÆ,2019,04-19,@SK,W 14:11,9,3B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.235,0.338,0.626,2,0.13,0.000,0,,
Áö¼®ÈÆ,2019,04-21,@SK,L 1:4,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.225,0.324,0.600,18,-0.63,-0.063,1,0.276,0.78
Áö¼®ÈÆ,2019,04-23,@KT,W 4:3,7,3B,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0.222,0.319,0.607,20,0.15,0.043,1,,
Áö¼®ÈÆ,2019,04-24,@KT,W 10:2,1,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.319,0.607,0,0.00,0.000,0,0.288,0.00
Áö¼®ÈÆ,2019,04-27,ÇÑÈ­,W 15:1,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.315,0.599,2,-0.26,0.000,0,,
Áö¼®ÈÆ,2019,04-28,ÇÑÈ­,W 10:4,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.311,0.591,6,-0.47,0.000,0,0.280,0.01
Áö¼®ÈÆ,2019,05-01,@·Ôµ¥,W 9:5,1,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.311,0.591,0,0.00,0.000,0,,
Áö¼®ÈÆ,2019,05-02,@·Ôµ¥,W 7:6,1,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.213,0.307,0.592,8,-0.25,-0.001,0,0.286,1.24
Áö¼®ÈÆ,2019,05-04,KIA,W 4:1,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.303,0.585,5,-0.34,-0.017,0,,
Áö¼®ÈÆ,2019,05-05,KIA,W 10:3,2,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.203,0.291,0.564,11,-1.75,-0.007,0,0.273,0.08
Áö¼®ÈÆ,2019,05-07,@»ï¼º,L 3:6,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.288,0.557,5,-0.47,-0.033,0,,
Áö¼®ÈÆ,2019,06-11,Å°¿ò,L 8:9,1,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.280,0.544,6,-0.57,-0.029,0,0.264,0.92
Áö¼®ÈÆ,2019,06-12,Å°¿ò,L 4:5,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.280,0.544,0,0.00,0.000,0,,
Áö¼®ÈÆ,2019,06-15,@SK,L 0:4,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.280,0.544,0,0.00,0.000,0,0.264,0.00
Áö¼®ÈÆ,2019,06-16,@SK,L 2:9,9,SS,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.190,0.274,0.540,15,-0.16,0.017,1,,
Áö¼®ÈÆ,2019,06-20,@µÎ»ê,L 2:14,7,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.193,0.273,0.538,15,-0.27,-0.024,1,0.265,0.22
Áö¼®ÈÆ,2019,06-21,@KT,L 0:5,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.264,0.521,13,-0.48,-0.036,1,,
Áö¼®ÈÆ,2019,06-22,@KT,W 7:6,8,SS,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.211,0.284,0.560,11,2.18,0.261,1,0.276,1.54
Áö¼®ÈÆ,2019,06-23,@KT,L 2:4,8,SS,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0.224,0.296,0.580,17,0.59,0.149,1,,
Áö¼®ÈÆ,2019,06-25,ÇÑÈ­,L 3:14,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.218,0.287,0.564,16,-1.62,-0.214,1,0.277,2.05
Áö¼®ÈÆ,2019,06-28,LG,L 2:6,2,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.287,0.564,0,0.00,0.000,0,,
Áö¼®ÈÆ,2019,06-30,LG,W 9:1,3,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.287,0.564,0,0.00,0.000,0,0.277,0.00
Áö¼®ÈÆ,2019,07-04,@KIA,W 9:3,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.284,0.559,6,-0.18,0.000,0,,
Áö¼®ÈÆ,2019,08-10,·Ôµ¥,W 7:4,8,2B,3,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.219,0.295,0.571,9,0.81,0.114,1,0.276,0.61
Áö¼®ÈÆ,2019,08-11,·Ôµ¥,W 9:1,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.295,0.571,0,0.00,0.000,0,,
Áö¼®ÈÆ,2019,08-13,@ÇÑÈ­,W 10:2,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.217,0.292,0.566,4,-0.18,0.000,0,0.274,0.00
