Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
채은성,2020,05-05,두산,W 8:2,5,RF,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.000,0.000,0.500,19,0.72,-0.013,1,0.500,0.34
채은성,2020,05-06,두산,L 2:5,5,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.375,17,-0.81,-0.072,1,,
채은성,2020,05-07,두산,L 3:9,5,RF,4,2,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.222,0.333,0.750,14,-0.06,0.049,1,0.417,0.89
채은성,2020,05-08,@NC,L 5:13,5,RF,5,1,2,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0.286,0.429,0.840,15,-0.01,-0.019,1,,
채은성,2020,05-10,@NC,W 10:8,3,RF,5,1,2,0,0,1,5,3,0,0,0,0,0,0,1,0,0,0.316,0.579,0.988,17,0.76,0.132,1,0.409,0.86
채은성,2020,05-12,SK,W 9:5,3,RF,4,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.261,0.478,0.849,19,-0.56,-0.029,1,,
채은성,2020,05-13,SK,W 14:2,3,RF,4,2,2,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0.296,0.481,0.888,18,2.81,0.107,1,0.406,0.57
채은성,2020,05-14,SK,W 3:2,3,RF,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.290,0.452,0.841,15,0.07,-0.007,1,,
채은성,2020,05-16,키움,W 3:1,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.257,0.400,0.750,16,-0.73,-0.045,1,0.350,0.42
채은성,2020,05-16,키움,W 5:3,8,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.278,0.417,0.783,3,1.00,0.159,0,,
채은성,2020,05-17,키움,L 4:9,3,RF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.275,0.400,0.756,19,-0.11,-0.017,1,0.356,0.23
