Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
채현우,2020,09-16,@KIA,W 7:6,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.27,0.026,0,0.000,3.53
채현우,2020,09-17,NC,L 0:3,5,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.09,0.022,0,,
채현우,2020,09-19,KT,L 0:5,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.26,-0.005,0,0.000,0.20
채현우,2020,09-20,KT,L 2:10,6,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
채현우,2020,09-22,@LG,L 2:7,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.26,-0.023,0,0.000,0.92
채현우,2020,09-23,@LG,L 2:6,8,LF,3,1,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0.600,0.800,1.467,20,1.10,0.089,1,,
채현우,2020,09-24,@키움,L 1:6,2,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.333,0.444,0.844,14,-1.50,-0.159,1,0.400,1.08
채현우,2020,09-25,@키움,W 8:6,3,PR,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.273,0.364,0.697,5,0.05,0.141,0,,
채현우,2020,09-26,@삼성,L 2:8,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.641,4,-0.26,-0.002,0,0.308,0.07
채현우,2020,09-27,@삼성,W 12:1,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.308,0.593,6,-0.38,0.000,0,,
채현우,2020,09-29,@NC,L 0:3,7,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.188,0.250,0.485,11,-0.94,-0.115,1,0.235,1.53
채현우,2020,09-30,@NC,L 3:12,1,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.143,0.190,0.372,19,-2.47,-0.053,1,,
채현우,2020,10-01,@NC,L 2:10,5,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.182,0.356,3,-0.32,0.000,0,0.174,0.01
채현우,2020,10-02,키움,L 5:12,2,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.130,0.174,0.341,5,-0.60,-0.051,0,,
채현우,2020,10-14,@삼성,L 1:2,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130,0.174,0.341,0,0.00,0.000,0,0.167,0.00
채현우,2020,10-16,KT,W 7:1,7,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130,0.174,0.341,0,0.00,0.000,0,,
