Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÃÖ½Â¹Î,2019,06-13,Å°¿ò,W 3:1,3,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,-0.46,-0.023,0,0.000,0.68
ÃÖ½Â¹Î,2019,06-14,@SK,L 3:7,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,4,-0.12,-0.001,0,,
ÃÖ½Â¹Î,2019,06-15,@SK,L 0:4,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
ÃÖ½Â¹Î,2019,06-18,@µÎ»ê,L 7:10,3,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.09,0.001,0,,
ÃÖ½Â¹Î,2019,06-19,@µÎ»ê,L 0:1,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.15,0.031,0,0.000,2.31
ÃÖ½Â¹Î,2019,06-20,@µÎ»ê,L 2:14,2,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,7,-0.44,-0.017,1,,
ÃÖ½Â¹Î,2019,06-22,@KT,W 7:6,5,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
ÃÖ½Â¹Î,2019,06-23,@KT,L 2:4,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
ÃÖ½Â¹Î,2019,06-25,ÇÑÈ­,L 3:14,4,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.15,0.000,0,0.000,0.02
ÃÖ½Â¹Î,2019,06-27,ÇÑÈ­,W 10:5,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
ÃÖ½Â¹Î,2019,09-03,@SK,L 1:8,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
ÃÖ½Â¹Î,2019,09-05,ÇÑÈ­,L 0:3,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
ÃÖ½Â¹Î,2019,09-06,ÇÑÈ­,W 4:0,4,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.09,0.001,0,0.000,0.05
ÃÖ½Â¹Î,2019,09-07,@»ï¼º,W 8:2,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
ÃÖ½Â¹Î,2019,09-08,@»ï¼º,L 4:9,7,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
ÃÖ½Â¹Î,2019,09-14,»ï¼º,W 7:1,4,PR,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,4,1.09,0.003,0,,
ÃÖ½Â¹Î,2019,09-15,»ï¼º,W 6:1,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,0,0.24,0.004,0,0.250,0.17
ÃÖ½Â¹Î,2019,09-19,LG,W 5:3,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,0,0.00,0.000,0,,
ÃÖ½Â¹Î,2019,09-24,µÎ»ê,D 7:7,7,PR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.500,0.750,0,0.24,0.029,0,0.250,3.05
ÃÖ½Â¹Î,2019,09-25,ÇÑÈ­,L 2:3,1,CF,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.286,0.429,0.714,12,-0.37,-0.052,1,,
ÃÖ½Â¹Î,2019,09-26,ÇÑÈ­,L 2:4,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.429,0.714,0,0.00,0.000,0,0.286,0.00
ÃÖ½Â¹Î,2019,09-27,@LG,W 3:0,6,CF,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.375,0.500,0.875,2,0.03,0.014,0,,
ÃÖ½Â¹Î,2019,09-28,@KT,L 2:5,7,CF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.375,0.500,0.944,8,0.13,0.013,0,0.444,0.47
ÃÖ½Â¹Î,2019,10-01,@µÎ»ê,L 5:6,8,PR,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.444,0.556,1.056,1,0.38,0.089,0,,
