Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
√÷Ω¬¡ÿ,2019,05-17,µŒªÍ,L 1:3,5,1B,3,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.333,0.333,0.833,13,-0.53,-0.019,1,0.500,1.44
√÷Ω¬¡ÿ,2019,05-18,µŒªÍ,L 5:10,6,1B,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.429,0.429,0.929,14,-0.36,0.010,1,,
√÷Ω¬¡ÿ,2019,05-21,@LG,W 4:2,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.375,0.819,4,-0.32,-0.009,0,0.444,0.39
√÷Ω¬¡ÿ,2019,05-22,@LG,W 2:0,6,DH,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.273,0.273,0.657,20,-0.86,-0.094,1,,
√÷Ω¬¡ÿ,2019,05-23,@LG,L 1:2,5,DH,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.231,0.564,4,-0.51,-0.049,1,0.333,0.92
√÷Ω¬¡ÿ,2019,05-25,@NC,L 7:10,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.527,4,-0.32,-0.002,0,,
√÷Ω¬¡ÿ,2019,06-07,ªÔº∫,W 4:2,8,DH,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.188,0.188,0.465,7,-0.30,-0.033,1,0.278,0.65
√÷Ω¬¡ÿ,2019,06-09,ªÔº∫,L 0:9,3,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.473,16,-0.41,0.009,0,,
√÷Ω¬¡ÿ,2019,06-11,@KT,W 13:1,3,PR,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0.542,2,0.62,0.000,0,0.304,0.02
√÷Ω¬¡ÿ,2019,06-13,@KT,L 1:5,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.519,1,-0.26,-0.004,0,,
