Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
최영진,2020,05-05,NC,L 0:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.71,-0.033,0,0.000,1.27
최영진,2020,05-07,NC,L 2:8,7,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,15,-0.99,-0.061,1,,
최영진,2020,05-09,KIA,W 14:2,4,PH,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,0.200,8,1.00,0.000,0,0.200,0.01
최영진,2020,05-10,KIA,L 3:12,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,3,0.13,0.000,0,,
최영진,2020,05-26,@롯데,L 0:1,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.452,5,-0.51,-0.074,0,0.286,3.25
최영진,2020,05-27,@롯데,W 11:1,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,2,-0.22,0.000,0,,
최영진,2020,05-29,NC,W 5:4,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,1,-0.26,-0.063,0,0.222,2.48
최영진,2020,05-30,NC,W 9:1,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.311,3,-0.25,0.000,0,,
최영진,2020,05-31,NC,L 7:18,3,3B,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.273,0.273,0.606,11,1.95,0.007,0,0.333,0.12
최영진,2020,06-03,@LG,W 12:6,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.606,0,0.00,0.000,0,,
최영진,2020,06-04,@LG,L 0:11,7,1B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.250,0.607,8,-0.17,0.000,0,0.357,0.01
최영진,2020,06-05,@SK,L 1:4,9,PH,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.250,0.250,0.650,2,0.03,0.004,0,,
최영진,2020,06-06,@SK,L 4:6,6,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.308,0.308,0.745,3,0.28,0.009,0,0.438,0.17
최영진,2020,06-07,@SK,W 3:0,5,3B,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.353,0.353,0.803,10,0.61,0.111,1,,
최영진,2020,06-09,키움,L 3:5,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.286,0.661,14,-1.23,-0.167,1,0.375,1.61
최영진,2020,06-10,키움,W 4:1,7,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.583,13,-0.56,-0.031,1,,
최영진,2020,06-11,키움,W 6:3,4,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240,0.240,0.561,3,-0.12,-0.003,0,0.321,0.11
최영진,2020,06-13,KT,L 4:7,6,3B,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.250,0.250,0.573,12,-0.91,-0.101,1,,
최영진,2020,06-14,KT,W 12:0,4,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.241,0.554,2,-0.38,0.000,0,0.313,0.00
최영진,2020,06-16,@두산,W 4:3,4,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.241,0.554,0,0.00,0.000,0,,
최영진,2020,06-17,@두산,W 6:3,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.233,0.233,0.536,2,-1.24,-0.121,0,0.303,1.94
최영진,2020,06-18,@두산,L 3:7,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.226,0.520,2,-0.26,-0.009,0,,
최영진,2020,06-21,@KIA,W 12:5,6,3B,3,2,3,0,0,1,6,4,0,0,2,0,0,0,0,0,0,0.294,0.382,0.767,19,3.70,0.263,1,0.385,0.34
최영진,2020,06-23,한화,W 11:4,6,3B,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.282,0.359,0.723,13,-0.74,0.029,1,,
최영진,2020,06-24,한화,W 3:2,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.279,0.349,0.703,15,-1.08,-0.088,1,0.354,1.90
최영진,2020,06-25,한화,L 2:9,5,3B,2,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.289,0.356,0.740,19,1.11,0.033,1,,
최영진,2020,06-26,@롯데,W 6:4,7,PR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283,0.348,0.737,8,-0.14,-0.057,0,0.389,1.13
최영진,2020,06-28,@롯데,L 3:7,1,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.348,0.737,0,0.00,0.000,0,,
최영진,2020,06-30,SK,W 4:1,4,1B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.277,0.340,0.733,8,-0.06,-0.006,0,0.393,0.88
최영진,2020,07-01,SK,W 7:1,3,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.340,0.733,0,0.00,0.000,0,,
최영진,2020,07-02,SK,W 6:2,5,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.333,0.719,3,-0.18,-0.002,0,0.386,0.08
최영진,2020,07-03,LG,W 9:7,6,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.255,0.314,0.680,9,-1.27,-0.094,1,,
최영진,2020,07-04,LG,W 7:6,5,PR,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.245,0.302,0.657,6,-0.38,-0.049,0,0.355,0.96
최영진,2020,07-05,LG,L 3:7,5,1B,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.273,0.345,0.720,5,0.83,0.031,0,,
최영진,2020,07-07,@키움,W 13:2,2,1B,5,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0.283,0.350,0.721,21,0.98,0.069,1,0.371,0.80
최영진,2020,07-08,@키움,L 6:7,9,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.349,0.719,9,-0.24,-0.029,1,,
최영진,2020,07-09,@키움,L 2:4,6,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.273,0.333,0.689,13,-0.91,-0.091,1,0.355,1.14
최영진,2020,07-10,@KT,L 3:8,4,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.324,0.670,5,-0.72,-0.006,0,,
최영진,2020,07-11,@KT,L 7:10,4,3B,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.275,0.333,0.688,1,1.00,0.071,0,0.354,0.90
최영진,2020,07-14,KIA,W 5:0,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.333,0.688,0,0.00,0.000,0,,
최영진,2020,07-16,KIA,W 8:7,5,1B,4,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.274,0.329,0.686,18,0.51,0.113,1,0.357,1.00
최영진,2020,07-17,롯데,W 15:10,4,3B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.270,0.324,0.677,1,-0.12,0.000,0,,
최영진,2020,07-18,롯데,W 5:2,4,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270,0.324,0.677,0,0.00,0.000,0,0.353,0.00
최영진,2020,07-19,롯데,L 1:2,6,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.320,0.669,4,-0.38,-0.071,0,,
최영진,2020,07-21,@NC,L 5:6,5,1B,4,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.266,0.316,0.668,20,-0.34,-0.142,1,0.352,2.14
최영진,2020,07-25,@KIA,L 2:8,9,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.275,0.325,0.684,4,0.28,0.001,0,,
최영진,2020,07-26,@KIA,L 5:8,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0.321,0.676,6,-0.47,-0.059,0,0.355,2.27
최영진,2020,10-10,롯데,L 0:1,7,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.313,0.661,9,-0.63,-0.077,1,,
최영진,2020,10-15,SK,L 3:10,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.262,0.310,0.653,5,-0.25,-0.002,0,0.344,0.07
최영진,2020,10-16,@한화,W 6:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.306,0.646,3,-0.34,-0.001,0,,
최영진,2020,10-17,@한화,D 4:4,8,3B,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.253,0.299,0.639,17,-0.83,-0.088,1,0.340,1.55
최영진,2020,10-18,@한화,W 5:4,9,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.258,0.303,0.647,4,0.07,0.015,0,,
최영진,2020,10-20,@SK,W 12:2,9,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.303,0.647,0,0.00,0.000,0,0.343,0.00
최영진,2020,10-21,@KT,L 1:2,7,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.303,0.647,0,0.00,0.000,0,,
최영진,2020,10-24,@KIA,W 11:7,2,3B,2,1,2,2,0,0,4,0,0,1,2,1,0,0,0,0,0,0.275,0.341,0.714,19,1.72,0.155,1,0.374,0.98
최영진,2020,10-25,@KIA,L 1:10,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.283,0.348,0.727,2,0.28,0.000,0,,
최영진,2020,10-27,@NC,W 12:2,2,1B,5,2,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0.309,0.371,0.769,13,1.07,0.052,1,0.398,0.37
최영진,2020,10-30,NC,D 4:4,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.297,0.356,0.741,20,-1.25,-0.139,1,,
