Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
최원준,2018,03-24,KT,L 4:5,7,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.25,-0.098,0,0.000,3.49
최원준,2018,03-25,KT,W 14:1,4,PH,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,2.000,2.500,3,1.72,0.000,0,,
최원준,2018,03-27,삼성,W 17:0,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,1.333,1.667,3,-0.43,0.000,0,0.333,0.00
최원준,2018,03-28,삼성,L 0:6,8,1B,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.286,0.857,1.143,14,-0.18,0.014,1,,
최원준,2018,03-29,삼성,W 7:0,2,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.750,1.000,6,-0.18,0.000,0,0.250,0.00
최원준,2018,04-03,@SK,L 3:13,8,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.500,0.667,13,-0.75,-0.012,1,,
최원준,2018,04-04,@SK,W 9:6,8,SS,4,0,3,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0.313,0.688,1.000,14,2.06,0.290,1,0.313,1.68
최원준,2018,04-06,넥센,W 11:5,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.353,0.706,1.059,3,0.62,0.001,0,,
최원준,2018,04-07,넥센,W 5:1,2,3B,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.368,0.684,1.084,18,0.39,-0.007,1,0.400,0.46
최원준,2018,04-08,넥센,W 4:3,7,3B,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.364,0.636,1.028,12,-0.96,-0.135,1,,
최원준,2018,04-10,@한화,L 3:4,1,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.636,1.028,0,0.00,0.000,0,0.391,0.00
최원준,2018,04-11,@한화,L 4:6,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.360,0.600,0.985,15,-0.30,-0.038,1,,
최원준,2018,04-12,@한화,L 4:15,7,3B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.321,0.536,0.902,20,-0.39,-0.025,1,0.367,0.17
최원준,2018,04-13,롯데,L 4:8,7,3B,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.290,0.484,0.817,16,-0.31,-0.067,1,,
최원준,2018,04-17,LG,W 5:4,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.257,0.429,0.726,21,-1.93,-0.178,1,0.297,1.66
최원준,2018,04-18,LG,W 4:3,6,3B,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.385,0.653,12,-1.35,-0.127,1,,
최원준,2018,04-19,LG,W 8:4,7,RF,4,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.233,0.395,0.662,19,0.70,0.126,1,0.267,0.95
최원준,2018,04-20,@두산,L 4:6,7,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.239,0.391,0.677,12,1.23,0.097,1,,
최원준,2018,04-21,@두산,L 5:10,6,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.245,0.388,0.676,17,-0.24,-0.006,1,0.288,1.25
최원준,2018,04-22,@두산,W 14:4,7,RF,6,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.236,0.364,0.639,26,-1.03,-0.020,1,,
최원준,2018,06-07,@KT,W 2:1,7,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.237,0.356,0.630,12,-0.36,-0.028,1,0.274,0.65
최원준,2018,06-08,@롯데,L 6:9,8,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.230,0.344,0.610,15,-1.07,-0.037,0,,
최원준,2018,06-09,@롯데,W 7:5,7,SS,3,1,1,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0.234,0.344,0.634,21,0.67,0.085,1,0.290,0.84
최원준,2018,06-12,SK,W 4:0,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.344,0.634,0,0.00,0.000,0,,
최원준,2018,06-13,SK,L 4:5,7,SS,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.227,0.333,0.625,11,-0.19,0.058,0,0.292,2.14
최원준,2018,06-14,SK,L 2:9,8,SS,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.221,0.324,0.626,14,0.03,-0.049,1,,
최원준,2018,06-15,@LG,L 3:4,8,SS,4,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.250,0.361,0.686,25,2.39,0.584,1,0.325,2.51
최원준,2018,06-16,@LG,L 3:4,7,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.237,0.342,0.652,12,-1.08,-0.124,1,,
최원준,2018,06-17,@LG,L 6:9,7,SS,5,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0.247,0.346,0.660,20,-0.79,-0.095,1,0.315,0.92
최원준,2018,06-20,NC,W 6:5,9,SS,3,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0.250,0.345,0.660,16,-0.04,0.026,1,,
최원준,2018,06-21,NC,L 4:7,9,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.239,0.330,0.632,13,-0.94,-0.091,1,0.302,0.88
최원준,2018,06-22,@넥센,W 8:5,7,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.315,0.605,10,-1.46,-0.087,1,,
최원준,2018,06-23,@넥센,L 4:9,7,SS,4,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.229,0.313,0.601,13,-0.18,0.005,1,0.288,0.97
최원준,2018,06-24,@넥센,W 14:10,7,SS,5,2,2,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0.238,0.347,0.640,23,3.14,0.391,1,,
최원준,2018,06-27,@SK,L 2:3,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.337,0.622,7,-0.56,-0.068,1,0.286,0.89
최원준,2018,06-29,@두산,W 7:4,7,SS,5,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.239,0.349,0.639,21,0.45,-0.002,1,,
최원준,2018,06-30,@두산,L 2:12,7,SS,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.348,0.640,6,-0.04,0.011,1,0.292,0.09
최원준,2018,07-03,한화,W 9:2,7,SS,4,2,3,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0.259,0.371,0.677,10,1.85,0.088,1,,
최원준,2018,07-04,한화,W 6:4,2,SS,5,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.256,0.364,0.666,15,-1.00,-0.019,1,0.302,1.40
최원준,2018,07-05,한화,L 2:8,2,RF,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.355,0.656,12,0.14,0.023,1,,
최원준,2018,07-06,LG,W 13:4,8,RF,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.240,0.341,0.631,22,-1.46,-0.056,1,0.290,0.21
최원준,2018,07-07,LG,L 10:13,6,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.338,0.626,9,-0.26,-0.015,0,,
최원준,2018,07-08,LG,L 1:8,2,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.336,0.622,7,-0.26,-0.008,0,0.286,0.33
최원준,2018,07-10,@NC,L 6:8,7,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.233,0.331,0.613,14,-0.44,-0.039,0,,
최원준,2018,07-11,@NC,L 1:5,6,RF,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.234,0.336,0.617,14,-0.66,-0.089,1,0.281,1.24
최원준,2018,07-12,@NC,L 3:4,2,1B,3,0,2,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0.243,0.350,0.639,11,0.83,0.160,1,,
최원준,2018,07-17,삼성,W 6:3,8,PH,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.243,0.350,0.643,4,1.00,0.044,0,0.293,1.37
최원준,2018,07-18,삼성,L 1:7,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.236,0.340,0.626,14,-1.66,-0.122,1,,
최원준,2018,07-19,삼성,L 2:6,8,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.240,0.342,0.631,6,-0.25,-0.036,0,0.288,1.02
최원준,2018,07-20,KT,W 6:4,9,3B,3,1,2,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0.248,0.362,0.662,13,1.13,0.077,1,,
최원준,2018,07-21,KT,W 8:2,9,3B,4,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.255,0.366,0.671,10,0.44,-0.020,1,0.305,0.73
최원준,2018,07-22,KT,L 5:6,9,3B,4,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.268,0.376,0.691,8,0.45,0.074,1,,
최원준,2018,07-24,@한화,L 0:5,9,3B,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.275,0.388,0.709,14,0.24,0.000,1,0.322,0.18
최원준,2018,07-25,@한화,W 11:3,2,1B,5,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.273,0.388,0.706,22,-0.10,-0.051,1,,
최원준,2018,07-26,@한화,L 3:6,2,SS,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.272,0.385,0.701,14,-0.20,-0.011,1,0.317,0.50
최원준,2018,07-27,@삼성,L 10:11,2,RF,6,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.269,0.377,0.689,19,-0.53,0.067,1,,
최원준,2018,07-28,@삼성,L 2:3,2,3B,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.267,0.372,0.681,21,-0.88,-0.167,1,0.309,2.02
최원준,2018,07-29,@삼성,L 1:13,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.372,0.681,0,0.00,0.000,0,,
최원준,2018,07-31,롯데,W 4:1,2,SS,3,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.268,0.377,0.690,14,0.96,0.126,1,0.313,0.81
최원준,2018,08-01,롯데,W 8:1,2,SS,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.261,0.367,0.672,18,-1.72,-0.070,1,,
최원준,2018,08-02,롯데,L 6:9,9,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.257,0.361,0.662,14,-0.55,-0.071,1,0.300,0.91
최원준,2018,08-04,두산,W 13:5,1,PR,4,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.256,0.359,0.658,19,-0.87,-0.033,0,,
최원준,2018,08-05,두산,W 6:3,9,2B,3,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.258,0.374,0.674,10,1.22,0.339,1,0.300,1.80
최원준,2018,08-07,@넥센,L 1:9,7,RF,4,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0.262,0.376,0.680,16,-0.29,-0.020,1,,
최원준,2018,08-08,@넥센,L 6:7,9,1B,5,0,4,0,0,0,4,2,0,1,0,0,0,1,0,0,0,0.275,0.386,0.702,21,1.83,0.067,1,0.315,1.59
최원준,2018,08-09,롯데,L 4:11,7,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.275,0.384,0.698,11,-0.08,0.004,1,,
최원준,2018,08-11,@SK,W 18:4,7,RF,5,3,2,0,0,1,5,2,0,0,0,1,0,1,0,0,0,0.278,0.398,0.717,19,0.88,-0.032,1,0.319,0.44
최원준,2018,08-12,@SK,W 21:8,5,PH,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.280,0.399,0.719,5,-0.05,0.000,0,,
최원준,2018,08-14,LG,W 14:8,7,3B,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.279,0.397,0.719,10,0.02,0.001,0,0.322,0.02
최원준,2018,08-15,LG,L 4:13,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.395,0.716,4,-0.18,-0.001,0,,
최원준,2018,09-04,@두산,W 10:5,2,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0.390,0.707,10,-0.83,-0.086,1,0.316,1.13
최원준,2018,09-05,@두산,L 1:14,9,PH,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.271,0.387,0.700,4,-0.23,-0.010,0,,
최원준,2018,09-06,넥센,W 7:2,7,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.268,0.382,0.694,16,-0.62,-0.052,1,0.313,0.74
최원준,2018,09-07,넥센,W 7:5,7,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.375,0.683,13,-2.43,-0.116,1,,
최원준,2018,09-08,삼성,W 12:4,5,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.266,0.378,0.688,5,0.40,0.000,0,0.310,0.00
최원준,2018,09-11,@NC,L 7:10,7,2B,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.267,0.377,0.691,14,0.17,0.080,1,,
최원준,2018,09-12,@NC,L 4:5,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.376,0.688,4,-0.12,-0.034,0,0.312,1.32
최원준,2018,09-14,@롯데,W 9:5,7,2B,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.266,0.378,0.692,19,-0.52,0.054,1,,
최원준,2018,09-15,SK,W 4:2,9,SS,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.265,0.376,0.688,13,0.37,0.180,1,0.313,3.61
최원준,2018,09-16,SK,W 7:6,6,SS,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.271,0.381,0.699,7,0.67,0.073,1,,
최원준,2018,09-18,@삼성,W 18:3,9,RF,3,2,2,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0.276,0.384,0.707,23,2.54,0.063,1,0.323,0.46
최원준,2018,09-19,@삼성,L 8:9,9,RF,3,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.281,0.387,0.717,20,1.36,0.089,1,,
최원준,2018,09-20,NC,W 7:6,6,RF,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.280,0.385,0.714,12,0.20,0.010,1,0.329,1.35
최원준,2018,09-21,NC,W 6:4,7,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.277,0.381,0.706,8,-0.49,-0.080,1,,
최원준,2018,09-22,@한화,W 11:5,6,1B,4,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.277,0.379,0.705,23,-1.33,0.016,1,0.326,0.46
최원준,2018,09-23,@한화,L 6:8,7,1B,4,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.280,0.381,0.709,20,0.39,0.035,1,,
최원준,2018,09-25,@KT,W 9:7,2,PR,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.280,0.380,0.709,12,-0.10,0.020,0,0.329,0.33
최원준,2018,09-26,@KT,L 2:9,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.379,0.706,7,-0.25,-0.016,1,,
최원준,2018,09-28,@LG,W 6:2,6,RF,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.277,0.376,0.706,21,0.59,0.100,1,0.330,1.72
최원준,2018,09-29,한화,W 4:3,6,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.277,0.374,0.703,16,-0.87,-0.056,1,,
최원준,2018,09-30,한화,W 6:4,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.373,0.701,5,-0.25,-0.007,0,0.328,0.23
최원준,2018,10-02,NC,L 5:6,6,RF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.275,0.371,0.700,9,0.08,-0.004,1,,
최원준,2018,10-03,@삼성,L 5:20,8,3B,3,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.276,0.371,0.702,12,0.66,0.077,1,0.331,0.56
최원준,2018,10-04,@SK,W 7:3,8,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.371,0.702,0,0.00,0.000,0,,
최원준,2018,10-06,@SK,L 5:7,1,3B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.272,0.366,0.693,15,-0.67,-0.050,1,,
최원준,2018,10-06,@SK,W 8:4,6,RF,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.277,0.372,0.704,6,0.23,0.019,1,0.332,1.54
최원준,2018,10-07,@두산,L 4:7,6,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.273,0.365,0.692,8,-0.09,0.044,0,0.327,1.15
최원준,2018,10-09,@롯데,L 10:11,7,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.272,0.364,0.690,3,-0.18,-0.045,0,,
최원준,2018,10-10,한화,W 6:1,6,SS,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.273,0.367,0.693,12,0.53,0.105,1,0.326,0.90
최원준,2018,10-12,롯데,W 6:4,6,RF,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.272,0.365,0.691,15,-0.44,0.016,1,,
최원준,2018,10-13,롯데,L 1:5,5,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.272,0.364,0.688,4,-0.32,-0.013,0,0.324,0.50
최원준,2018,10-16,@넥센,L 6:10,6,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,15,-1.06,-0.096,1,,
