Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÃÖÀçÈÆ,2017,04-02,ÇÑÈ­,W 5:4,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,6,-0.18,-0.045,0,0.000,1.80
ÃÖÀçÈÆ,2017,04-07,³Ø¼¾,L 3:7,8,PH,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,6,1.40,0.021,0,,
ÃÖÀçÈÆ,2017,04-08,³Ø¼¾,L 10:13,8,C,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.600,0.600,1.267,14,0.13,0.018,1,0.667,0.74
ÃÖÀçÈÆ,2017,04-09,³Ø¼¾,L 2:13,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.071,3,-0.18,-0.001,1,,
ÃÖÀçÈÆ,2017,04-11,KIA,W 16:4,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,1,-0.50,0.000,0,0.500,0.00
ÃÖÀçÈÆ,2017,04-12,KIA,L 4:8,7,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,0,0.00,0.000,0,,
ÃÖÀçÈÆ,2017,04-18,LG,W 3:2,9,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.300,0.300,0.664,8,-0.43,-0.080,1,0.364,1.48
ÃÖÀçÈÆ,2017,04-19,LG,W 3:0,9,C,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.250,0.250,0.607,12,-0.22,-0.044,1,,
ÃÖÀçÈÆ,2017,04-20,LG,L 3:4,9,C,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.214,0.214,0.567,14,-0.09,-0.030,1,0.353,0.90
ÃÖÀçÈÆ,2017,04-21,@kt,W 7:2,9,C,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.556,18,-0.38,-0.005,1,,
ÃÖÀçÈÆ,2017,04-22,@kt,L 9:11,9,C,4,0,3,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0.318,0.318,0.718,16,2.03,0.307,1,0.400,1.51
ÃÖÀçÈÆ,2017,04-23,@KT,W 14:1,8,C,2,1,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0.333,0.375,0.823,16,1.39,0.156,1,,
ÃÖÀçÈÆ,2017,04-25,@·Ôµ¥,L 2:4,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.346,0.766,10,-0.23,-0.022,1,0.419,0.43
ÃÖÀçÈÆ,2017,04-26,@·Ôµ¥,L 2:8,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.296,0.333,0.740,6,-0.49,-0.053,1,,
