Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
최항,2017,06-25,kt,W 7:6,8,1B,4,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.250,0.500,0.750,10,-0.82,-0.127,1,0.250,1.41
최항,2017,06-29,@두산,L 3:6,3,2B,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.500,0.833,7,0.67,0.014,0,,
최항,2017,06-30,삼성,W 7:5,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.375,0.625,6,-0.23,-0.022,1,0.250,0.42
최항,2017,07-02,삼성,W 6:5,8,3B,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.300,0.400,0.700,8,0.03,-0.006,1,,
최항,2017,07-04,KIA,L 6:15,3,PR,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.417,0.750,9,-0.04,0.000,0,0.333,0.01
최항,2017,07-07,@롯데,W 6:5,8,3B,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.286,0.357,0.690,12,-0.30,-0.030,1,,
최항,2017,07-08,@롯데,L 4:6,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.357,0.690,0,0.00,0.000,0,0.333,0.00
최항,2017,08-12,kt,W 8:3,2,3B,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0.412,0.471,0.915,12,2.49,0.215,1,,
최항,2017,08-13,kt,L 3:11,2,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.333,0.381,0.745,16,-1.37,-0.067,1,0.364,0.63
최항,2017,08-16,@한화,L 5:8,2,3B,4,2,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.400,0.480,0.903,10,1.78,0.186,1,,
최항,2017,08-17,LG,W 6:1,2,3B,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0.393,0.464,0.884,19,-0.02,0.042,1,0.419,0.39
최항,2017,08-18,LG,W 8:2,2,3B,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.406,0.469,0.897,17,-0.74,-0.003,1,,
최항,2017,08-19,@KIA,W 13:1,2,3B,5,2,4,2,0,1,9,2,0,0,0,1,0,0,0,0,0,0.459,0.649,1.136,30,3.43,0.140,1,0.488,0.57
최항,2017,08-22,두산,L 6:10,2,3B,3,1,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0.450,0.625,1.125,21,0.46,0.028,1,,
최항,2017,08-23,두산,L 1:4,2,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0.568,1.028,10,-0.90,-0.096,1,0.460,1.11
최항,2017,08-24,@삼성,W 9:7,2,3B,4,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.417,0.563,1.025,16,0.79,0.054,1,,
최항,2017,08-25,@삼성,W 7:5,2,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.404,0.538,0.987,15,-0.75,-0.027,1,0.448,0.82
최항,2017,08-26,한화,W 2:1,2,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.389,0.519,0.952,14,-0.73,-0.063,1,,
최항,2017,08-27,한화,W 4:2,2,3B,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.386,0.509,0.937,12,1.29,0.015,1,0.429,0.55
최항,2017,08-29,@넥센,L 4:8,2,3B,4,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.361,0.475,0.887,25,-0.99,-0.092,1,,
최항,2017,08-30,@넥센,L 0:10,8,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.468,0.874,5,-0.18,0.000,0,0.406,0.00
최항,2017,08-31,삼성,W 5:4,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.453,0.847,11,-0.35,-0.026,1,,
최항,2017,09-02,@kt,W 15:7,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.446,0.835,1,-0.60,0.000,0,0.389,0.00
최항,2017,09-03,@kt,L 5:13,9,PH,3,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.353,0.471,0.871,12,0.69,0.038,0,,
최항,2017,09-05,롯데,W 6:2,8,2B,3,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0.366,0.479,0.889,11,0.44,0.042,1,0.410,0.26
최항,2017,09-07,@NC,L 3:4,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.361,0.472,0.877,3,-0.26,-0.044,0,,
최항,2017,09-08,@NC,L 2:4,8,2B,3,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.387,0.507,0.933,9,1.31,0.171,1,0.427,1.14
최항,2017,09-09,넥센,W 2:1,7,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.372,0.487,0.899,13,-0.76,-0.092,1,,
