Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
최형우,2017,03-31,@삼성,W 7:2,4,DH,4,1,1,0,1,0,3,1,0,0,1,0,0,1,0,0,0,0.250,0.750,1.150,23,1.10,0.189,1,0.400,1.06
최형우,2017,04-01,@삼성,W 9:7,4,DH,3,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.286,0.571,1.016,10,0.88,0.075,1,,
최형우,2017,04-02,@삼성,L 3:16,4,DH,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.333,0.889,1.343,6,0.74,0.039,1,0.455,0.80
최형우,2017,04-04,SK,W 6:1,4,LF,4,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.385,0.846,1.313,13,1.02,0.123,1,,
최형우,2017,04-06,SK,W 6:4,4,LF,3,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.375,0.813,1.286,15,0.72,0.261,1,0.474,2.18
최형우,2017,04-07,한화,W 4:2,4,LF,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.333,0.722,1.157,15,-0.18,0.006,1,,
최형우,2017,04-08,한화,L 3:4,4,LF,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.300,0.650,1.094,20,-0.18,-0.081,1,0.444,1.76
최형우,2017,04-09,한화,W 3:2,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.250,0.542,0.929,12,-1.70,-0.117,1,,
최형우,2017,04-11,@두산,L 4:16,4,LF,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.296,0.593,1.004,16,1.31,0.146,1,0.412,1.01
최형우,2017,04-12,@두산,W 8:4,4,LF,5,1,2,1,1,0,5,2,0,0,0,0,0,1,0,0,0,0.313,0.656,1.067,17,1.20,0.182,1,,
최형우,2017,04-13,@두산,W 4:3,4,LF,3,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.314,0.629,1.060,22,1.01,0.109,1,0.432,0.83
최형우,2017,04-14,넥센,W 3:2,4,LF,4,1,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0.333,0.718,1.155,13,1.54,0.436,1,,
최형우,2017,04-15,넥센,W 5:2,4,LF,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.326,0.674,1.097,12,0.04,0.047,1,0.423,0.51
최형우,2017,04-16,넥센,W 7:6,4,DH,3,1,2,1,0,0,3,1,0,0,1,0,1,1,0,0,0,0.348,0.696,1.142,14,0.97,0.099,1,,
최형우,2017,04-18,@kt,W 5:0,4,LF,4,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.360,0.720,1.170,15,1.01,0.106,1,0.450,0.73
최형우,2017,04-19,@kt,L 1:3,4,LF,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.370,0.722,1.175,16,0.82,0.085,1,,
최형우,2017,04-20,@kt,W 9:2,4,LF,4,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0.362,0.707,1.156,13,0.80,0.054,1,0.449,0.56
최형우,2017,04-21,@LG,L 2:6,4,LF,3,1,2,1,0,1,6,1,0,0,1,0,0,0,0,0,0,0.377,0.770,1.236,12,1.54,0.233,1,,
최형우,2017,04-22,@LG,W 5:4,4,LF,4,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.385,0.800,1.268,10,1.26,0.190,1,0.468,1.18
최형우,2017,04-23,@LG,L 1:7,4,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.382,0.779,1.249,19,-0.26,-0.007,1,,
최형우,2017,04-25,삼성,W 11:3,4,LF,4,3,3,1,0,1,7,4,0,0,1,0,0,0,0,0,0,0.403,0.833,1.322,18,3.91,0.176,1,0.488,0.74
최형우,2017,04-26,삼성,W 7:0,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.382,0.789,1.256,10,-2.22,-0.093,1,,
최형우,2017,04-27,삼성,W 16:9,4,LF,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.390,0.792,1.270,7,0.75,0.051,1,0.478,0.81
최형우,2017,04-28,NC,W 9:3,4,DH,5,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.390,0.780,1.255,22,0.56,-0.035,1,,
최형우,2017,04-29,NC,L 6:8,4,DH,5,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.379,0.759,1.219,21,0.12,-0.003,1,0.461,1.40
최형우,2017,04-30,NC,L 1:12,4,DH,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367,0.733,1.181,16,-0.77,-0.074,1,,
최형우,2017,05-02,@넥센,W 9:3,4,DH,3,1,2,1,0,1,6,1,0,0,1,1,0,0,0,0,0,0.376,0.774,1.238,21,1.52,0.031,1,0.464,0.40
최형우,2017,05-03,@넥센,W 2:1,4,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.375,0.760,1.225,21,-0.12,-0.024,1,,
최형우,2017,05-04,@넥센,L 1:9,4,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.370,0.740,1.198,16,-0.95,-0.042,1,0.458,0.64
최형우,2017,05-05,@롯데,W 5:3,4,LF,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.375,0.731,1.194,22,0.55,0.041,1,,
최형우,2017,05-06,@롯데,W 3:0,4,LF,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.374,0.720,1.188,27,0.92,0.057,1,0.469,0.88
최형우,2017,05-07,@롯데,W 5:3,4,DH,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.369,0.712,1.174,11,-0.18,-0.025,1,,
최형우,2017,05-09,kt,W 9:4,4,LF,4,1,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.374,0.730,1.198,14,1.57,0.149,1,0.467,0.32
최형우,2017,05-10,kt,L 0:3,4,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.364,0.712,1.173,21,-0.44,-0.056,1,,
최형우,2017,05-11,kt,L 2:4,4,LF,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.361,0.697,1.152,13,0.54,0.103,1,0.455,1.49
최형우,2017,05-12,@SK,L 2:8,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.349,0.675,1.118,16,-1.93,-0.134,1,,
최형우,2017,05-13,@SK,W 5:3,4,DH,4,2,2,0,0,2,8,4,0,0,1,0,0,0,1,0,0,0.354,0.715,1.163,25,2.48,0.686,1,0.448,1.72
최형우,2017,05-14,@SK,L 3:4,4,LF,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.358,0.731,1.181,13,1.20,0.170,1,,
최형우,2017,05-16,LG,W 3:2,4,LF,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.348,0.710,1.152,23,-1.17,-0.115,1,0.442,1.33
최형우,2017,05-17,LG,W 8:3,4,LF,4,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.352,0.704,1.147,17,0.24,0.030,1,,
최형우,2017,05-18,LG,W 9:4,4,LF,5,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.354,0.694,1.136,18,0.29,-0.014,1,0.442,0.66
최형우,2017,05-19,두산,L 6:7,4,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.351,0.682,1.120,15,-0.50,-0.043,1,,
