Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
페게로,2019,07-16,@SK,L 4:10,4,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,13,-0.34,-0.058,1,0.250,1.00
페게로,2019,07-17,@SK,L 2:8,4,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.143,0.143,0.393,21,-0.15,0.010,1,,
페게로,2019,07-18,@SK,W 12:5,4,1B,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.200,0.200,0.533,18,-0.19,0.002,1,0.333,0.29
페게로,2019,07-27,@KT,W 5:2,4,1B,3,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0.308,0.308,0.745,20,1.49,0.101,1,,
페게로,2019,07-28,@KT,W 10:1,4,1B,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.313,0.313,0.763,17,0.35,0.046,1,0.450,0.78
페게로,2019,07-30,키움,L 2:4,4,1B,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.300,0.300,0.740,26,0.23,0.004,1,,
페게로,2019,07-31,키움,L 0:8,4,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.292,0.292,0.705,10,-0.64,-0.112,1,0.414,1.11
페게로,2019,08-01,키움,W 11:5,4,1B,3,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.296,0.296,0.721,10,0.75,0.108,1,,
페게로,2019,08-03,삼성,W 13:10,4,1B,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.258,0.258,0.653,25,-1.42,-0.097,1,0.395,1.75
페게로,2019,08-04,삼성,L 1:2,4,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257,0.257,0.638,11,-0.69,0.012,1,,
페게로,2019,08-06,@KIA,W 17:4,4,1B,5,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0.275,0.275,0.658,18,0.24,0.089,1,0.383,0.64
페게로,2019,08-07,@KIA,L 5:10,4,1B,4,1,1,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0.273,0.273,0.645,14,0.82,0.098,1,,
페게로,2019,08-08,@NC,L 2:13,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.595,19,-1.60,-0.102,1,0.345,0.62
페게로,2019,08-09,@NC,W 5:2,6,DH,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.245,0.245,0.579,18,0.66,-0.006,1,,
페게로,2019,08-10,SK,L 0:2,6,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.228,0.228,0.541,16,-1.58,-0.211,1,0.313,2.08
페게로,2019,08-11,SK,W 4:3,6,DH,3,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.250,0.300,0.628,12,1.11,0.133,1,,
페게로,2019,08-13,키움,W 8:7,6,1B,4,1,2,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0.266,0.359,0.697,14,3.38,0.452,1,0.338,1.56
페게로,2019,08-14,키움,L 0:14,6,1B,3,0,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0.284,0.403,0.754,12,0.68,-0.012,1,,
페게로,2019,08-16,@두산,L 4:7,6,DH,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.271,0.386,0.732,20,0.10,0.015,1,0.346,1.02
페게로,2019,08-17,@삼성,L 2:7,6,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.270,0.378,0.720,19,-0.35,-0.006,1,,
페게로,2019,08-18,@삼성,W 8:1,6,1B,3,3,2,1,0,1,6,3,0,0,1,0,0,0,0,0,0,0.286,0.442,0.802,17,3.06,0.133,1,0.360,0.73
페게로,2019,08-20,KIA,W 15:3,6,1B,5,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.268,0.415,0.762,22,-1.88,-0.021,1,,
페게로,2019,08-21,KIA,W 6:4,6,1B,4,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.279,0.430,0.784,15,0.66,0.111,1,0.354,1.06
