Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
페르난데스,2020,05-05,@LG,L 2:8,5,DH,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,17,0.55,-0.012,1,0.500,0.83
페르난데스,2020,05-06,@LG,W 5:2,2,DH,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,15,0.82,0.071,1,,
페르난데스,2020,05-07,@LG,W 9:3,2,DH,5,2,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0.615,0.692,1.308,20,1.10,0.076,1,0.615,0.40
페르난데스,2020,05-08,KT,L 3:12,2,DH,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.563,0.688,1.250,15,-0.21,-0.026,1,,
페르난데스,2020,05-10,KT,W 13:12,2,DH,6,2,4,1,0,1,8,4,0,0,0,0,0,0,0,0,0,0.591,0.864,1.455,17,3.37,0.188,1,0.591,0.94
페르난데스,2020,05-12,@롯데,W 11:6,2,DH,4,2,2,1,0,0,3,2,0,0,1,0,0,0,1,0,0,0.577,0.846,1.439,17,1.03,0.083,1,,
페르난데스,2020,05-13,@롯데,L 9:10,2,DH,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.517,0.759,1.321,24,-0.49,-0.062,1,0.563,0.87
페르난데스,2020,05-14,@롯데,W 7:4,2,DH,5,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.500,0.794,1.335,25,1.19,0.049,1,,
페르난데스,2020,05-15,@KIA,W 13:4,2,DH,4,1,3,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0.526,0.816,1.387,14,2.05,0.169,1,0.571,1.03
페르난데스,2020,05-16,@KIA,L 4:13,2,DH,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.488,0.744,1.276,18,-1.36,-0.018,1,,
페르난데스,2020,05-17,@KIA,W 6:4,2,DH,5,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.479,0.729,1.248,15,0.94,0.149,1,0.519,0.77
페르난데스,2020,05-19,NC,L 4:5,2,DH,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.453,0.679,1.170,23,-1.10,-0.131,1,,
페르난데스,2020,05-20,NC,W 2:1,2,DH,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.436,0.655,1.146,18,0.26,0.045,1,0.492,0.95
페르난데스,2020,05-21,NC,L 6:12,3,DH,4,1,3,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0.458,0.661,1.161,19,0.86,0.054,1,,
페르난데스,2020,05-22,@삼성,W 12:7,2,DH,4,1,3,1,0,1,7,6,0,0,1,0,0,0,0,0,1,0.476,0.730,1.244,24,3.48,0.198,1,0.514,0.90
페르난데스,2020,05-23,@삼성,W 10:6,2,DH,5,3,4,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0.500,0.779,1.312,14,2.09,0.174,1,,
페르난데스,2020,05-24,@삼성,L 0:13,2,DH,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.764,1.295,16,0.21,0.055,1,0.531,0.87
페르난데스,2020,05-26,SK,W 6:4,2,DH,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.480,0.733,1.239,15,-0.67,0.001,1,,
페르난데스,2020,05-27,SK,W 4:2,2,DH,4,2,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.481,0.734,1.240,12,1.66,0.221,1,0.506,0.96
페르난데스,2020,05-28,SK,L 1:6,2,DH,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.470,0.711,1.205,11,0.05,0.025,1,,
페르난데스,2020,05-29,롯데,W 4:2,2,DH,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.465,0.698,1.193,16,0.84,0.093,1,0.495,0.62
페르난데스,2020,05-30,롯데,W 5:4,2,DH,3,0,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0.472,0.697,1.202,18,1.52,0.174,1,,
페르난데스,2020,05-31,롯데,L 3:8,2,DH,5,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.468,0.691,1.191,17,-0.16,-0.103,1,0.500,1.51
페르난데스,2020,06-02,@KT,W 11:8,2,DH,5,1,2,0,0,1,5,4,0,0,0,0,0,0,1,0,0,0.465,0.707,1.203,11,1.51,0.133,1,,
페르난데스,2020,06-03,@KT,L 2:7,2,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.456,0.689,1.176,14,-0.63,-0.038,1,0.487,0.88
페르난데스,2020,06-04,@KT,W 14:8,2,DH,5,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.444,0.667,1.146,28,0.04,0.087,1,,
페르난데스,2020,06-05,KIA,W 5:1,2,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.438,0.652,1.124,16,0.08,0.024,1,0.472,0.69
페르난데스,2020,06-06,KIA,W 4:3,2,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.435,0.643,1.116,18,0.08,0.043,1,,
페르난데스,2020,06-07,KIA,W 3:2,2,DH,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.417,0.617,1.072,24,-1.60,-0.171,1,0.455,1.25
페르난데스,2020,06-09,@NC,L 8:12,2,DH,4,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0.411,0.605,1.058,26,0.28,0.012,1,,
페르난데스,2020,06-10,@NC,W 9:1,2,DH,5,1,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0.411,0.597,1.048,17,0.73,0.045,1,0.451,0.62
페르난데스,2020,06-11,@NC,L 5:7,2,DH,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.403,0.582,1.025,20,-1.75,-0.177,1,,
페르난데스,2020,06-12,@한화,W 5:2,2,DH,4,2,2,1,0,1,6,1,0,0,0,1,0,0,0,0,0,0.406,0.609,1.057,19,1.28,0.025,1,0.448,0.55
페르난데스,2020,06-13,@한화,L 6:7,2,DH,4,2,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.401,0.620,1.066,17,0.94,0.071,1,,
페르난데스,2020,06-14,@한화,L 2:3,4,1B,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.404,0.616,1.064,13,0.17,-0.003,1,0.448,1.16
