Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
하주석,2017,04-01,@두산,W 6:5,1,PH,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.333,10,-0.94,-0.140,0,0.333,3.42
하주석,2017,04-02,@두산,L 4:5,1,SS,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.222,18,-0.86,-0.103,1,,
하주석,2017,04-04,NC,W 6:0,2,SS,4,2,2,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0.182,0.455,0.762,12,1.09,0.067,1,0.308,0.96
하주석,2017,04-06,NC,L 2:5,2,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.200,0.400,0.694,19,-0.47,-0.038,1,,
하주석,2017,04-07,@KIA,L 2:4,2,SS,5,1,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0.250,0.500,0.818,9,1.26,0.035,1,0.318,0.74
하주석,2017,04-08,@KIA,W 4:3,1,SS,5,1,3,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0.320,0.600,0.970,21,0.96,0.157,1,,
하주석,2017,04-09,@KIA,L 2:3,1,SS,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.567,0.942,18,-0.01,-0.034,1,0.375,2.11
하주석,2017,04-11,@삼성,W 11:8,1,SS,5,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.343,0.543,0.938,21,0.45,0.073,1,,
하주석,2017,04-12,@삼성,W 5:3,1,SS,4,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0.333,0.564,0.945,11,0.29,0.082,1,0.381,0.58
하주석,2017,04-13,@삼성,L 1:5,1,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.326,0.535,0.904,17,-0.22,-0.042,1,,
하주석,2017,04-14,SK,L 2:6,1,SS,3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.326,0.522,0.902,12,0.16,-0.012,1,0.380,0.61
하주석,2017,04-15,SK,L 4:12,3,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.300,0.480,0.832,12,-1.42,-0.083,1,,
하주석,2017,04-16,SK,L 1:10,1,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.278,0.444,0.772,16,-1.26,-0.097,1,0.328,0.86
하주석,2017,04-18,LG,W 3:2,1,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.276,0.431,0.754,20,-0.42,-0.076,1,,
하주석,2017,04-19,LG,W 3:0,2,SS,2,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0.267,0.417,0.750,18,-0.29,-0.013,1,0.333,0.67
하주석,2017,04-20,LG,L 3:4,5,SS,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.266,0.422,0.750,10,0.48,-0.014,1,,
하주석,2017,04-21,@kt,W 7:2,8,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.250,0.397,0.708,15,-1.10,-0.085,1,0.311,0.76
