Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÇÑµ¿¹Î,2017,03-31,kt,L 2:3,7,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,17,-0.21,0.041,1,0.250,1.18
ÇÑµ¿¹Î,2017,04-01,kt,L 0:2,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,6,-0.26,-0.043,0,,
ÇÑµ¿¹Î,2017,04-06,@KIA,L 4:6,5,RF,4,1,3,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0.444,0.889,1.333,17,1.73,0.218,1,0.444,1.65
ÇÑµ¿¹Î,2017,04-07,NC,L 3:5,5,1B,4,1,1,0,0,1,4,2,0,0,0,0,0,2,1,0,0,0.385,0.923,1.308,18,0.59,0.159,1,,
ÇÑµ¿¹Î,2017,04-08,NC,W 9:2,5,LF,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.353,0.941,1.294,18,0.45,-0.022,1,0.353,0.30
ÇÑµ¿¹Î,2017,04-09,NC,W 8:5,5,RF,3,2,3,1,0,1,7,4,0,0,1,1,0,0,0,0,0,0.450,1.150,1.650,27,4.57,0.361,1,,
ÇÑµ¿¹Î,2017,04-11,·Ôµ¥,L 4:6,5,1B,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.458,1.042,1.542,16,0.22,-0.025,1,0.500,1.43
ÇÑµ¿¹Î,2017,04-12,·Ôµ¥,W 2:1,6,RF,5,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.448,0.931,1.415,28,-0.25,-0.005,1,,
ÇÑµ¿¹Î,2017,04-13,·Ôµ¥,W 11:10,5,RF,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.467,0.933,1.448,9,0.91,0.067,1,0.515,1.18
ÇÑµ¿¹Î,2017,04-14,@ÇÑÈ­,W 6:2,5,1B,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.424,0.848,1.335,9,-0.66,-0.022,1,,
ÇÑµ¿¹Î,2017,04-15,@ÇÑÈ­,W 12:4,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0.848,1.335,0,0.00,0.000,0,0.486,0.00
ÇÑµ¿¹Î,2017,04-16,@ÇÑÈ­,W 10:1,5,RF,4,2,2,1,1,0,5,3,0,0,0,1,0,2,0,0,0,0.432,0.892,1.392,15,3.11,0.147,1,,
ÇÑµ¿¹Î,2017,04-18,³Ø¼¾,W 7:4,6,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.825,1.292,9,-0.69,-0.033,1,0.467,0.45
ÇÑµ¿¹Î,2017,04-19,³Ø¼¾,W 5:3,2,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.395,0.791,1.260,11,0.19,0.034,1,,
ÇÑµ¿¹Î,2017,04-20,³Ø¼¾,L 3:5,3,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0.723,1.157,16,-1.15,-0.109,1,0.434,1.22
ÇÑµ¿¹Î,2017,04-21,µÎ»ê,W 9:4,5,LF,4,2,2,1,0,1,6,1,0,0,1,0,0,2,0,0,0,0.373,0.784,1.233,30,0.40,0.104,1,,
ÇÑµ¿¹Î,2017,04-22,µÎ»ê,W 8:4,5,1B,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.364,0.800,1.235,18,0.02,-0.051,1,0.435,0.68
ÇÑµ¿¹Î,2017,04-23,µÎ»ê,L 4:8,5,1B,3,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0.345,0.759,1.183,19,-1.16,-0.107,1,,
ÇÑµ¿¹Î,2017,04-25,@LG,W 8:3,2,RF,5,1,3,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.365,0.794,1.230,13,1.50,0.152,1,0.437,0.52
ÇÑµ¿¹Î,2017,04-26,@LG,L 0:9,5,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.348,0.758,1.184,23,-0.19,-0.028,1,,
ÇÑµ¿¹Î,2017,04-27,@LG,L 2:4,5,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.735,1.151,9,-0.38,-0.038,1,0.416,0.74
